BV号：BV1KD4y197dS
标题：BV1KD4y197dS
链接：https://www.bilibili.com/video/BV1KD4y197dS
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-04 01:17:22

[00:00:00 - 00:00:03] 很多人家说张老师我这个省份是新高考的省份
[00:00:03 - 00:00:05] 那我新高考的省份的话我注意什么呢
[00:00:05 - 00:00:07] 新高考他到底改了啥呢
[00:00:07 - 00:00:10] 新高考的改革从两方面来说
[00:00:10 - 00:00:11] 一方面的叫做课改
[00:00:11 - 00:00:13] 一方面的叫做志愿改
[00:00:13 - 00:00:15] 今天我们先来说一说关于课改
[00:00:15 - 00:00:19] 原来的老高考呢我们都知道上高中要分文理科
[00:00:19 - 00:00:22] 那么理科呢就是物理化学生物文科就是历史地理政治
[00:00:22 - 00:00:25] 那么为了能够让咱们同学们呀
[00:00:25 - 00:00:27] 你喜欢什么科目你就学什么科目
[00:00:27 - 00:00:29] 我们新高考呢进行了重大改革
[00:00:29 - 00:00:32] 那么有的省份是6选3
[00:00:32 - 00:00:33] 想叫做6选3呢
[00:00:33 - 00:00:36] 你可以在物理化学生物
[00:00:36 - 00:00:38] 历史地理政治这6颗当中
[00:00:38 - 00:00:41] 任意选择3颗你最喜欢的科目去学
[00:00:41 - 00:00:44] 但是6选3改革实行了一段时间
[00:00:44 - 00:00:45] 包括像浙江省啊
[00:00:45 - 00:00:48] 上海市北京市天津市山东省和海南省
[00:00:48 - 00:00:50] 这6个省份实行了一段时间以后
[00:00:50 - 00:00:51] 发现什么呢
[00:00:51 - 00:00:52] 很多孩子他不选物理
[00:00:52 - 00:00:54] 他不选物理的话
[00:00:54 - 00:00:57] 会对未来股咱们国家的公科人才的结构
[00:00:57 - 00:01:00] 造成一個咯咯咯咯咯的影響
[00:01:00 - 00:01:02] 所以說新實行新高考的八個省份
[00:01:02 - 00:01:04] 就實行的叫三加一加二
[00:01:04 - 00:01:05] 什麼叫三加一加二呢
[00:01:05 - 00:01:07] 就是在物理和歷史這兩科
[00:01:07 - 00:01:08] 二選一
[00:01:08 - 00:01:10] 你要么選的物理
[00:01:10 - 00:01:11] 要么選的歷史
[00:01:11 - 00:01:12] 在剩下的四科
[00:01:12 - 00:01:13] 化學生物
[00:01:13 - 00:01:14] 地理政治呢
[00:01:14 - 00:01:16] 在任意選兩科
[00:01:16 - 00:01:18] 叫做三加一加二
[00:01:18 - 00:01:20] 所以說新高考的十四個省份
[00:01:20 - 00:01:21] 浙江
[00:01:21 - 00:01:21] 上海
[00:01:21 - 00:01:22] 北京
[00:01:22 - 00:01:22] 天津
[00:01:22 - 00:01:23] 山東海南
[00:01:23 - 00:01:24] 這六個省份
[00:01:24 - 00:01:25] 是六選三
[00:01:25 - 00:01:27] 新高考的剩下的八個省份
[00:01:27 - 00:01:29] 是三加一加二
[00:01:29 - 00:01:30] 你明白了吗
