BV号：BV1KY411i7Rd
标题：BV1KY411i7Rd
链接：https://www.bilibili.com/video/BV1KY411i7Rd
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-04-03 16:13:53

[00:00:00 - 00:00:02] 我们在给大家做报纸院的服务的时候
[00:00:02 - 00:00:03] 我就说家长
[00:00:03 - 00:00:05] 如果这是我儿子
[00:00:05 - 00:00:06] 我就会怎么报
[00:00:06 - 00:00:08] 我话给你说到这份上了
[00:00:08 - 00:00:09] 那你看着办
[00:00:09 - 00:00:10] 好
[00:00:10 - 00:00:11] 他不是你儿子
[00:00:11 - 00:00:12] 他是我儿子
[00:00:12 - 00:00:12] 所以我那么选
[00:00:14 - 00:00:15] 真棒
[00:00:16 - 00:00:17] 真棒
[00:00:17 - 00:00:19] 我们话都给你说到这份上了
[00:00:19 - 00:00:20] 对吧
[00:00:20 - 00:00:21] 我说如果这是我儿子
[00:00:21 - 00:00:22] 我就会怎么怎么选
[00:00:23 - 00:00:24] 臭漂亮
[00:00:24 - 00:00:26] 给我报纸还占我便宜
[00:00:32 - 00:00:33] 你让我怎么办
