BV号：BV1Kb4y1J7vd
标题：BV1Kb4y1J7vd
链接：https://www.bilibili.com/video/BV1Kb4y1J7vd
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 20:36:17

[00:00:00 - 00:00:01] 计算机这个专业它一直在往前走
[00:00:01 - 00:00:03] 很多人问我说张老师
[00:00:03 - 00:00:04] 计算机这个专业有没有可能
[00:00:04 - 00:00:05] 一天会成为冷门专业
[00:00:05 - 00:00:06] 不太可能
[00:00:06 - 00:00:06] 各位同学
[00:00:06 - 00:00:07] 你想想
[00:00:07 - 00:00:09] 今天你的生活跟十年线有最大的
[00:00:09 - 00:00:10] 特别大的变化
[00:00:10 - 00:00:12] 主要背功于什么专业的发展
[00:00:12 - 00:00:13] 是不是计算机互联网行
[00:00:13 - 00:00:14] 对不对
[00:00:14 - 00:00:15] 所以说你会发现
[00:00:15 - 00:00:17] 这个专业它一直在往前走
[00:00:17 - 00:00:18] 而且它容积率很大
[00:00:18 - 00:00:19] 什么叫容积率很大
[00:00:19 - 00:00:20] 它100个毕业生
[00:00:20 - 00:00:21] 第50名那个人
[00:00:21 - 00:00:23] 你不用混到特别的顶尖
[00:00:23 - 00:00:25] 你混到第50名那个人的话
[00:00:25 - 00:00:27] 基本上你就可以已经还不错了
[00:00:27 - 00:00:28] 我给大家举个简单的例子
[00:00:28 - 00:00:29] 你看大厂
[00:00:29 - 00:00:30] 这种企业很多
[00:00:30 - 00:00:31] 而且以后发现这种企业
[00:00:31 - 00:00:32] 一高聘员工一高聘
[00:00:32 - 00:00:33] 到一大聘对不对
[00:00:33 - 00:00:35] 但以后发现材料这种专业
[00:00:35 - 00:00:36] 他也在技术个性对吧
[00:00:36 - 00:00:37] 但问题在于
[00:00:37 - 00:00:38] 你要想干一个
[00:00:38 - 00:00:39] 你要想研发出一个
[00:00:39 - 00:00:41] 改变人类的材料
[00:00:41 - 00:00:43] 哇靠
[00:00:43 - 00:00:44] 好难啊
[00:00:44 - 00:00:45] 就是他的中级率
[00:00:45 - 00:00:46] 以后发现100个人
[00:00:46 - 00:00:47] 你还计算一段
[00:00:47 - 00:00:48] 到第50个人的时候
[00:00:48 - 00:00:49] 他可能工资待遇还不错
[00:00:49 - 00:00:51] 但以后发现材料这个专业
[00:00:51 - 00:00:52] 到第50个人的时候
[00:00:52 - 00:00:53] 工资待遇可能就没有那么理想了
[00:00:53 - 00:00:54] 大家没理解吧
