BV号：BV1L14y1K7hn
标题：BV1L14y1K7hn
链接：https://www.bilibili.com/video/BV1L14y1K7hn
识别语言：zh
语言置信度：1
分段数：16
生成时间：2026-04-03 16:51:32

[00:00:00 - 00:00:02] 听说你们都想听张老师说关口
[00:00:30 - 00:00:31] 教育學原理教育心理學
[00:00:31 - 00:00:32] 它如果要考經濟類的話
[00:00:32 - 00:00:33] 經濟類有52個專業
[00:00:33 - 00:00:35] 16個學生6個專業所分配教的
[00:00:35 - 00:00:36] 金融學國際貿易學財產學
[00:00:36 - 00:00:37] 區域經濟產業經濟
[00:00:37 - 00:00:38] 冷凍經濟國民經濟
[00:00:38 - 00:00:39] 數量經濟統計與光風經濟
[00:00:39 - 00:00:41] 西方經濟學政治經濟學經濟學經濟思想史
[00:00:41 - 00:00:43] 世界經濟成果專業還念經濟學
[00:00:43 - 00:00:44] 6個專業所持分配教的
[00:00:44 - 00:00:45] 金融碩士保險碩士
[00:00:45 - 00:00:46] 市股碩士國際商務碩士
[00:00:46 - 00:00:47] 應用統一碩士
[00:00:47 - 00:00:48] 資產評估碩士
