BV号：BV1LC411V7VJ
标题：BV1LC411V7VJ
链接：https://www.bilibili.com/video/BV1LC411V7VJ
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 11:29:04

[00:00:00 - 00:00:04] - 简陶我问一下你这个孩子属于那种性格主动性了吗?
[00:00:04 - 00:00:05] - 不是
[00:00:05 - 00:00:07] - 那就别考虑选掉这个事了 轮不到你
[00:00:07 - 00:00:08] - 轮不到
[00:00:08 - 00:00:11] 那就毛死法学然后看地狱是吗?
[00:00:11 - 00:00:13] - 对 要我我会的嘛
[00:00:13 - 00:00:15] 他肯定不会听完
[00:00:15 - 00:00:17] 他肯定不会听完
[00:00:17 - 00:00:19] 你相信我
[00:00:19 - 00:00:20] 为什么?
[00:00:20 - 00:00:22] 在大家的观念当中
[00:00:22 - 00:00:27] 上个所谓的ROL主把舞这种学校的意义是不一样的
[00:00:27 - 00:00:29] 甚至很多人会觉得说
[00:00:29 - 00:00:31] 我这种选法所谓的
[00:00:31 - 00:00:33] 给孩子浪费了分
[00:00:33 - 00:00:34] 我试试
[00:00:34 - 00:00:36] 直播间的过来人都知道
[00:00:36 - 00:00:39] 我用的思维叫做以中为实
[00:00:40 - 00:00:42] 直播间的过来人
[00:00:42 - 00:00:44] 你们能理解我刚才给他说的这些吗
[00:00:45 - 00:00:47] 对,他怕亏分
[00:00:47 - 00:00:49] 他最重要的是怕亏分
[00:00:50 - 00:00:53] 所以说直播间的过来人都知道我在说什么
[00:00:53 - 00:00:56] 直播间的过来人都知道我在说什么
[00:00:57 - 00:00:59] 因为法律这种专业
[00:00:59 - 00:01:02] 他首先说张老师我们家小孩不是那种主动社交的
[00:01:02 - 00:01:04] 不是主动社交的人
[00:01:04 - 00:01:07] 跟选调这个事基本上就没什么关系
[00:01:08 - 00:01:10] 各位直播间上大学的朋友
[00:01:10 - 00:01:11] 我就问你一个问题
[00:01:12 - 00:01:15] 你觉得你们现在学校的学生会主席
[00:01:16 - 00:01:19] 你的班长你们学院的学生会主席
[00:01:19 - 00:01:22] 可能是不会主动社交的人
[00:01:23 - 00:01:23] 对吗
[00:01:24 - 00:01:25] 什么叫主动社交
[00:01:25 - 00:01:28] 他得會主動的跟人去擴兵
[00:01:28 - 00:01:31] 不熟悉的人自己主動去跟別人熟悉
[00:01:31 - 00:01:33] 我說過大學的資源
[00:01:34 - 00:01:36] 是靠你自己爭取
