BV号：BV1LPLiznERm
标题：BV1LPLiznERm
链接：https://www.bilibili.com/video/BV1LPLiznERm
识别语言：zh
语言置信度：1
分段数：67
生成时间：2026-04-03 05:08:18

[00:00:00 - 00:00:01] 我给你讲啊中低分数的院长
[00:00:01 - 00:00:03] 你们在做这张方面规划的时候
[00:00:03 - 00:00:04] 你该怎么去规划
[00:00:04 - 00:00:06] 你如果是中低分数段的话
[00:00:06 - 00:00:10] 你本身不要去梦想着有过高的就业期待
[00:00:10 - 00:00:12] 因为你的分在这摆着呢
[00:00:12 - 00:00:13] 那你在国国规划的时候
[00:00:13 - 00:00:15] 你就有的时候不是说一部规划
[00:00:15 - 00:00:16] 它是两部规划
[00:00:16 - 00:00:18] 两部规划一个最简单的是什么呢
[00:00:18 - 00:00:19] 就是各位家长
[00:00:19 - 00:00:22] 你们本地都有一些理工科
[00:00:22 - 00:00:24] 还不错的一本院校
[00:00:24 - 00:00:25] 它不是二一
[00:00:25 - 00:00:26] 但是它理工科一本
[00:00:26 - 00:00:28] 它就业当地是不错的
[00:00:28 - 00:00:29] 对吧
[00:00:29 - 00:00:30] 理工科院校一本
[00:00:30 - 00:00:32] 他在当地就业是不错的
[00:00:32 - 00:00:34] 而且也符合当地的产业发展
[00:00:34 - 00:00:35] 那么你就完全可以怎么样
[00:00:35 - 00:00:36] 分成两步
[00:00:36 - 00:00:38] 我第一步先给你抱一个很普通
[00:00:38 - 00:00:39] 很普通的本科
[00:00:39 - 00:00:40] 第二步我考研
[00:00:40 - 00:00:43] 考研人介考221考985
[00:00:43 - 00:00:45] 咱就别凑那个热闹
[00:00:45 - 00:00:47] 大家懂觉得考研难
[00:00:47 - 00:00:47] 考研难
[00:00:47 - 00:00:48] 考研难
[00:00:48 - 00:00:49] 那各位家人我就问你个问题
[00:00:49 - 00:00:50] 你觉得高考难吗
[00:00:50 - 00:00:51] 你觉得高考难吗
[00:00:51 - 00:00:54] 你不得分你考哪吗
[00:00:54 - 00:00:56] 你考清华北大难不难
[00:00:56 - 00:00:57] 那当然难
[00:00:57 - 00:00:58] 那考个普通本科难不难
[00:00:58 - 00:00:59] 你看咱家还得借点分
[00:00:59 - 00:01:01] 他不演得上个本科吗
[00:01:01 - 00:01:02] 所以说你说考大学难不难
[00:01:02 - 00:01:04] 你没有办法去描述这个话题
[00:01:04 - 00:01:05] 对吧
[00:01:05 - 00:01:06] 那你说考也难不难
[00:01:06 - 00:01:09] 他一样的道理是没有办法描述这个问题
[00:01:09 - 00:01:10] 你考清华大学研究生就难
[00:01:10 - 00:01:13] 你考普通大学研究生就没有那么难
[00:01:13 - 00:01:15] 所以说如果说你是中低分数端正家长
[00:01:15 - 00:01:17] 你给他规划第二步考研的时候
[00:01:17 - 00:01:20] 你就不要让他考太难的学校
[00:01:20 - 00:01:23] 你考咱自己本地的理工类一本
[00:01:23 - 00:01:25] 他就业够了
[00:01:25 - 00:01:26] 听懂了吗
[00:01:26 - 00:01:27] 对不对
[00:01:27 - 00:01:30] 你沒有必要去非得讓他考211985
[00:01:30 - 00:01:32] 咱如果說有那個能力考211985
[00:01:32 - 00:01:36] 咱沒有那個能力考本地的地頭社理工類的學校
[00:01:36 - 00:01:37] 咱就業不夠嗎?
[00:01:37 - 00:01:40] 你山東理工你學機械學自動化
[00:01:40 - 00:01:43] 在咱們山東幹製造業不夠嗎?
[00:01:43 - 00:01:45] 你考廣西科技大學的機械
[00:01:45 - 00:01:49] 在咱們柳工集團幹個機械類的工作不夠嗎?
[00:01:49 - 00:01:51] 你為什麼非得要去考211985呢?
[00:01:51 - 00:01:53] 研究師 對不對?
[00:01:53 - 00:01:56] 你考你自己本地的這個理工類高校的研究生
[00:01:56 - 00:01:57] 够用的呀
[00:01:57 - 00:01:59] 干嘛非得去考二二二二就八五呢
[00:02:00 - 00:02:01] 两不走嘛
