BV号：BV1MB4y1D7Cd
标题：BV1MB4y1D7Cd
链接：https://www.bilibili.com/video/BV1MB4y1D7Cd
识别语言：zh
语言置信度：1
分段数：85
生成时间：2026-04-03 18:46:31

[00:00:00 - 00:00:05] 今天為大家介紹的這所大學在這個月剛剛過完120週年的校慶
[00:00:05 - 00:00:06] 辦學歷史是相當悠久
[00:00:06 - 00:00:10] 它就是急遇盛忘的老牌明星學府東南大學
[00:00:10 - 00:00:13] 東南是創建於1902年的三江師範學堂
[00:00:13 - 00:00:15] 從兩所國立綜合型大學之一
[00:00:15 - 00:00:18] 國立東南大學到亞洲第一學府
[00:00:18 - 00:00:19] 國立中央大學
[00:00:19 - 00:00:22] 以及後來赫赫有名的南京工學院
[00:00:22 - 00:00:23] 歷史上的任何一個階段
[00:00:23 - 00:00:26] 它都是不折不扣的頭部領軍院校
[00:00:26 - 00:00:28] 如今的東南大學是國家教育部
[00:00:28 - 00:00:32] 直属并与江苏省共建的全国重点大学
[00:00:32 - 00:00:35] 国家985工程和RO工程重点建设大学之一
[00:00:35 - 00:00:37] 国家双一流建设高校
[00:00:37 - 00:00:40] 目前东大有16位两院院士
[00:00:40 - 00:00:42] 三位欧洲科学院院士
[00:00:42 - 00:00:44] 实资水平非常的强劲
[00:00:44 - 00:00:46] 据我了解还经常会有诺奖得主
[00:00:46 - 00:00:48] 世界顶尖科学家去到学校里面
[00:00:48 - 00:00:50] 给学生开讲座
[00:00:50 - 00:00:51] 进行面对面的交流
[00:00:51 - 00:00:53] 这样的机会对于学生来讲
[00:00:53 - 00:00:54] 那是十属难得呀
[00:00:54 - 00:00:55] 不许如此
[00:00:55 - 00:00:57] 东大有12个学科入选第二轮
[00:00:57 - 00:00:59] 双一流建设学科名单
[00:00:59 - 00:01:03] 第四轮学科评估当中有五个学科获得A加
[00:01:03 - 00:01:07] 以上两者入学数量均位列全国第八位
[00:01:07 - 00:01:11] 还有13个ESI世界排名前1%的学科
[00:01:11 - 00:01:16] 其中计算机科学世界第九进入ESI前1千分之一
[00:01:16 - 00:01:21] 工程学世界第十七进入ESI世界前万分之一
[00:01:21 - 00:01:25] 这也是江苏高校学科首次进入到世界前万分之一
[00:01:25 - 00:01:27] 科研实力强更省眉话说
[00:01:27 - 00:01:30] 像大家所熟知的像探阅计划呀
[00:01:30 - 00:01:31] 中国天眼呀
[00:01:31 - 00:01:32] 港珠澳大小
[00:01:32 - 00:01:33] 南极科考等国家中达工程
[00:01:33 - 00:01:35] 东大都是贡献突出
[00:01:35 - 00:01:36] 功不可没的
[00:01:36 - 00:01:37] 说完学科实力呢
[00:01:37 - 00:01:38] 再来看一看专业的情况
[00:01:38 - 00:01:40] 东大目前本科招生专业当中
[00:01:40 - 00:01:43] 90.5%以上为一流专业
[00:01:43 - 00:01:45] 一流学科和A类学科相关专业
[00:01:45 - 00:01:46] 可以这么理解
[00:01:46 - 00:01:49] 你进去以后基本上读的都是一流专业
[00:01:49 - 00:01:51] 那得到的培养肯定都是最强的
[00:01:51 - 00:01:53] 2018年东南大学还获得了
[00:01:53 - 00:01:55] 九项国家级教学成国奖
[00:01:55 - 00:01:57] 全国高校第三位
[00:01:57 - 00:01:59] 不仅自身教学水平高
[00:01:59 - 00:02:00] 东大更是在两年内
[00:02:00 - 00:02:02] 投入5个亿用于本科生
[00:02:02 - 00:02:04] 3-5化人才培养
[00:02:04 - 00:02:05] 堪称大手笔
[00:02:05 - 00:02:07] 亲近民主在东大工作
[00:02:07 - 00:02:08] 或者学习过的院士
[00:02:08 - 00:02:10] 就高达200多位
[00:02:10 - 00:02:12] 学校的毕业生在各行各业里
[00:02:12 - 00:02:13] 那都是很诗香的
[00:02:13 - 00:02:16] 其中本科生生造率约为60%
[00:02:16 - 00:02:18] 毕业生去向落实率超过97%
[00:02:18 - 00:02:21] 就业人刚笔高达1比35
[00:02:21 - 00:02:22] 也就是说一次毕业生
[00:02:22 - 00:02:25] 有35个岗位来抢
[00:02:25 - 00:02:29] 超过82%的毕业生去往江浙湖以及北上广山地区
[00:02:29 - 00:02:32] 无论是发展还是薪资待遇那都是很不错的
[00:02:32 - 00:02:34] 今年学校推出了三大新政
[00:02:34 - 00:02:37] 一是仅跟时代需求对标国家战略
[00:02:37 - 00:02:40] 全力砸到碳中和与智能制造实验班和
[00:02:40 - 00:02:44] 统合交通材料实验班两个新工科招生大力
[00:02:44 - 00:02:50] 还新分社了智慧交通海洋新型工程和密码科学与技术三个新工科专业
[00:02:50 - 00:02:54] 二是入校二次选拔培养拔奸人才
[00:02:54 - 00:02:56] 今年新开设英语家新星工程
[00:02:56 - 00:02:59] 双学士学位复合性人才排行项目
[00:02:59 - 00:03:02] 和基础学科拔尖基地创新班
[00:03:02 - 00:03:04] 两大创新人才排行现地区
[00:03:04 - 00:03:06] 三是尊重专业兴趣
[00:03:06 - 00:03:08] 致愿全面保障
[00:03:08 - 00:03:11] 普通类本科批次百分之百不挑剔
[00:03:11 - 00:03:14] 所以说无论是从学校的综合实力
[00:03:14 - 00:03:16] 还是发展前景来看
[00:03:16 - 00:03:18] 东南大学的都堪当学府依留
[00:03:18 - 00:03:20] 各位考证度过分数理想
[00:03:20 - 00:03:23] 可以认真考虑一下这所百面名章
