BV号：BV1MV411J74Z
标题：BV1MV411J74Z
链接：https://www.bilibili.com/video/BV1MV411J74Z
识别语言：zh
语言置信度：1
分段数：64
生成时间：2026-04-04 00:35:08

[00:00:00 - 00:00:03] GT高考只有不到兩個月的時間了
[00:00:03 - 00:00:05] 我不知道大家有沒有動過所謂的複讀念頭
[00:00:05 - 00:00:09] 從月考到週考到天天做事段改錯題
[00:00:09 - 00:00:12] 很多同學進入到最後的緊張背考狀態以後
[00:00:12 - 00:00:14] 有可能越來越崩潰
[00:00:14 - 00:00:17] 有的人說張老師我天天在這學
[00:00:17 - 00:00:18] 天天做題肯輸
[00:00:18 - 00:00:21] 這個成績怎麼就比毛坑邊的石頭還硬
[00:00:21 - 00:00:23] 他一點變化都沒有
[00:00:23 - 00:00:25] 今年鐵定是沒啥好結果了
[00:00:25 - 00:00:27] 還有那些因為模考成績
[00:00:27 - 00:00:29] 覺得自己被打入18層地獄的同學
[00:00:29 - 00:00:33] 就问你们有没有想放弃明年再来的一个冲动
[00:00:33 - 00:00:34] 其实我想告诉你的是
[00:00:34 - 00:00:37] 你可以有想复读的想法
[00:00:37 - 00:00:40] 但是注意绝对不是现在
[00:00:40 - 00:00:42] 我不只一次的跟你们强调我
[00:00:42 - 00:00:44] 我说模拟的成绩它只是一个参考
[00:00:44 - 00:00:46] 它不是最后的高考成绩
[00:00:46 - 00:00:49] 它也不会最后决定你的高考成绩
[00:00:49 - 00:00:52] 它最大动作就是告诉你你在哪些科目上
[00:00:52 - 00:00:53] 或者是哪些知识点上
[00:00:53 - 00:00:54] 可能还比较薄弱
[00:00:54 - 00:00:56] 需要下功夫去补上来
[00:00:56 - 00:00:59] 它不是用来打击你自信心的
[00:00:59 - 00:01:01] 所以說把這個不良的思想都給我抹掉
[00:01:01 - 00:01:03] 最後專心的背考
[00:01:03 - 00:01:06] 專心的背考一定要專心背考
[00:01:06 - 00:01:08] 關於背考呢 張老師在主腹一語
[00:01:08 - 00:01:09] 就是每次考完試
[00:01:09 - 00:01:11] 你不要指定了分數
[00:01:11 - 00:01:12] 啊這次考多了
[00:01:12 - 00:01:13] 那上次考少了
[00:01:13 - 00:01:15] 沒什麼用
[00:01:15 - 00:01:16] 你要看的是什麼
[00:01:16 - 00:01:17] 哪些部分你錯了
[00:01:17 - 00:01:19] 你的知識點是思路
[00:01:19 - 00:01:20] 這樣之後呢
[00:01:20 - 00:01:22] 你的成績才會有變化有提升
[00:01:22 - 00:01:24] 還有就是你現在這個階段
[00:01:24 - 00:01:26] 每個同學的背考的情況都不一樣
[00:01:26 - 00:01:28] 有的人在為衝擊名校而奮進
[00:01:28 - 00:01:30] 有的人是為了上一個好的本科
[00:01:30 - 00:01:33] 所以說你要有你自己的複習節奏
[00:01:33 - 00:01:36] 不要因為其他因素去打亂你的計畫
[00:01:36 - 00:01:36] 知道了嗎
[00:01:36 - 00:01:39] 所以說複讀不是你現在該想的
[00:01:39 - 00:01:41] 只是你高考成績出來以後
[00:01:41 - 00:01:42] 也不是特別的理想
[00:01:42 - 00:01:45] 也不是還有我們高考志願填步這個環節
[00:01:45 - 00:01:46] 可以彌補嗎
[00:01:46 - 00:01:48] 有我在這你怕啥
[00:01:48 - 00:01:50] 再說了現在各個省份的高考政策
[00:01:50 - 00:01:51] 都不太一樣
[00:01:51 - 00:01:53] 新老高考交替的省份
[00:01:53 - 00:01:55] 這個複讀的成本和代價
[00:01:55 - 00:01:57] 還是相對稍微有一點大的
[00:01:57 - 00:02:00] 所以說大家要不要複讀一定要想好了
[00:02:00 - 00:02:02] 總之大家先背考別亂想
[00:02:02 - 00:02:04] 如果說根據自己的分數
[00:02:04 - 00:02:07] 相對之後報口的院校專業多了解一些
[00:02:07 - 00:02:09] 有沒有機會第一分勝的好大學好專業
[00:02:09 - 00:02:11] 去避免複讀賽遭對
[00:02:11 - 00:02:13] 跟著張老師絕對滿足你
