BV号：BV1Mh411H7A3
标题：BV1Mh411H7A3
链接：https://www.bilibili.com/video/BV1Mh411H7A3
识别语言：zh
语言置信度：1
分段数：73
生成时间：2026-04-03 22:12:37

[00:00:00 - 00:00:02] 等你大学毕业以后,研究生毕业以后的话
[00:00:02 - 00:00:03] 他得过来给你签字
[00:00:03 - 00:00:03] 才看得到
[00:00:03 - 00:00:04] 我说原来你是我学生
[00:00:04 - 00:00:06] 我说原来你是我导师
[00:00:06 - 00:00:07] 全导师也不一样
[00:00:07 - 00:00:08] 导师分成很多种
[00:00:08 - 00:00:10] 比如说咱们随便给大家举个例子
[00:00:10 - 00:00:11] 导师分成以下那么几种
[00:00:11 - 00:00:11] 第一种导师
[00:00:11 - 00:00:12] 什么叫导师
[00:00:12 - 00:00:15] 那你跟着他能学到东西
[00:00:15 - 00:00:17] 他会把毕生所学交给你
[00:00:17 - 00:00:19] 恨不得把全身武功都传授给你
[00:00:19 - 00:00:20] 知道吧
[00:00:20 - 00:00:21] 但他有不好的意味
[00:00:21 - 00:00:24] 他要把他毕生所学都交给你的话
[00:00:24 - 00:00:26] 他对你的要求一定会怎么样
[00:00:26 - 00:00:27] 相对严格一些
[00:00:27 - 00:00:29] 他当年有多么爱你
[00:00:29 - 00:00:31] 当他恨铁不成钢的时候
[00:00:31 - 00:00:33] 就有多么的恨
[00:00:33 - 00:00:35] 第二张导师什么呢导师
[00:00:35 - 00:00:36] 你考他的研究生
[00:00:36 - 00:00:38] 他能够帮助你去读博士
[00:00:38 - 00:00:41] 因为有的人读研目的很简单
[00:00:41 - 00:00:43] 读完研以后还要去读博士
[00:00:43 - 00:00:45] 你将来可以干一个非常稳定的工作
[00:00:45 - 00:00:47] 什么大学老师
[00:00:47 - 00:00:48] 所以说你化发念的中国读博士
[00:00:48 - 00:00:49] 跟大家完全相反
[00:00:49 - 00:00:51] 大家以为女生不愿意读博士
[00:00:51 - 00:00:53] 但是在中国其实读博士的人
[00:00:53 - 00:00:55] 大多数的人都是女生
[00:00:55 - 00:00:57] 因为读了博士可以当大学老师
[00:00:57 - 00:00:59] 大学老师这个工作稳定不稳定
[00:01:00 - 00:01:01] 很稳定吧
[00:01:02 - 00:01:02] 很稳定吧
[00:01:02 - 00:01:04] 一周没几个课
[00:01:04 - 00:01:06] 下了课跑得比你还快
[00:01:07 - 00:01:08] 很多人说老师我要去读博士
[00:01:08 - 00:01:09] 那你会发现怎么样
[00:01:09 - 00:01:11] 有的老师能帮你读博士
[00:01:11 - 00:01:13] 有的老师就没这个资源能帮你读博士
[00:01:13 - 00:01:14] 知道吧
[00:01:14 - 00:01:15] 在第二种导师
[00:01:15 - 00:01:17] 第三个导师更牛逼
[00:01:17 - 00:01:17] 他怎么样
[00:01:17 - 00:01:19] 他能帮你出国读博士
[00:01:19 - 00:01:21] 他能帮你出国读博士
[00:01:21 - 00:01:22] 第五种导师
[00:01:22 - 00:01:23] 这种导师更牛逼
[00:01:23 - 00:01:23] 怎么样呢
[00:01:23 - 00:01:25] 我们叫他六娃型导师
[00:01:25 - 00:01:26] 隐身
[00:01:26 - 00:01:26] 你看不见他
[00:01:27 - 00:01:30] 你从上严谨分那天起,这哥们就不在
[00:01:30 - 00:01:33] 要么就出国,要么就干别的事
[00:01:33 - 00:01:35] 基本上的话,联系基本靠微信
[00:01:35 - 00:01:36] 然后你也见不着他
[00:01:36 - 00:01:38] 等你大学毕业以后,严谨分毕业以后的话
[00:01:38 - 00:01:40] 他得过来给你签字
[00:01:40 - 00:01:42] 他还看得到,我才原来你是我学生
[00:01:42 - 00:01:44] 我才原来你是我导师
[00:01:44 - 00:01:47] 这种导师你会发现你跟着他可能学习不到的东西
[00:01:47 - 00:01:48] 他也不管你放羊
[00:01:48 - 00:01:51] 他也不能让你读博士,没什么资源
[00:01:51 - 00:01:51] 但怎么样呢?
[00:01:51 - 00:01:53] 这种导师好毕业
[00:01:53 - 00:01:55] 你华学很容易
[00:01:55 - 00:01:58] 有同学读研究生其实目的就是为了分个研究生文凭
[00:01:58 - 00:01:59] 他就为了滑水的
[00:01:59 - 00:02:02] 你看不同需求不一样对吧
