BV号：BV1Mt411L7o2
标题：BV1Mt411L7o2
链接：https://www.bilibili.com/video/BV1Mt411L7o2
识别语言：zh
语言置信度：1
分段数：395
生成时间：2026-04-04 07:37:05

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 胡州是浙江省的一个地级市风景秀丽
[00:00:05 - 00:00:08] 其中有这么一个镇,叫做知礼镇
[00:00:08 - 00:00:11] 在镇子里边有很多很多的同庄工厂
[00:00:11 - 00:00:13] 被称为中国同庄之乡
[00:00:13 - 00:00:15] 但是在1995年11月29日
[00:00:15 - 00:00:18] 就在知礼镇发生了自从建国以来
[00:00:18 - 00:00:21] 到当时胡州发生的最大的民安
[00:00:21 - 00:00:24] 两个犯罪嫌疑人一共是杀了四个人
[00:00:24 - 00:00:26] 抢劫杀人,性质极其恶劣
[00:00:26 - 00:00:29] 杀这四个人当中还有一个12岁的小孩
[00:00:29 - 00:00:33] 这么一个案子一直压在胡同警方的心头上
[00:00:33 - 00:00:34] 是一块大石头
[00:00:34 - 00:00:37] 警方就决定要全力的把这两个人
[00:00:37 - 00:00:38] 移掉给抓到案子里
[00:00:39 - 00:00:41] 结果时间过去了20多年
[00:00:41 - 00:00:42] 终于到了2017年
[00:00:42 - 00:00:45] 胡同警方用最新的外DNA接近技术
[00:00:45 - 00:00:47] 锁定了两个犯罪嫌疑人
[00:00:47 - 00:00:48] 并且将他们急拿回案
[00:00:49 - 00:00:50] 但是两个犯罪嫌疑人假和以
[00:00:50 - 00:00:51] 可能是因为犯了案子
[00:00:51 - 00:00:53] 也稍微学了点法律
[00:00:53 - 00:00:53] 他说你看
[00:00:53 - 00:00:55] 根据咱们中国的法律
[00:00:55 - 00:00:57] 那么追诉时效
[00:00:57 - 00:00:59] 像杀人案应该是20年
[00:00:59 - 00:01:02] 而你今天抓的我们已经过去了22年了
[00:01:02 - 00:01:05] 你们已经不能再对我们提起诉讼了
[00:01:05 - 00:01:06] 那问题来了
[00:01:06 - 00:01:09] 你说这么最大恶极的一个罪犯
[00:01:09 - 00:01:10] 过去了20多年
[00:01:10 - 00:01:12] 虽然说追诉时效已经过了
[00:01:12 - 00:01:16] 那这两个犯的贤人还能不能受到法律的制裁呢
[00:01:16 - 00:01:18] 这就是我们本期要跟大家讨论的案子
[00:01:27 - 00:01:27] 大家好
[00:01:27 - 00:01:29] 我是让许希斌的更快乐的张雪峰老师
[00:01:29 - 00:01:31] 欢迎大家收看本期的法律技师
[00:01:31 - 00:01:31] 很好玩
[00:01:31 - 00:01:34] 我们本期请到的嘉宾依然是我们研途教育的
[00:01:34 - 00:01:35] 前面老师
[00:01:35 - 00:01:36] 我们的法学专家
[00:01:36 - 00:01:38] 杨老师跟大家打个招呼吧
[00:01:38 - 00:01:38] 好
[00:01:38 - 00:01:39] 大家好
[00:01:39 - 00:01:40] 杨老师
[00:01:40 - 00:01:42] 你像这个案子说实话
[00:01:42 - 00:01:44] 这个兴趣极其恶劣
[00:01:44 - 00:01:45] 你说杀了四个人
[00:01:45 - 00:01:47] 而且还包括一个12岁的一个小孩
[00:01:47 - 00:01:48] 对
[00:01:48 - 00:01:51] 这个总有一些就是犯罪嫌疑人
[00:01:51 - 00:01:52] 他就指着说我跑
[00:01:53 - 00:01:54] 我跑到天涯海角
[00:01:54 - 00:01:56] 只要过了所谓的这种诉讼时效
[00:01:56 - 00:01:58] 那你可能就对我没招了
[00:01:58 - 00:01:59] 那像他们这个案子
[00:01:59 - 00:02:01] 已经都把人给抓着了
[00:02:01 - 00:02:01] 这两个人
[00:02:02 - 00:02:04] 这个到底能不能受到法律的制裁
[00:02:04 - 00:02:05] 好的
[00:02:05 - 00:02:09] 这个问题就签上咱们国家的官员刑法的追诉失效
[00:02:09 - 00:02:10] 这个追诉失效是这样的
[00:02:10 - 00:02:13] 就是说首先正常情况下
[00:02:13 - 00:02:14] 我们的追诉失效是分为极档的
[00:02:14 - 00:02:15] 第一个
[00:02:15 - 00:02:19] 如果你的法定最高刑不满五年的
[00:02:19 - 00:02:22] 那么经过五年就不再追诉
[00:02:22 - 00:02:25] 第二如果不满十年经过十年
[00:02:25 - 00:02:27] 第三如果是十年以上的有期徒刑
[00:02:27 - 00:02:30] 那么经过十五年
[00:02:30 - 00:02:33] 第四如果是无期徒刑死刑的
[00:02:33 - 00:02:34] 是经过二十年
[00:02:34 - 00:02:37] 我知道了,大概9个例子
[00:02:37 - 00:02:39] 比如说今天杨老师
[00:02:39 - 00:02:41] 可能我在大街上遇到一个人
[00:02:41 - 00:02:42] 我看他就很不满意
[00:02:42 - 00:02:44] 给他打了一顿
[00:02:44 - 00:02:46] 这个轻伤可能是不到5年以内
[00:02:46 - 00:02:47] 对对对,三年以下
[00:02:47 - 00:02:49] 我跑了可能5年以后这个事就
[00:02:49 - 00:02:52] 比如说你在第七年的时候
[00:02:52 - 00:02:53] 被发现了
[00:02:53 - 00:02:54] 这是有两种情况
[00:02:54 - 00:02:56] 第一种情况
[00:02:56 - 00:02:57] 我当时那个人来报案
[00:02:57 - 00:02:59] 说他被打成轻伤了
[00:02:59 - 00:03:01] 我公安一直没有发现你
[00:03:01 - 00:03:03] 我一直没有发现你
[00:03:03 - 00:03:06] 我公安知道出了这个问题
[00:03:06 - 00:03:08] 然后我追人一直没追到
[00:03:08 - 00:03:10] 7年之后才追到你
[00:03:10 - 00:03:12] 那么就叫过了追诉实相
[00:03:12 - 00:03:12] 过了追诉实相
[00:03:12 - 00:03:14] 不能再追究你了
[00:03:14 - 00:03:15] 甚至于7年之后
[00:03:15 - 00:03:16] 你良心发现了
[00:03:16 - 00:03:17] 自己去拍摄所
[00:03:17 - 00:03:20] 报案说我7年前我曾经干过什么事
[00:03:20 - 00:03:21] 我现在决定让你们把我抓走
[00:03:21 - 00:03:23] 我实在受不了良心的折磨了
[00:03:23 - 00:03:24] 公安一查说
[00:03:24 - 00:03:26] 您请回
[00:03:26 - 00:03:26] 就这个心情
[00:03:26 - 00:03:28] 如果你没有什么新的犯罪的话
[00:03:28 - 00:03:29] 他就追诉实相
[00:03:29 - 00:03:31] 就等于是一种保护
[00:03:31 - 00:03:34] 就是说你五年之内没有再犯新的罪
[00:03:34 - 00:03:36] 算你洗心革面了
[00:03:36 - 00:03:37] 对 你说太正确了
[00:03:37 - 00:03:39] 这个追溯实相的制度
[00:03:39 - 00:03:41] 很大的一个作用就是说
[00:03:41 - 00:03:43] 如果一个人犯了一个罪之后
[00:03:43 - 00:03:44] 他在很长一段时间
[00:03:44 - 00:03:45] 没有再犯新的罪
[00:03:45 - 00:03:48] 这个人就算是洗心革面了
[00:03:48 - 00:03:50] 这个已经是个好孩子了
[00:03:50 - 00:03:51] 我们就不追了
[00:03:51 - 00:03:53] 但是这个杀人
[00:03:53 - 00:03:54] 别急
[00:03:54 - 00:03:55] 那么就是说
[00:03:55 - 00:03:56] 这第一个
[00:03:56 - 00:03:58] 如果我公安一直没有追到你
[00:03:58 - 00:04:01] 那么这个时候经过五年就没事了
[00:04:01 - 00:04:04] 第二假如說你當天逃的時候
[00:04:04 - 00:04:06] 我們通過監控已經看到了
[00:04:06 - 00:04:08] 你呀你可是名人啊
[00:04:08 - 00:04:11] 我們一看就知道是張伯伯幹的
[00:04:11 - 00:04:13] 然後呢張伯伯呢
[00:04:13 - 00:04:14] 從此也不做老實了
[00:04:14 - 00:04:15] 確定就不見了
[00:04:15 - 00:04:18] 這樣哪怕17年之後
[00:04:18 - 00:04:21] 我們找到你都可以追究
[00:04:21 - 00:04:23] 就是如果我鎖定了
[00:04:23 - 00:04:24] 犯罪嫌疑人的情況下
[00:04:24 - 00:04:26] 對對對咱們的法條叫什麼呢
[00:04:26 - 00:04:28] 我們已經立案了
[00:04:28 - 00:04:31] 犯罪嫌疑人逃避偵查的
[00:04:31 - 00:04:33] 你从此老师也不当了什么也不干了
[00:04:34 - 00:04:34] 就不见了
[00:04:34 - 00:04:36] 逃避侦查
[00:04:36 - 00:04:38] 如果你逃避侦查那么终生
[00:04:38 - 00:04:39] 都可以
[00:04:39 - 00:04:39] 追溯
[00:04:40 - 00:04:41] 追溯实相对你不发挥作用
[00:04:42 - 00:04:43] 这就是我们经常看到那种啊
[00:04:43 - 00:04:46] 比如说周俊伦、张旭
[00:04:46 - 00:04:47] 不是张旭
[00:04:47 - 00:04:48] 开演唱会
[00:04:48 - 00:04:50] 张旭每次开演唱会的时候
[00:04:51 - 00:04:52] 都嫌疑人
[00:04:53 - 00:04:53] 逃犯被抓走
[00:04:54 - 00:04:57] 他们之所以说可能说有的人他犯的案子不是那么特别的大
[00:04:58 - 00:04:58] 对吧
[00:04:58 - 00:05:00] 他以为他所谓的
[00:05:00 - 00:05:02] 就是说我们所谓的贵的过着决斗术术校
[00:05:02 - 00:05:05] 但其实当时国安机关已经锁定它就是你了
[00:05:05 - 00:05:06] 对对对
[00:05:06 - 00:05:07] 这个跟决斗术术校是没关系的
[00:05:07 - 00:05:08] 对了对了
[00:05:08 - 00:05:10] 就是像你这种他那种人脸识别
[00:05:10 - 00:05:11] 就肯定是有具体人了
[00:05:11 - 00:05:12] 对啊
[00:05:12 - 00:05:14] 那么只要我对你是有一个追逃的
[00:05:14 - 00:05:16] 那么你任何时候
[00:05:17 - 00:05:18] 你只要被我看到
[00:05:18 - 00:05:19] 我就可以抓来审判
[00:05:19 - 00:05:20] 你别跑了
[00:05:20 - 00:05:21] 对吧
[00:05:21 - 00:05:22] 你跟别跑了
[00:05:22 - 00:05:23] 没有意义
[00:05:23 - 00:05:24] 对动作快点吧
[00:05:24 - 00:05:26] 去自首还能得到好点的态度
[00:05:26 - 00:05:28] 然后重庆减轻
[00:05:28 - 00:05:28] 就是
[00:05:28 - 00:05:29] 很好的
[00:05:29 - 00:05:31] 那么这是两种情况
