BV号：BV1Mx411y768
标题：BV1Mx411y768
链接：https://www.bilibili.com/video/BV1Mx411y768
识别语言：zh
语言置信度：1
分段数：133
生成时间：2026-04-04 13:27:28

[00:00:05 - 00:00:06] 啊?干啥呀?
[00:00:10 - 00:00:13] 好,欢迎大家来到张老师课堂,我是张雪峰老师
[00:00:38 - 00:00:41] 我都学的这么好 你让我换专业
[00:00:41 - 00:00:48] 对吧 有没有 对吧
[00:00:48 - 00:00:51] 哇 他们不白学了吗
[00:00:51 - 00:00:54] 对不对 我觉得谁应该换专业
[00:00:54 - 00:00:56] 那么学的不好 才应该换专业嘛
[00:00:56 - 00:00:59] 你说对不对 说 为什么学习不好
[00:00:59 - 00:01:01] 听个挂科 我不喜欢这个专业
[00:01:01 - 00:01:03] 我原来学这样
[00:01:03 - 00:01:04] 那你喜欢那个专业啊
[00:01:04 - 00:01:05] 老师 我喜欢那个专业
[00:01:05 - 00:01:06] 好 我再给你个机会啊
[00:01:06 - 00:01:07] 我帮你调到那个专业去
[00:01:07 - 00:01:09] 你他们再不好学
[00:01:09 - 00:01:11] 我就不给你学会这儿
[00:01:11 - 00:01:13] 我觉得这才是网络的对吧
[00:01:13 - 00:01:14] 很可惜我不是教育部部长
[00:01:14 - 00:01:16] 那同学你要知道
[00:01:16 - 00:01:18] 本科这段幻状业确实很难
[00:01:18 - 00:01:19] 但是考验上幻状业
[00:01:19 - 00:01:20] 那就相对简单多了
[00:01:20 - 00:01:21] 能不能
[00:01:21 - 00:01:23] 考验跨状业基本上就是随便跨
[00:01:23 - 00:01:24] 你想跨哪个
[00:01:24 - 00:01:24] 跨哪个
[00:01:24 - 00:01:26] 能不能退一步海阔天空
[00:01:26 - 00:01:28] 你比如说明明跨成同学安利
[00:01:28 - 00:01:28] 特别的多
[00:01:28 - 00:01:29] 有的人跟我说
[00:01:29 - 00:01:30] 张老师我真的很想跨状业
[00:01:30 - 00:01:32] 张老师我听说跨状业可难了
[00:01:32 - 00:01:34] 你听谁说的
[00:01:34 - 00:01:35] 他老师能能不难吗
[00:01:35 - 00:01:36] 没人家学了四年
[00:01:36 - 00:01:38] 我跟学一年我能干得过他吗
[00:01:38 - 00:01:39] 同学你千万别这么想知道吧
[00:01:39 - 00:01:41] 同学就跟你一个问题啊
[00:01:41 - 00:01:42] 你说你一个专业学了两三年
[00:01:42 - 00:01:43] 你学的啥了
[00:01:44 - 00:01:46] 这边啥也没学的啊
[00:01:46 - 00:01:47] 我跟你说他学四年跟你一个得选的
[00:01:47 - 00:01:48] 对吧
[00:01:48 - 00:01:50] 所以该跨就跨知道吧
[00:01:50 - 00:01:51] 你想每年跨专业成功的同学
[00:01:51 - 00:01:52] 我比较多哈
[00:01:52 - 00:01:54] 你看我见过一个跨专业考研
[00:01:54 - 00:01:55] 最成功的一个同学
[00:01:55 - 00:01:56] 是我的一个大学同学
[00:01:56 - 00:01:57] 知道吧
[00:01:57 - 00:01:59] 那一个人们就很不喜欢自己的专业
[00:01:59 - 00:01:59] 知道吧
[00:01:59 - 00:02:00] 我觉得他那个都不能叫
[00:02:00 - 00:02:02] 不喜欢自己的专业
[00:02:02 - 00:02:03] 他那个绝对就恨自己的专业
[00:02:03 - 00:02:04] 知道吧
[00:02:04 - 00:02:05] 看到什么程度
[00:02:06 - 00:02:07] 每次在专业课的时候
[00:02:07 - 00:02:08] 我们都有人在后面拉起来
[00:02:08 - 00:02:09] 知道吧
[00:02:09 - 00:02:10] 就是你不拉起来
[00:02:10 - 00:02:11] 他就冲上来干了这个卡死
[00:02:12 - 00:02:13] 他就那么恨着这个专业
[00:02:13 - 00:02:13] 知道吧
[00:02:13 - 00:02:15] 而且当时我们在读本课的时候呢
[00:02:15 - 00:02:16] 我们就要有一个规定
[00:02:16 - 00:02:18] 就是你挂开挂到二十五个学分
[00:02:18 - 00:02:19] 你就没有学证了
[00:02:19 - 00:02:21] 那边大哥大一就完成了这个重课
[00:02:21 - 00:02:22] 知道吧
[00:02:22 - 00:02:23] 就大一就挂到没有学证了
[00:02:23 - 00:02:25] 到大二的时候就没有毕业证了
[00:02:25 - 00:02:25] 知道吧
[00:02:25 - 00:02:26] 但是这你要知道
[00:02:26 - 00:02:26] 如果说这个学分
[00:02:26 - 00:02:28] 但没有学证没有毕业证的话
[00:02:28 - 00:02:29] 毕业以后发个什么证儿
[00:02:30 - 00:02:31] 对 叫做一业证儿
[00:02:34 - 00:02:35] 他就觉得说这些人都非的
[00:02:35 - 00:02:37] 大家同学不用太担心
[00:02:37 - 00:02:38] 为什么呢
[00:02:38 - 00:02:39] 他学的作业比较好工作
[00:02:39 - 00:02:40] 他学什么作业呢
[00:02:40 - 00:02:41] 叫做水利水利工程
[00:02:41 - 00:02:42] 水利水利工程
[00:02:42 - 00:02:44] 你们知道这个作业比例是干嘛的吗
[00:02:44 - 00:02:45] 修水能战的
[00:02:45 - 00:02:46] 对吧
[00:02:46 - 00:02:48] 大家担心知道修水能战它去哪儿说
[00:02:48 - 00:02:50] 是不是大山里边水还挺多呀
[00:02:50 - 00:02:51] 这还是可以忍受的
[00:02:51 - 00:02:53] 它忍受不了的是什么呢
[00:02:53 - 00:02:55] 它忍受不了的是公地的名云
[00:02:55 - 00:02:55] 知道吧
[00:02:55 - 00:02:56] 因为他们那个作业
[00:02:56 - 00:02:58] 本来就有男生多女生
[00:02:58 - 00:02:58] 知道吧
[00:02:58 - 00:02:59] 他们那个作业
[00:02:59 - 00:03:01] 一百五十个人十四个女生
[00:03:01 - 00:03:02] 女生早不说吧
[00:03:02 - 00:03:03] 他们体量还不好
[00:03:03 - 00:03:03] 知道吧
[00:03:03 - 00:03:05] 有的女生胡子长得比我多快
[00:03:05 - 00:03:06] 知道了
[00:03:06 - 00:03:08] 他们转的女生就塞上嘴巴
[00:03:08 - 00:03:08] 知道了
[00:03:08 - 00:03:09] 后来听着没一看
[00:03:09 - 00:03:10] 能不能这质量
