BV号：BV1NChXzXELu
标题：BV1NChXzXELu
链接：https://www.bilibili.com/video/BV1NChXzXELu
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-04-03 04:06:35

[00:00:00 - 00:00:01] 中医分野分科史
[00:00:01 - 00:00:03] 它只不过是在研究生界当中分
[00:00:03 - 00:00:05] 我给大家科普一下
[00:00:05 - 00:00:06] 来 各位朋友
[00:00:06 - 00:00:08] 这是我们的临床
[00:00:08 - 00:00:10] 这是我们的中西结合
[00:00:10 - 00:00:11] 这是我们的中医类
[00:00:11 - 00:00:12] 来 各位朋友
[00:00:12 - 00:00:14] 带你学习一下
[00:00:14 - 00:00:15] 我们临床医学的话
[00:00:15 - 00:00:17] 我们一般情况都叫临床医学
[00:00:17 - 00:00:19] 临床医学叫大临床
[00:00:19 - 00:00:20] 你可以把这个理解给大临床
[00:00:20 - 00:00:22] 然后下面的临床的叫小临床
[00:00:22 - 00:00:24] 下面的小临床都是临床的科史
[00:00:24 - 00:00:27] 麻醉学 医学影像学 演示光医学
[00:00:27 - 00:00:29] 精神医学 方学医学 儿科学
[00:00:29 - 00:00:32] 这是在本科阶段招生的6个小名房
[00:00:32 - 00:00:34] 那实际上临床的科学要分得更细
[00:00:34 - 00:00:36] 大家如果说你到医院看过病的话
[00:00:36 - 00:00:37] 你都应该知道
[00:00:37 - 00:00:39] 我们在医院看病的话
[00:00:39 - 00:00:41] 它的临床科学会分得更细致一些
[00:00:41 - 00:00:44] 比如说它就分内科外科
[00:00:44 - 00:00:45] 对吧 肿瘤肤产
[00:00:45 - 00:00:46] 包括说我们有心内
[00:00:46 - 00:00:47] 消化内 血液内 循环内
[00:00:47 - 00:00:49] 它分得更细一些
[00:00:49 - 00:00:52] 如果说中国学术型研究生的角度来讲的话
[00:00:52 - 00:00:53] 来给大家看一下
[00:00:53 - 00:00:54] 来 各位朋友
[00:00:54 - 00:00:55] 你看从这开始
[00:00:55 - 00:00:57] 从102开始
[00:00:57 - 00:01:02] 内科儿科老年医学精神病学精神卫生学精神精神病与精神卫生学
[00:01:02 - 00:01:06] 皮肤病学与性病学医学影像学与合医学
[00:01:06 - 00:01:08] 临床检验诊断学外科学
[00:01:08 - 00:01:11] 副场科学眼科学耳鼻烟红科学
[00:01:11 - 00:01:13] 总留学康复医学医理疗学
[00:01:13 - 00:01:17] 大家注意这个是带缝说老师
[00:01:17 - 00:01:19] 哎我看到这个中国访科专业目录里边
[00:01:19 - 00:01:21] 一季里边不也有这个吗
[00:01:21 - 00:01:25] 老师你看医学技术里边是不是也有康复啊医学里边是不是也有康复啊
[00:01:25 - 00:01:28] 这个一计里边是不是也有检验技术啊
[00:01:28 - 00:01:29] 对吧检验技术对吧
[00:01:29 - 00:01:31] 但是各位朋友请注意一下啊
[00:01:31 - 00:01:32] 这个是临床类
[00:01:32 - 00:01:33] 这是临床类
[00:01:33 - 00:01:34] 这个是一计类
[00:01:34 - 00:01:36] 一计类考不了临床类
[00:01:36 - 00:01:37] 你怎么说我可不可以这样
[00:01:37 - 00:01:39] 老师我本开阶段学了一个医学技术
[00:01:39 - 00:01:42] 我本开阶段学了一个康复治疗学
[00:01:42 - 00:01:42] 看到了吗
[00:01:42 - 00:01:43] 这是一计类
[00:01:43 - 00:01:44] 然后我考研的时候
[00:01:44 - 00:01:46] 我考临床医学当中的这个
[00:01:46 - 00:01:48] 康复医学与理疗学
[00:01:48 - 00:01:49] 不能搞这什么
[00:01:49 - 00:01:50] 这是临床类
[00:01:50 - 00:01:51] 你那个是一计类
[00:01:51 - 00:01:51] 它是搞不了的
[00:01:51 - 00:01:53] 它不是一个东西啊
[00:01:53 - 00:01:54] 它不是一个东西
[00:01:54 - 00:01:55] 一计就是一计
[00:01:55 - 00:01:56] 临床就是临床
[00:01:56 - 00:01:58] 然后的话临床分大临床和小临床
[00:01:58 - 00:01:59] 大临床的话就是临床一学
[00:01:59 - 00:02:01] 小临床的话就是种流啊
[00:02:01 - 00:02:01] 腐散啊
[00:02:01 - 00:02:02] 就这叫小临床
[00:02:02 - 00:02:04] 中医也是这样
[00:02:04 - 00:02:05] 中医在本科阶段的时候
[00:02:05 - 00:02:06] 大家你会发现这是我们的
[00:02:06 - 00:02:08] 中国本科临床
[00:02:08 - 00:02:09] 来这你看中国本科临床
[00:02:09 - 00:02:10] 里边中医有什么
[00:02:10 - 00:02:11] 看到吗
[00:02:11 - 00:02:12] 中医学
[00:02:12 - 00:02:13] 中医儿科学
[00:02:13 - 00:02:13] 中医养生学
[00:02:13 - 00:02:14] 中医康复学
[00:02:14 - 00:02:15] 这是我们
[00:02:15 - 00:02:16] 中国本科临床的中医
[00:02:16 - 00:02:19] 但是我们都中医的研究成阶段
[00:02:19 - 00:02:21] 来各位朋友看一下中医下面
[00:02:21 - 00:02:22] 中医下面看到没
[00:02:22 - 00:02:23] 中医基础理论
[00:02:23 - 00:02:24] 中医临床基础
[00:02:24 - 00:02:26] 中医医史文献
[00:02:26 - 00:02:26] 方计
[00:02:26 - 00:02:30] 中医整段中医内科中医外科中医股上中医肤产
[00:02:30 - 00:02:32] 中医肤科中医儿科中医武官
[00:02:32 - 00:02:32] 真就退囊
[00:02:32 - 00:02:34] 是讲他是小科室
[00:02:34 - 00:02:35] 到了中西医结合
[00:02:35 - 00:02:36] 他就是中西医结合
[00:02:36 - 00:02:37] 他不分具体的科室
