BV号：BV1NR4y1K7xQ
标题：BV1NR4y1K7xQ
链接：https://www.bilibili.com/video/BV1NR4y1K7xQ
识别语言：zh
语言置信度：1
分段数：22
生成时间：2026-04-03 19:39:48

[00:00:00 - 00:00:01] 長安大學怎麼樣,很好啊
[00:00:01 - 00:00:04] 長安大學這個學校原來是我們交通部的支持院校
[00:00:04 - 00:00:07] 大家請注意,長安大學所有的方向都是跟公路有關
[00:00:07 - 00:00:09] 你如果說在長安大學學的土木
[00:00:09 - 00:00:12] 你將來你的孩子將會畢業以後的話去修公路
[00:00:12 - 00:00:14] 而不是去蓋房子
[00:00:14 - 00:00:16] 你想清楚想明白
[00:00:16 - 00:00:19] 我告訴你很多家長在抱卷的時候怎麼樣
[00:00:19 - 00:00:21] 單純拿分數去給孩子抱卷
[00:00:21 - 00:00:25] 根本就不考慮這個學校這個專業是什麼方向
[00:00:25 - 00:00:27] 不是你不考慮,是你根本就不知道
[00:00:27 - 00:00:28] 對吧
[00:00:28 - 00:00:30] 同样是土木
[00:00:30 - 00:00:31] 同样是土木
[00:00:31 - 00:00:33] 有的学校毕业是盖房子
[00:00:33 - 00:00:35] 有的学校毕业是修公路
[00:00:35 - 00:00:36] 有的学校毕业是修铁路
[00:00:36 - 00:00:39] 有的学校毕业是修框
[00:00:39 - 00:00:41] 不同学校不一样
[00:00:41 - 00:00:43] 你别瞎抱
[00:00:43 - 00:00:43] 知道了
[00:00:43 - 00:00:44] 你不要瞎抱啊
