BV号：BV1NuydYnEah
标题：BV1NuydYnEah
链接：https://www.bilibili.com/video/BV1NuydYnEah
识别语言：zh
语言置信度：1
分段数：129
生成时间：2026-04-03 07:53:52

[00:00:00 - 00:00:03] 然後有幾個學校想張老師幫我們參考一下
[00:00:03 - 00:00:08] 就是一個是大連理工的那個計算機類跟電子信息類
[00:00:08 - 00:00:13] 和基林大學的那個計算機跟電子信息
[00:00:13 - 00:00:19] 因為我看那個學科評估計算機那個極大的比可能比大工的
[00:00:19 - 00:00:21] 就是極大是A級
[00:00:21 - 00:00:24] 我看大連理工是B加這個應該
[00:00:24 - 00:00:29] 雅朗施政其实差别没有你想象当中那么大
[00:00:29 - 00:00:32] 你知道这个A减和B加是怎么来的吗 家长
[00:00:32 - 00:00:34] 不清楚
[00:00:34 - 00:00:35] 我刚跟大家说一下
[00:00:35 - 00:00:37] 这个学科评估是怎么来的
[00:00:37 - 00:00:40] 这个学科评估它其实是一个百分比的体现
[00:00:40 - 00:00:41] 什么叫百分比的体现呢
[00:00:41 - 00:00:44] 比如说我们在评估的时候A加
[00:00:44 - 00:00:50] 基本上的话就是参与学科评估高校的前2%是A加
[00:00:50 - 00:00:52] 那么具体有几个A加
[00:00:52 - 00:00:55] 其实就是看参与评估的学校有多少
[00:00:55 - 00:00:57] 如果说参与评估的学校有50个以上
[00:00:57 - 00:00:59] 那A加就是两个
[00:00:59 - 00:01:03] 然后A的第一名跟A加
[00:01:03 - 00:01:06] 你看起来第一第二就前两个是A加
[00:01:06 - 00:01:07] 然后第三个是A
[00:01:07 - 00:01:10] 其实仅仅他们两个之间的差距
[00:01:10 - 00:01:12] 可能就是第二和第三的差距
[00:01:12 - 00:01:16] 但是因为他这个所谓平等级的评估规则
[00:01:16 - 00:01:18] 正好就卡在了这
[00:01:18 - 00:01:18] 所以说的话
[00:01:18 - 00:01:20] 它跟它
[00:01:20 - 00:01:22] 你看起来好看所谓的档次不一样
[00:01:22 - 00:01:25] 如果说这个A的第一名
[00:01:25 - 00:01:27] 它想获凭A加怎么办呢
[00:01:27 - 00:01:31] 就让更多的学校参与学科评估
[00:01:31 - 00:01:32] 当有100个以上的学校
[00:01:32 - 00:01:34] 参与学科评估的时候
[00:01:34 - 00:01:36] A加的数量就变成了3
[00:01:36 - 00:01:38] 那A的第一名就变成了A加
[00:01:38 - 00:01:39] 加了你听明白了吗
[00:01:39 - 00:01:41] 啊 我明白了
[00:01:41 - 00:01:44] 所以说其实它俩是一个档次的
[00:01:44 - 00:01:48] 它只不过就是正好学科评估的那个数量
[00:01:48 - 00:01:49] 卡在了那儿
[00:01:49 - 00:01:52] 还导致它一个是所谓的A减
[00:01:52 - 00:01:53] 一个是所谓的B加
[00:01:53 - 00:01:55] 就是因为学科评估数量
[00:01:55 - 00:01:57] 它卡在就卡在那儿了
[00:01:57 - 00:01:58] 能明白吧
[00:01:58 - 00:01:59] 所以说你会发现有的时候
[00:02:00 - 00:02:03] 那些就是排名在A相对靠前的学校
[00:02:03 - 00:02:06] 和排名在B加相对靠前的学校
[00:02:06 - 00:02:09] 它为了所谓的冲A
[00:02:09 - 00:02:10] 就是经常会有那种
[00:02:10 - 00:02:12] 所谓的学科为B加的学校
[00:02:12 - 00:02:14] 说我们今年这个学科要冲A
[00:02:14 - 00:02:15] 它会怎么办呢
[00:02:15 - 00:02:16] 两个办法
[00:02:16 - 00:02:18] 第一个办法 努力增强自己
[00:02:18 - 00:02:20] 然后让自己的水平变得更高
[00:02:20 - 00:02:22] 然后的话我超过上一个
[00:02:22 - 00:02:24] 这是我们大多数人的死路对吧
[00:02:24 - 00:02:25] 但是还有第二个死路是什么呢
[00:02:25 - 00:02:27] 他把他的一些所谓的科研团队
[00:02:27 - 00:02:30] 阿拉奇巴道的去支援后面的学校
[00:02:30 - 00:02:31] 去呼忧
[00:02:31 - 00:02:33] 没有原来参与学科评估的学校
[00:02:33 - 00:02:35] 呼忧他去参与学科评估
[00:02:35 - 00:02:37] 参与学科评估的高校多了
[00:02:37 - 00:02:39] 那么A加的数量也多了
[00:02:39 - 00:02:40] A的数量也多了
[00:02:40 - 00:02:42] 他也许就能从B加
[00:02:42 - 00:02:43] 什么都不干的情况下
[00:02:43 - 00:02:45] 就因为别人参加的学科评估
[00:02:45 - 00:02:46] 自己变成了A 听懂了吗
[00:02:46 - 00:02:47] 听懂了
[00:02:47 - 00:02:48] 对
[00:02:48 - 00:02:50] 所以说这种所谓的这种A加
[00:02:50 - 00:02:51] A减
[00:02:51 - 00:02:55] 如果说它中间能差两个等级
[00:02:55 - 00:02:56] 比如说一个是A
[00:02:56 - 00:02:57] 一个是B加
[00:02:57 - 00:02:58] 它中间差了A减这个等级
[00:02:58 - 00:03:00] 那它们之间会有明显的差别
[00:03:00 - 00:03:02] 但如果说中间差了一个等级
[00:03:02 - 00:03:04] 尤其是一个等级的最末端
[00:03:04 - 00:03:05] 和下一个等级的最权端
[00:03:05 - 00:03:08] 你非得比较它俩谁更好
[00:03:08 - 00:03:10] 其实一点意义都没有
[00:03:10 - 00:03:11] 那你问的这两个学校
[00:03:11 - 00:03:12] 也是属于这种情况
[00:03:12 - 00:03:13] 都是985
[00:03:13 - 00:03:16] 然后基本上学科评估也都差不多
[00:03:16 - 00:03:17] 没有那么多
[00:03:17 - 00:03:17] 对吧
[00:03:17 - 00:03:18] 其实水平都差不多
[00:03:18 - 00:03:20] 没有你想象的差别那么大
[00:03:20 - 00:03:22] 就业的时候更是这样
[00:03:22 - 00:03:23] 一般抢往下大多数的企业
[00:03:23 - 00:03:25] 他跑东北这条高平线
[00:03:25 - 00:03:26] 一般都是这样的
[00:03:26 - 00:03:28] 先去大连
[00:03:28 - 00:03:29] 再去水洋
