BV号：BV1Pm4y157sv
标题：BV1Pm4y157sv
链接：https://www.bilibili.com/video/BV1Pm4y157sv
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 13:46:19

[00:00:00 - 00:00:00] 你好 鄭老師
[00:00:00 - 00:00:01] 你好
[00:00:01 - 00:00:02] 我家是今年高三
[00:00:02 - 00:00:03] 我們在深圳
[00:00:03 - 00:00:04] 我想想問一下
[00:00:04 - 00:00:05] 飛行員
[00:00:05 - 00:00:06] 你覺得飛行員怎麼樣
[00:00:06 - 00:00:06] 可以啊
[00:00:06 - 00:00:08] 前提是你能接受不著家
[00:00:08 - 00:00:09] 不著家
[00:00:09 - 00:00:10] 因為他經常出差嘛
[00:00:10 - 00:00:11] 他飛行員嘛 對吧
[00:00:11 - 00:00:13] 他的那個成績大概在
[00:00:13 - 00:00:14] 570左右這樣子
[00:00:14 - 00:00:16] 這個應該飛行員還要去體檢的嘛
[00:00:16 - 00:00:18] 就怕阿姨體驗過不了了嘛
[00:00:18 - 00:00:19] 那不得還要選
[00:00:19 - 00:00:20] 啊 還普通批嘛 對吧
[00:00:20 - 00:00:22] 讓他學計算機跟電子試機
[00:00:22 - 00:00:23] 那你這個分就有點小尷尬了
[00:00:23 - 00:00:25] 因為我們在深圳
[00:00:25 - 00:00:26] 也被建議說我們要出省
[00:00:26 - 00:00:28] 或者是會不會那個學校
[00:00:28 - 00:00:29] 家長 我這麼說吧
[00:00:29 - 00:00:31] 你现在刚上高三
[00:00:31 - 00:00:33] 你还有大概将近一年的时间
[00:00:33 - 00:00:34] 你要在墙边画一个大饼
[00:00:34 - 00:00:35] 你那个大饼的话
[00:00:35 - 00:00:36] 就是最起码得是广工
[00:00:36 - 00:00:38] 如果广工在网上的话
[00:00:38 - 00:00:39] 那当然就是深大了嘛
[00:00:39 - 00:00:39] 对吧
[00:00:39 - 00:00:41] 你现在的分你离广工
[00:00:41 - 00:00:42] 没有那么远啊
[00:00:42 - 00:00:43] 我要是你的话我就
[00:00:44 - 00:00:45] 直接干广工
[00:00:45 - 00:00:46] 最起码出了广工出了
[00:00:46 - 00:00:48] 因为它的英语成绩比较差
[00:00:48 - 00:00:49] 都跟你再加点英语成绩
[00:00:49 - 00:00:50] 最好上了
[00:00:50 - 00:00:51] 英语现在就80分左右
[00:00:51 - 00:00:51] 这样子
[00:00:51 - 00:00:52] 80啊
[00:00:52 - 00:00:54] 你这一颗提分的空间
[00:00:54 - 00:00:55] 都让你上广工了
[00:00:55 - 00:00:57] 你其他颗在提一提你深大了
[00:00:57 - 00:00:57] 提分去
[00:00:57 - 00:00:58] 知道吧
[00:00:58 - 00:00:59] 别想要出省提分去啊
[00:00:59 - 00:01:00] 就不建议出省是吧
[00:01:00 - 00:01:01] 不是不建议加调
[00:01:01 - 00:01:03] 你家神真的你干嘛要出省啊
[00:01:08 - 00:01:09] 呃不建议出省是吧
[00:01:09 - 00:01:11] 不是不建议出省加调
[00:01:11 - 00:01:12] 你能上本省好学生
[00:01:12 - 00:01:13] 你干嘛要出省
[00:01:13 - 00:01:15] 这跟我建不建议出省没关系好吧
[00:01:15 - 00:01:16] 你现在英语八十分
[00:01:16 - 00:01:18] 你晚上提到110你就能上到广东
[00:01:18 - 00:01:20] 你干嘛不在本省上广东呢
