BV号：BV1Pt411i7fr
标题：BV1Pt411i7fr
链接：https://www.bilibili.com/video/BV1Pt411i7fr
识别语言：zh
语言置信度：1
分段数：246
生成时间：2026-04-04 08:59:09

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪枫老师
[00:00:03 - 00:00:21] 大家好
[00:00:21 - 00:00:24] 我是让学习别人更快乐的张雪枫老师
[00:00:24 - 00:00:26] 欢迎大家收看本期的张老师课堂
[00:00:26 - 00:00:30] 严丑的就要考研考试了
[00:00:30 - 00:00:32] 也不知道大家到底复习的怎么样
[00:00:32 - 00:00:34] 可能有的人已经开始打退堂舞了
[00:00:34 - 00:00:38] 有的人可能已经开始想好说
[00:00:38 - 00:00:39] 我将来严严分别以后
[00:00:39 - 00:00:41] 我未来过怎样的生活
[00:00:41 - 00:00:41] 我要找怎样的工作
[00:00:41 - 00:00:43] 我预约中多少钱了
[00:00:43 - 00:00:45] 现在还没考试呢
[00:00:45 - 00:00:46] 都不要想那么多
[00:00:46 - 00:00:49] 咱們進行的主要給大家講講考研的
[00:00:49 - 00:00:51] 怎麼去調節你自己的心情
[00:00:51 - 00:00:54] 其實考研的這種緊張的
[00:00:54 - 00:00:56] 我也能理解大家
[00:00:56 - 00:00:59] 尤其是有的同學都已經復習了一年多
[00:00:59 - 00:01:01] 甚至有同學復習了兩年
[00:01:01 - 00:01:04] 就覺得說考研它最後就就檢驗你
[00:01:04 - 00:01:06] 最後的一年到兩年在學習成果
[00:01:06 - 00:01:08] 學習狀態到底怎麼樣
[00:01:08 - 00:01:10] 其實我想說的是什麼的
[00:01:10 - 00:01:12] 就是大家你會發現每年考研以後
[00:01:12 - 00:01:14] 就是考上了和考不上了
[00:01:14 - 00:01:15] 他自己能不能考上
[00:01:15 - 00:01:17] 他自己心里其实都是有数的
[00:01:17 - 00:01:19] 因为有的同学在考研的时候
[00:01:19 - 00:01:21] 复习就是为了感动自己
[00:01:21 - 00:01:24] 有的人考研的复习真的是他大师就去复习的
[00:01:24 - 00:01:27] 所以说你会发现大家最后考上考上
[00:01:27 - 00:01:30] 其实心里都知道的差不多了
[00:01:30 - 00:01:31] 然后有的同学我想说的是什么呢
[00:01:31 - 00:01:33] 就是现在这个阶段你千万不要去放弃
[00:01:33 - 00:01:36] 其实在考前最压抑的是什么呢
[00:01:36 - 00:01:38] 最压抑的是可能那种
[00:01:38 - 00:01:41] 周围同学都不理解
[00:01:41 - 00:01:43] 或者说是亲戚朋友都不理解
[00:01:43 - 00:01:46] 因为你在一年多你可能放弃了很多
[00:01:46 - 00:01:49] 跟同学出去玩或者说是接受的一个机会
[00:01:49 - 00:01:50] 然后就比较苦闷
[00:01:50 - 00:01:52] 比如像去年我记得
[00:01:52 - 00:01:53] 不知道大家还记不记得
[00:01:53 - 00:01:55] 就是去年有一个女生
[00:01:55 - 00:01:56] 在复习考研的过程当中
[00:01:56 - 00:01:58] 然后在教室里边就拿了一本书
[00:01:58 - 00:02:00] 自己还拿了一盆啤酒的
[00:02:00 - 00:02:01] 光当光当地喝
[00:02:02 - 00:02:03] 其实如果大家那个时候
[00:02:03 - 00:02:04] 你心情孤独的话
[00:02:04 - 00:02:05] 你怎么办
[00:02:05 - 00:02:06] 我希望大家能够
[00:02:06 - 00:02:09] 要么就是看看张老师以前的视频
[00:02:09 - 00:02:10] 那你可以看到我讲做的视频
[00:02:10 - 00:02:12] 可以去缓解大家这种简单的情绪
[00:02:12 - 00:02:14] 因为确实是时候很同学
[00:02:14 - 00:02:15] 就是一到考研
[00:02:15 - 00:02:16] 父亲的育门了
[00:02:16 - 00:02:17] 难受了
[00:02:17 - 00:02:19] 他就看我以前讲课的那些视频
[00:02:19 - 00:02:20] 然后的话
[00:02:20 - 00:02:20] 第二呢
[00:02:20 - 00:02:22] 就是你可以给家人
[00:02:22 - 00:02:23] 亲亲朋友
[00:02:23 - 00:02:24] 你打起电话
[00:02:24 - 00:02:27] 去把你自己这种心理的压抑给说出来
[00:02:27 - 00:02:28] 就是如果说你紧张的话
[00:02:28 - 00:02:29] 大家一定要去说出来
[00:02:29 - 00:02:30] 如果你压抑的话
[00:02:30 - 00:02:31] 一定要去说出来
[00:02:31 - 00:02:32] 你自己毕业的话
[00:02:32 - 00:02:34] 真的是容易变坏了
[00:02:34 - 00:02:35] 像有的同学就是
[00:02:35 - 00:02:37] 因为我们前两天录了一个视频
[00:02:37 - 00:02:38] 就是给我们考研
[00:02:38 - 00:02:39] 付到机构
[00:02:39 - 00:02:41] 录的一个学生
[00:02:41 - 00:02:43] 我们往年考生的一些经验
[00:02:43 - 00:02:44] 然后其中就一个学生
[00:02:44 - 00:02:45] 我印象很深
[00:02:45 - 00:02:45] 他说
[00:02:45 - 00:02:47] 他每一次就是
[00:02:47 - 00:02:48] 难受
[00:02:48 - 00:02:49] 复习的时候
[00:02:49 - 00:02:50] 就是怎么样的
[00:02:50 - 00:02:51] 就该哭就哭
[00:02:51 - 00:02:51] 知道吧
[00:02:51 - 00:02:54] 就坐梯坐梯坐着眼泪就哗哗掉
[00:02:54 - 00:02:55] 然后的话
[00:02:55 - 00:02:56] 那就跑旁边人就看他说
[00:02:56 - 00:02:58] 大姐怎么一边坐梯一边哭啊
[00:02:58 - 00:02:58] 对吧
[00:02:58 - 00:02:59] 你紧张你的
[00:02:59 - 00:02:59] 对吧
[00:02:59 - 00:03:00] 你看你的
[00:03:00 - 00:03:01] 我哭我的
[00:03:01 - 00:03:01] 对吧
[00:03:01 - 00:03:03] 因为我要说不发泄的话
[00:03:03 - 00:03:04] 那我可能就
[00:03:04 - 00:03:05] 就就很难受
[00:03:05 - 00:03:05] 对吧
[00:03:05 - 00:03:06] 又们怎么样的
[00:03:06 - 00:03:07] 就给假着边人打电话
[00:03:07 - 00:03:08] 给他妈打电话
[00:03:08 - 00:03:09] 给他爸打电话
[00:03:09 - 00:03:10] 给他弟弟妹妹
[00:03:10 - 00:03:11] 朋友打电话
[00:03:11 - 00:03:13] 每次打电话打的也会很长时间
[00:03:13 - 00:03:15] 就是把自己心里的这种紧张和压抑
[00:03:15 - 00:03:16] 给它出发出来
[00:03:16 - 00:03:18] 然后你出发出来以后你会发现
[00:03:19 - 00:03:20] 真的整个人就会轻松很多
[00:03:20 - 00:03:21] 好很多
[00:03:21 - 00:03:23] 所以说大家这会一定要去
[00:03:23 - 00:03:25] 该去发泄一下
[00:03:25 - 00:03:26] 就去发泄一下
[00:03:26 - 00:03:28] 然后另外的会大家在这会复习的时候
[00:03:28 - 00:03:29] 就是复习的内容
[00:03:29 - 00:03:30] 大家一定要注意
[00:03:30 - 00:03:31] 就是我再说一下
[00:03:31 - 00:03:33] 就是正式这个鞋段
[00:03:33 - 00:03:34] 大家一定要去往此里就去背
[00:03:34 - 00:03:36] 因为这个时候你背多少
[00:03:36 - 00:03:38] 你到口上就能写出来多少
[00:03:38 - 00:03:38] 然后的话
[00:03:38 - 00:03:39] 像其他科目的话
[00:03:39 - 00:03:40] 包括像专业课
[00:03:40 - 00:03:42] 专业课的真体重复率特别的高
[00:03:42 - 00:03:43] 你专业课的话
[00:03:43 - 00:03:45] 你再把你往年这个学校
[00:03:45 - 00:03:47] 这个专业考过的一些专业课的真体
[00:03:47 - 00:03:49] 你反复的去看反复去看
[00:03:49 - 00:03:51] 说不定就会出现一天
[00:03:51 - 00:03:53] 专业课经常考的一些提醒
[00:03:53 - 00:03:54] 或者经常考的一些知识点
[00:03:54 - 00:03:56] 这样的话大家专业课的话
[00:03:56 - 00:03:57] 可以再考前是临时抱抱佛脚
[00:03:57 - 00:03:59] 这都是有意义的
[00:03:59 - 00:04:01] 大家你会发现你上了这么多年大学
[00:04:01 - 00:04:02] 你应该知道对吧
[00:04:02 - 00:04:04] 专业课是可以让你很短的时间
[00:04:04 - 00:04:05] 复习到很高的分数的对吧
[00:04:05 - 00:04:07] 而英语和数学在这个阶段怎么样
[00:04:07 - 00:04:09] 一定要去查缺补肉
[00:04:09 - 00:04:11] 一定要去查缺补肉
[00:04:11 - 00:04:13] 所以说大家在这几颗在复习的时候
[00:04:13 - 00:04:15] 大家一定要注意一下顺序
[00:04:15 - 00:04:16] 包括英语的话
[00:04:16 - 00:04:18] 我强烈建议大家在最后的阶段
[00:04:18 - 00:04:20] 一定要去做这个作文
[00:04:20 - 00:04:21] 在动手去写
[00:04:21 - 00:04:23] 你只要去写熟了
[00:04:23 - 00:04:25] 你在考场上的书书作文
[00:04:25 - 00:04:26] 你就自己慢慢慢慢
[00:04:26 - 00:04:27] 你就绘绘写了
[00:04:27 - 00:04:29] 你千万不要说只背一个作文模板
[00:04:29 - 00:04:32] 然后我指望了我到考场上去套
[00:04:32 - 00:04:34] 这个方法是不对的
[00:04:34 - 00:04:38] 所以说希望大家能够有这样的一个充分的心理准备
[00:04:38 - 00:04:40] 然后的话我强定一下大家就是在考前
[00:04:40 - 00:04:43] 你比如说你现在在看完这个视频以后的话
[00:04:43 - 00:04:47] 大家最好是将你自己考试的东西给他准备妥当
[00:04:47 - 00:04:49] 你不要说考前前一天晚上我再给他准备妥当
[00:04:49 - 00:04:50] 我觉得
[00:04:50 - 00:04:52] 万一你哪天忘了
[00:04:52 - 00:04:53] 或者那天万一发生什么事心情不好
[00:04:54 - 00:04:56] 这个事你准备的不通分也不太行
[00:04:56 - 00:04:58] 所以我建议就是你看完这个视频以后的话
[00:04:58 - 00:05:01] 你就准备一套这样的粉举
[00:05:01 - 00:05:01] 知道吧
[00:05:01 - 00:05:03] 把你的身份证让你把他放在里边
[00:05:03 - 00:05:04] 因为那个时候你可能也不太懂用什么
[00:05:04 - 00:05:08] 你把你准备一套你自己要用的这么一个东西
[00:05:08 - 00:05:11] 然后放在你一个寝室里边
[00:05:11 - 00:05:12] 放在你寝室里边
[00:05:12 - 00:05:15] 你绝对是最容易摸得到最容易看得到的一个地方
