BV号：BV1Px411t7ya
标题：BV1Px411t7ya
链接：https://www.bilibili.com/video/BV1Px411t7ya
识别语言：zh
语言置信度：1
分段数：233
生成时间：2026-04-04 12:32:03

[00:00:00 - 00:00:01] 我是张雪丰老师
[00:00:02 - 00:00:03] 你也说
[00:00:03 - 00:00:04] 干嘛来了
[00:00:04 - 00:00:04] 靠眼
[00:00:05 - 00:00:06] 可不能让你跑
[00:00:07 - 00:00:07] 放车别走
[00:00:07 - 00:00:08] 为什么呀
[00:00:08 - 00:00:11] 是因为老师在人群中多看了你
[00:00:16 - 00:00:18] 怎样才能让自己学习的时候更有效呢
[00:00:20 - 00:00:21] 这个
[00:00:22 - 00:00:25] 什么叫在学习的时候更有效呢
[00:00:25 - 00:00:28] 其实你说的这个问题是两个角度
[00:00:28 - 00:00:29] 哪两个角度呢
[00:00:29 - 00:00:31] 第一就是这个东西我要学以至用
[00:00:32 - 00:00:32] 你比如说张老师
[00:00:32 - 00:00:34] 我现在要考四法考试
[00:00:34 - 00:00:35] 我将来有当律师
[00:00:35 - 00:00:36] 对吧
[00:00:36 - 00:00:37] 我这个每一个法条
[00:00:37 - 00:00:39] 我必须都得会
[00:00:39 - 00:00:41] 那这个是我必须得会的
[00:00:41 - 00:00:42] 这个没办法
[00:00:42 - 00:00:43] 知道吧
[00:00:43 - 00:00:44] 那我怎么给他快速的记住
[00:00:44 - 00:00:45] 这是一种
[00:00:45 - 00:00:46] 第二种是什么呢
[00:00:46 - 00:00:48] 老师我为了应付考试
[00:00:48 - 00:00:49] 比如说张老师
[00:00:49 - 00:00:50] 你看我要考研
[00:00:50 - 00:00:51] 我学艺术类的
[00:00:51 - 00:00:52] 哎呀
[00:00:52 - 00:00:53] 我的英语就特别的烂呢
[00:00:53 - 00:00:54] 烂到什么程度
[00:00:54 - 00:00:55] 我高考的时候
[00:00:55 - 00:00:57] 满分150我才考17分
[00:00:57 - 00:00:58] 我真遇到过这样的人
[00:00:58 - 00:00:59] 哎
[00:00:59 - 00:01:01] 我考研怎么才能考34
[00:01:01 - 00:01:02] 高考满分150你考17
[00:01:02 - 00:01:04] 考研满分100秒考34
[00:01:04 - 00:01:04] 对吧
[00:01:04 - 00:01:05] 这个
[00:01:05 - 00:01:06] 你的任务是什么
[00:01:06 - 00:01:07] 你的任务是过限
[00:01:07 - 00:01:09] 就不是说我要把英语学好
[00:01:09 - 00:01:10] 而我是有目的性的
[00:01:10 - 00:01:12] 一个是目的性极强的
[00:01:12 - 00:01:14] 一个是我必须得把它给记住的
[00:01:14 - 00:01:14] 无目的性
[00:01:14 - 00:01:16] 就是我一定要把它给记住
[00:01:16 - 00:01:17] 今天我工作要用
[00:01:17 - 00:01:19] 这是两种不同的学习方法和学习态度
[00:01:19 - 00:01:21] 但是总的来说
[00:01:21 - 00:01:23] 不管你是怎样的目的
[00:01:23 - 00:01:24] 想让学习最有效
[00:01:24 - 00:01:26] 最简单的办法就是
[00:01:26 - 00:01:29] 扔掉你的手机
[00:01:29 - 00:01:30] 不管干什么
[00:01:30 - 00:01:31] 把手机扔那一边
[00:01:31 - 00:01:35] 尤其是看书的时候是最有效的
[00:01:35 - 00:01:37] 我就发现我就是这样的
[00:01:37 - 00:01:38] 我在看书的时候
[00:01:38 - 00:01:39] 因为我平时喜欢看书吗
[00:01:40 - 00:01:40] 我在看书的时候
[00:01:40 - 00:01:42] 如果说博博的手机放在旁边
[00:01:42 - 00:01:44] 并且给他开的声音
[00:01:44 - 00:01:45] 一会来个微信
[00:01:45 - 00:01:46] 一会来个微信
[00:01:46 - 00:01:48] 有可能中间有我必须要回的信息
[00:01:48 - 00:01:50] 我中间就把学习这个事给断了
[00:01:51 - 00:01:52] 而我现在做的方法是什么呢
[00:01:52 - 00:01:53] 就是在我看书的时候
[00:01:53 - 00:01:56] 我会在我的微信朋友圈里边发一条朋友圈
[00:01:56 - 00:01:57] 从现在开始
[00:01:57 - 00:01:58] 我要看书
[00:01:58 - 00:02:00] 任何人不要打扰我
[00:02:00 - 00:02:01] 或者说你有事的话
[00:02:01 - 00:02:02] 如果发个微信
[00:02:02 - 00:02:02] 然后的话
[00:02:02 - 00:02:03] 两个小时之以后
[00:02:03 - 00:02:04] 我再去回你
[00:02:04 - 00:02:07] 然后的话就把手机扔到离我很远的地方
[00:02:07 - 00:02:08] 并且静音
[00:02:08 - 00:02:09] 天大的事掉下来
[00:02:09 - 00:02:10] 跟我没关系
[00:02:10 - 00:02:11] 老子就好好地看书
[00:02:11 - 00:02:12] 好好地学习
[00:02:12 - 00:02:13] 这样看的话
[00:02:13 - 00:02:15] 你会发现其实效率真的非常的高
[00:02:15 - 00:02:17] 所以说我建议大家就是
[00:02:17 - 00:02:18] 想学习好
[00:02:18 - 00:02:19] 扔掉你的手机
[00:02:19 - 00:02:22] 没毛病
[00:02:22 - 00:02:23] 看什么样的书
[00:02:23 - 00:02:24] 能出现自己的交流和表达技巧呢
[00:02:26 - 00:02:28] 有什么推荐的书吗
[00:02:28 - 00:02:30] 每年都认误我张老师
[00:02:30 - 00:02:32] 你看你口才这么好
[00:02:32 - 00:02:35] 我看什么样的书能够输我的口才表达能力
[00:02:35 - 00:02:36] 跟你一样
[00:02:36 - 00:02:37] 跟你这个问题有点类似
[00:02:38 - 00:02:39] 我跟你说同学
[00:02:39 - 00:02:42] 想让你的交流和表达能够更好的话
[00:02:42 - 00:02:44] 看书是不好使的
[00:02:44 - 00:02:45] 你买本书叫什么
[00:02:45 - 00:02:46] 演讲与口才
[00:02:46 - 00:02:47] 你看看了半天以后
[00:02:47 - 00:02:49] 你没有任何的提高
[00:02:49 - 00:02:53] 因为这个东西是要靠实际来操作的
[00:02:53 - 00:02:55] 你首先得克服你就能恐惧心理
[00:02:55 - 00:02:56] 你比如说你
[00:02:56 - 00:02:57] 你说老师有演讲比赛
[00:02:57 - 00:02:58] 该参加参加
[00:02:58 - 00:03:00] 老师有十大学员课手比赛
[00:03:00 - 00:03:01] 该参加参加
[00:03:01 - 00:03:03] 要把手跑掉怕什么
[00:03:03 - 00:03:05] 我能把国歌唱成国粹
[00:03:05 - 00:03:06] 你行吗
[00:03:06 - 00:03:09] 就你这个勇气就值得我们去学习
[00:03:09 - 00:03:11] 所以说你站在台上才知道说
[00:03:11 - 00:03:11] 哦
[00:03:11 - 00:03:14] 原来面对这么多人讲话是一种怎样的感觉
[00:03:14 - 00:03:16] 所以说你克服自己这种恐惧心理
[00:03:16 - 00:03:18] 你看什么书没有用
[00:03:18 - 00:03:18] 书使会告诉你
[00:03:18 - 00:03:20] 别害怕别害怕别害怕
[00:03:20 - 00:03:21] 有用吗
[00:03:21 - 00:03:21] 没有用
[00:03:21 - 00:03:23] 你必须得站在那让大家用眼光
[00:03:23 - 00:03:25] 插插插插插插你
[00:03:25 - 00:03:26] 甚至在你讲课的时候
[00:03:26 - 00:03:28] 在你演讲的时候有人离场
[00:03:28 - 00:03:29] 你得知道说
[00:03:29 - 00:03:31] 哎呦我这儿讲的是不好的
[00:03:31 - 00:03:33] 包括说你们在网上看视频
[00:03:33 - 00:03:34] 看到我很多的视频
[00:03:34 - 00:03:36] 那都是我在下面讲了
[00:03:36 - 00:03:38] 可能有几十遍
[00:03:38 - 00:03:40] 讲的特别熟了
[00:03:40 - 00:03:42] 我会录像拿出来最好的一遍
[00:03:42 - 00:03:43] 给你们看
[00:03:43 - 00:03:44] 所以说你会发现同学
[00:03:44 - 00:03:51] 这个就是这要实战实战实战出真知
[00:03:51 - 00:03:52] 张老师我想考研
[00:03:52 - 00:03:54] 但是家里经济情况不是很好
[00:03:54 - 00:03:55] 父母也不是很支持
[00:03:55 - 00:03:56] 怎么办好纠结啊
[00:03:58 - 00:03:59] 这位同学
[00:03:59 - 00:04:00] 我这样告诉你
[00:04:00 - 00:04:02] 在我们东北有句话是这样说的
[00:04:02 - 00:04:02] 叫
[00:04:02 - 00:04:04] 钱是王八蛋
[00:04:04 - 00:04:05] 没了
[00:04:05 - 00:04:06] 再去赚
[00:04:06 - 00:04:07] 我跟你说
[00:04:07 - 00:04:08] 再看这个视频同学
[00:04:08 - 00:04:09] 你们一道记录
[00:04:09 - 00:04:11] 这个世界上能用钱解决的问题
[00:04:11 - 00:04:13] 它都不是问题
[00:04:13 - 00:04:15] 千万不要以为说张老师
[00:04:15 - 00:04:16] 我要马上去挣钱
[00:04:16 - 00:04:18] 我要减轻我家里的负担
[00:04:18 - 00:04:19] 同学我就问你
[00:04:19 - 00:04:21] 就以你现在这个本科院校
[00:04:21 - 00:04:22] 你将来毕业
[00:04:22 - 00:04:24] 你能挣多少钱
[00:04:24 - 00:04:25] 你一个月挣个三千块钱
[00:04:25 - 00:04:26] 四千块钱
[00:04:26 - 00:04:28] 养婚你自己都成问题
[00:04:28 - 00:04:30] 你还指望去考家里吗
[00:04:30 - 00:04:31] 实际上你在大学期间
[00:04:31 - 00:04:33] 你做兼职做的多一点的话
[00:04:33 - 00:04:36] 你完全可以负担自己的生活费和学费
[00:04:36 - 00:04:39] 很多人都是在大学期间去做兼职
[00:04:39 - 00:04:40] 是在人为
[00:04:40 - 00:04:41] 你不要说很难很难
[00:04:41 - 00:04:42] 是在人为
[00:04:42 - 00:04:45] 你去做扎茨的对他
[00:04:45 - 00:04:47] 这个是非常非常重要的
[00:04:47 - 00:04:49] 问题是我家里就是特别的困难
[00:04:49 - 00:04:50] 老师怎么办
[00:04:50 - 00:04:51] 我到底要不要去考研
[00:04:51 - 00:04:52] 我告诉你
[00:04:52 - 00:04:53] 像你这种情况
[00:04:53 - 00:04:55] 我给你一个最好的解决方案
[00:04:55 - 00:04:56] 是什么呢
[00:04:56 - 00:04:57] 考
[00:04:57 - 00:04:59] 要考 对吧
[00:04:59 - 00:05:01] 万一考上了 对不对
[00:05:01 - 00:05:02] 一定要考啊 一定要考
[00:05:02 - 00:05:03] 在考什么学校
[00:05:03 - 00:05:05] 考名校
[00:05:06 - 00:05:09] 你就考你这个专业最好的那几个学校
[00:05:09 - 00:05:12] 就考全国最知名的那几个学校
[00:05:12 - 00:05:14] 什么 这大上交大清华
[00:05:14 - 00:05:15] 背大
[00:05:15 - 00:05:16] 你去拔刀子 对吧
[00:05:16 - 00:05:17] 考上了
[00:05:17 - 00:05:19] 你说你这个钱要不要花
[00:05:19 - 00:05:20] 一定要花
[00:05:20 - 00:05:21] 知道吧 一定要花
[00:05:21 - 00:05:23] 你考上了咱就去上
[00:05:23 - 00:05:24] 考不上拉倒
[00:05:24 - 00:05:25] 我就去找工作
[00:05:26 - 00:05:27] 你说老师我考上了天大
[00:05:27 - 00:05:28] 我考生了上教大
[00:05:28 - 00:05:30] 你一个上教大研究生
[00:05:30 - 00:05:32] 你将来毕业的话能挣多少钱啊
[00:05:32 - 00:05:34] 你不比你现在要好得多呀
[00:05:34 - 00:05:35] 对不对
[00:05:35 - 00:05:36] 所以说每次面对这种同学
[00:05:36 - 00:05:37] 我都会告诉你
[00:05:37 - 00:05:38] 同学考名校
[00:05:38 - 00:05:39] 考上就去上
[00:05:39 - 00:05:40] 考不上就去不上
[00:05:40 - 00:05:42] 但同学我想跟你说的是
[00:05:42 - 00:05:44] 你要知道学无止境
[00:05:44 - 00:05:45] 人这一辈子
[00:05:45 - 00:05:47] 一定要一直去学习
[00:05:47 - 00:05:48] 你比如说拿我来举例子
[00:05:48 - 00:05:49] 哥现在很红
[00:05:49 - 00:05:51] 但哥不是从现在开始红的
[00:05:51 - 00:05:53] 哥从去年就开始红
[00:05:53 - 00:05:55] 那么为什么从去年一直红到现在
[00:05:55 - 00:05:57] 就是一直在学习
[00:05:57 - 00:05:59] 一直在学习一直在看书
[00:05:59 - 00:06:00] 所以大家你要知道
[00:06:00 - 00:06:02] 不管说你要不要到底考验
[00:06:02 - 00:06:04] 而你一定要做的一个事情
[00:06:04 - 00:06:06] 就是一定要一直学习下去
[00:06:06 - 00:06:07] 真的学无止境
[00:06:07 - 00:06:09] 听张老师的知识
[00:06:09 - 00:06:11] 是绝对能变成前的
