BV号：BV1RD421J7RC
标题：BV1RD421J7RC
链接：https://www.bilibili.com/video/BV1RD421J7RC
识别语言：zh
语言置信度：1
分段数：87
生成时间：2026-04-03 11:24:54

[00:00:00 - 00:00:04] 我发现很多来我智慧间的家都不想让孩子进入体局内
[00:00:04 - 00:00:07] 除了国家电网、烟草局、三统游文的也特别多
[00:00:07 - 00:00:09] 其实不管是前景还是待遇
[00:00:09 - 00:00:12] 中石油、中石化、中海油这三个央企都很吃香
[00:00:12 - 00:00:15] 正好今天带来推荐的就是一所黑龙江城政府
[00:00:15 - 00:00:19] 与三统游共建的学校东北石油大学
[00:00:19 - 00:00:21] 因为这个学校就在我老家
[00:00:21 - 00:00:22] 所以说我还是很了解的
[00:00:22 - 00:00:25] 它1960年建校原先的社会石油不管
[00:00:25 - 00:00:28] 1978年就已经是全国重点大学了
[00:00:28 - 00:00:29] 经过这么多年的发展
[00:00:29 - 00:00:33] 现在是黑中江省国内一流大学建设高校
[00:00:33 - 00:00:34] 省部共建大学
[00:00:34 - 00:00:35] 名气是非常大
[00:00:35 - 00:00:37] 尤其是在石油行业
[00:00:37 - 00:00:40] 它有个外号叫做石油界的黄土军校
[00:00:40 - 00:00:43] 咱们刚刚说的三桶楼里边很多高管都是从这毕业的
[00:00:43 - 00:00:45] 当然了能有这么想的招牌
[00:00:45 - 00:00:48] 肯定是因为人家的学科实力够硬
[00:00:48 - 00:00:50] 石油与天然气工程学科全国第三
[00:00:50 - 00:00:55] 工程学化学地球科学的进入到ESI全球排名前1%
[00:00:55 - 00:00:57] 还有一个国家重点一级学科
[00:00:57 - 00:00:59] 一个省级重点学科群
[00:00:59 - 00:01:02] 六个省级重点一级学科
[00:01:02 - 00:01:04] 六个省游市特色学科
[00:01:04 - 00:01:06] 石油石化游市特色学科建设
[00:01:06 - 00:01:07] 那是相当的完善
[00:01:07 - 00:01:10] 有同学可能担心石油行业也会不行了
[00:01:10 - 00:01:11] 但我个人觉得
[00:01:11 - 00:01:13] 石油作为地球的左右能源
[00:01:13 - 00:01:15] 几十年内啊去替代不了的
[00:01:15 - 00:01:17] 加上国家呢有很重视
[00:01:17 - 00:01:19] 干这一行的还是很有前景的
[00:01:19 - 00:01:20] 你要是对石油不感兴趣
[00:01:20 - 00:01:23] 东北石油大学不只是只有石油专业
[00:01:23 - 00:01:24] 其他好专业它也不少
[00:01:24 - 00:01:25] 就张老师知道的
[00:01:25 - 00:01:27] 这个学校53个本科专业里边
[00:01:27 - 00:01:30] 近七成都是非有通用專業
[00:01:30 - 00:01:31] 八個國家級特色專業
[00:01:31 - 00:01:34] 16個國家級醫療本科專業建設點
[00:01:34 - 00:01:37] 像電子科學、電子信息、電器工程、計算機
[00:01:37 - 00:01:41] 軟體工程這些熱門理工科這些專業都有
[00:01:41 - 00:01:42] 要是沒選到合適的
[00:01:42 - 00:01:44] 進校以後轉專業的它也不難
[00:01:44 - 00:01:47] 我查過成功率最高能到九十左右
[00:01:47 - 00:01:49] 再加上有強大的十字團隊
[00:01:49 - 00:01:53] 四個博士一級學科和二十二個碩士一級學科
[00:01:53 - 00:01:56] 由全國重點實驗室、教育部重點實驗室
[00:01:56 - 00:01:59] 等國家級省部級的科研平台60多個
[00:01:59 - 00:02:03] 東遊在人才培養這塊絕對的是手拿把掐
[00:02:03 - 00:02:05] 另外還有個值得說的點就是
[00:02:05 - 00:02:06] 東遊這幾年發展的很快
[00:02:06 - 00:02:08] 除了大慶禮以外
[00:02:08 - 00:02:11] 像秦皇島三亞都建了校區或者是研究院
[00:02:11 - 00:02:14] 而且在人才培養上也有多樣的形式
[00:02:14 - 00:02:16] 有四個專業招本碩聯督
[00:02:16 - 00:02:18] 入學還有機會進入到精英班
[00:02:18 - 00:02:20] 保研率比普通班高的多
[00:02:20 - 00:02:21] 能到30%左右
[00:02:21 - 00:02:24] 尤其是現在考研越來越卷
[00:02:24 - 00:02:25] 这对于咱们高分的同学来说
[00:02:25 - 00:02:26] 他就是个机会
[00:02:26 - 00:02:27] 说到升学
[00:02:27 - 00:02:29] 张老师也查过一些数据
[00:02:29 - 00:02:29] 我发现
[00:02:29 - 00:02:31] 从东游出来的学生
[00:02:31 - 00:02:33] 每年考研保研上岸的还真不少
[00:02:33 - 00:02:35] 而且很多都是去了921221
[00:02:35 - 00:02:36] 进北大
[00:02:36 - 00:02:36] 天大
[00:02:36 - 00:02:38] 这种顶级名校的也有
[00:02:38 - 00:02:40] 还有就是就业这一块
[00:02:40 - 00:02:41] 人家签约的学生
[00:02:41 - 00:02:43] 有快一半都能进到国企
[00:02:43 - 00:02:44] 不光三统游
[00:02:44 - 00:02:45] 像国家管网
[00:02:45 - 00:02:46] 国家电网
[00:02:46 - 00:02:47] 中和集团
[00:02:47 - 00:02:48] 中心国际这些单位
[00:02:48 - 00:02:49] 招的也很多
[00:02:49 - 00:02:49] 所以说
[00:02:49 - 00:02:51] 不管你毕业以后是想继续读研
[00:02:51 - 00:02:52] 还是想进体验内
[00:02:52 - 00:02:55] 近民企 东游都是一个不错的选择
[00:02:55 - 00:02:58] 总的来说 东北十五大学是一个性价比基高
[00:02:58 - 00:03:00] 有好 有好考的一所大学
