BV号：BV1RH4y1m7dw
标题：BV1RH4y1m7dw
链接：https://www.bilibili.com/video/BV1RH4y1m7dw
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 13:41:55

[00:00:00 - 00:00:02] 很多孩子
[00:00:02 - 00:00:05] 他高三上來的第一次考試考的真不太好
[00:00:05 - 00:00:05] 為什麼?
[00:00:05 - 00:00:08] 因為他高二的暑假他也確實沒什麼好學
[00:00:08 - 00:00:10] 所以說他高三入學考
[00:00:10 - 00:00:12] 他成績不好很正常
[00:00:12 - 00:00:16] 因為他自己還沒回到學習的那個頻率上
[00:00:16 - 00:00:18] 有的孩子是屬於那種心理很有數的
[00:00:18 - 00:00:19] 他是很有數的
[00:00:19 - 00:00:20] 就是有的時候
[00:00:20 - 00:00:23] 因為你不可能人是一直在努力的
[00:00:23 - 00:00:24] 崩著一根銜的
[00:00:24 - 00:00:26] 這是不可能的
[00:00:26 - 00:00:28] 你不要因為他一次成績上升的
[00:00:28 - 00:00:30] 阿老师你看他特别的牛
[00:00:30 - 00:00:33] 他高分的时候考了多少多少多少多少分
[00:00:33 - 00:00:36] 但其实是那次学校考试题相对比较简单
[00:00:36 - 00:00:37] 他马虎的少
[00:00:37 - 00:00:39] 他总分狗他排名上去了
[00:00:39 - 00:00:40] 然后的话有的时候
[00:00:40 - 00:00:41] 阿老师他就分低了
[00:00:41 - 00:00:45] 那也许有的时候是学校题考的比较难
[00:00:45 - 00:00:46] 他虽然分降下来了
[00:00:46 - 00:00:47] 总分降下来了
[00:00:47 - 00:00:50] 但是在学校的排名说不定还上升了吗
[00:00:50 - 00:00:53] 所以说你要客观的看待孩子在整个高参期间的
[00:00:53 - 00:00:54] 每一次模拟考试
[00:00:54 - 00:00:55] 每一次怎么样
[00:00:55 - 00:00:56] 没有必要
[00:00:56 - 00:00:58] 因为他每一次考试考试成绩
[00:00:58 - 00:01:00] 你不好了就慌就觉得他是不是不行了
[00:01:00 - 00:01:01] 他是不是不好学习的
[00:01:01 - 00:01:02] 他是不是不好努力了
[00:01:02 - 00:01:04] 也没有必要因为他某一次成绩好了
[00:01:04 - 00:01:05] 就开始无限畅想了
[00:01:05 - 00:01:06] 我是不是要考酒吧舞了
[00:01:06 - 00:01:08] 我是不是要飞黄长达了
[00:01:08 - 00:01:09] 我是不是要允许高富帅
[00:01:09 - 00:01:10] 就允许白服美了
[00:01:10 - 00:01:11] 千万不要这么想
[00:01:11 - 00:01:13] 你要冷静的客观的面子
[00:01:13 - 00:01:14] 在那每一次考试
[00:01:14 - 00:01:15] 自己心里有数
[00:01:15 - 00:01:17] 没有必要过多的担心
