BV号：BV1Rb411o7Qh
标题：BV1Rb411o7Qh
链接：https://www.bilibili.com/video/BV1Rb411o7Qh
识别语言：zh
语言置信度：1
分段数：26
生成时间：2026-04-03 15:54:41

[00:00:00 - 00:00:02] 这么说吧就是我们现在的一些生活方式
[00:00:02 - 00:00:04] 是离不开这种专业的
[00:00:04 - 00:00:06] 比如说像什么计算机 电子机
[00:00:06 - 00:00:07] 你说你现在你将来你干什么能离开它呢
[00:00:07 - 00:00:09] 举个简单的例子芯片
[00:00:09 - 00:00:10] 你说现在什么东西没有芯片呢
[00:00:10 - 00:00:11] 我们家跑步机有芯片
[00:00:11 - 00:00:13] 我们家台灯也有芯片
[00:00:13 - 00:00:13] 你说通信
[00:00:13 - 00:00:15] 你说什么专业不需要通信呢
[00:00:15 - 00:00:16] 什么行业不需要通信呢
[00:00:16 - 00:00:17] 你每天生活不需要通信吗
[00:00:17 - 00:00:18] 对吧
[00:00:18 - 00:00:19] 你现在用手机
[00:00:19 - 00:00:20] 我那天遥控器我找不着了
[00:00:20 - 00:00:23] 我发现我的手机居然是可以当遥控器用
[00:00:23 - 00:00:24] 你说你这个事
[00:00:24 - 00:00:26] 在N多年前你感想吗
[00:00:26 - 00:00:27] 不感想
[00:00:27 - 00:00:29] 但是这种事情你现在是感想的
[00:00:30 - 00:00:30] 如果要发行的话
[00:00:30 - 00:00:32] 它得需要什么专业
[00:00:32 - 00:00:33] 它的宽度很宽
[00:00:33 - 00:00:35] 但如果说你要是学了
[00:00:35 - 00:00:36] 一些其他专业的话
[00:00:36 - 00:00:38] 你工作就是那个样子
