BV号：BV1SD42177Bn
标题：BV1SD42177Bn
链接：https://www.bilibili.com/video/BV1SD42177Bn
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-03 11:43:59

[00:00:00 - 00:00:02] 大多数属程必须功能调节
[00:00:02 - 00:00:03] 但是有的省份不一定
[00:00:03 - 00:00:04] 有的省份
[00:00:04 - 00:00:06] 有的省份在什么情况下不一定呢
[00:00:06 - 00:00:07] 注意
[00:00:07 - 00:00:10] 有本科P次划分的省份不一定
[00:00:11 - 00:00:14] 有本科P次划分的不一定
[00:00:14 - 00:00:16] 就是老生学考试的省份
[00:00:16 - 00:00:17] 你可以填不四方调节
[00:00:17 - 00:00:18] 比如举个例子
[00:00:19 - 00:00:20] 山西
[00:00:20 - 00:00:22] 山西因为本科P次分得很细
[00:00:22 - 00:00:27] 它分成EA,EA,EB,2A,2B,2C
[00:00:27 - 00:00:29] 山西你可以怎么包呢
[00:00:29 - 00:00:31] 三星你可以1A不服从球技
[00:00:31 - 00:00:33] 档案到A1
[00:00:33 - 00:00:35] A1添了一个许球一个作业
[00:00:35 - 00:00:35] 再不服从球技
[00:00:35 - 00:00:37] 档案到EB
[00:00:37 - 00:00:38] EB再不服从球技
[00:00:38 - 00:00:39] 档案到2A
[00:00:39 - 00:00:41] 2A再不服从球技
[00:00:41 - 00:00:42] 档案到2B
[00:00:42 - 00:00:43] 2B再不服从球技
[00:00:43 - 00:00:44] 档案到2C
[00:00:44 - 00:00:45] 这是山西
[00:00:45 - 00:00:48] 所以说老生学考试的省份
[00:00:48 - 00:00:50] 如果你只比E本分为线
[00:00:50 - 00:00:51] 高了二三十分
[00:00:51 - 00:00:53] 你可以添不服从球技
[00:00:53 - 00:00:55] 然后档案到的二皮刺
[00:00:55 - 00:00:57] 但是取消本科皮刺的
[00:00:57 - 00:00:59] 必须服从球技
[00:00:59 - 00:01:01] 字幕by索兰娅
