BV号：BV1SE411S7JB
标题：BV1SE411S7JB
链接：https://www.bilibili.com/video/BV1SE411S7JB
识别语言：zh
语言置信度：1
分段数：489
生成时间：2026-04-04 06:44:57

[00:00:02 - 00:00:04] 那么就有你的小农夫
[00:00:04 - 00:00:05] 你指上不要长太吓人
[00:00:05 - 00:00:06] 你也是要卸妆
[00:00:06 - 00:00:08] 有考官我们会带着卸妆水
[00:00:08 - 00:00:11] 要吃遍全世界的来当了
[00:00:11 - 00:00:12] 小伙子
[00:00:12 - 00:00:14] 干嘛去呀
[00:00:14 - 00:00:15] 哎呀那可愣了
[00:00:15 - 00:00:16] 你可得坐转转
[00:00:16 - 00:00:18] 我想问一下你们的这种社交圈子
[00:00:18 - 00:00:21] 那你跟我记住谁家是你的事
[00:00:21 - 00:00:23] 我想跟你接受的是我的事
[00:00:23 - 00:00:24] 就问点具体的吧
[00:00:24 - 00:00:26] 你男朋友怎么绕的
[00:00:26 - 00:00:34] 大家好
[00:00:34 - 00:00:37] 欢迎收看小型杜比托口秀大尔开演技
[00:00:37 - 00:00:39] 我是让学习变得更快乐的张雪锋老师
[00:00:39 - 00:00:42] 我们今天请到的嘉宾是我们的空乘美女
[00:00:42 - 00:00:44] 我们的李飞鱼老师
[00:00:44 - 00:00:45] 李老师跟大家打个招呼
[00:00:45 - 00:00:46] Hello 大家好
[00:00:46 - 00:00:47] 李老师
[00:00:47 - 00:00:49] 就是我经常坐飞机
[00:00:49 - 00:00:53] 然后的话就是空姐舰的应该说也挺多的了
[00:00:53 - 00:00:54] 然后我就有很多学生的
[00:00:54 - 00:00:56] 他们就跟我说说他们也想当空姐
[00:00:56 - 00:00:59] 我想问一下当空姐大概需要一个什么样的
[00:00:59 - 00:01:01] 这个资本上或者什么样的条件呢
[00:01:01 - 00:01:04] 条件呢航空公司全国的条件
[00:01:04 - 00:01:06] 内航基本上都是一样的
[00:01:06 - 00:01:08] 18大25岁
[00:01:08 - 00:01:10] 然后身高1米63以上
[00:01:10 - 00:01:12] 然后身体健康
[00:01:12 - 00:01:14] 以上有没有上限
[00:01:14 - 00:01:16] 上限别太高就行
[00:01:16 - 00:01:18] 别太高是太高是多高
[00:01:18 - 00:01:20] 姚明那么高肯定不一样
[00:01:20 - 00:01:22] 女生是1米75男生是1米85
[00:01:22 - 00:01:24] 然后按我的话呢就是
[00:01:24 - 00:01:26] 这个学生不要长得太吓人
[00:01:26 - 00:01:28] 他基本上都是可以达到空城的要求
[00:01:28 - 00:01:30] 基本你这说这个基本上就跟
[00:01:30 - 00:01:32] 就没条件没什么太大差别啊
[00:01:32 - 00:01:34] 还是有一点条件吧
[00:01:34 - 00:01:36] 还是有一点条件吧
[00:01:36 - 00:01:39] 我听说了一个就是1米63
[00:01:39 - 00:01:40] 这是一个下限
[00:01:40 - 00:01:41] 对
[00:01:41 - 00:01:42] 然后长得别太吓人
[00:01:42 - 00:01:43] 对吧
[00:01:43 - 00:01:45] 大多数女生也没说长得太吓人
[00:01:45 - 00:01:46] 五官端正
[00:01:46 - 00:01:47] 然后现在女生
[00:01:47 - 00:01:48] 你看美颜相机
[00:01:48 - 00:01:49] 化妆品 整容
[00:01:49 - 00:01:50] 这些东西都很发达
[00:01:50 - 00:01:52] 你们面试的时候要卸妆吗
[00:01:52 - 00:01:54] 有要卸妆的
[00:01:54 - 00:01:55] 有考官
[00:01:55 - 00:01:57] 我们会带着卸妆水
[00:01:57 - 00:01:58] 可能这个女生长的
[00:01:58 - 00:01:59] 就真的是我看不出
[00:01:59 - 00:02:01] 她原本长什么样子了
[00:02:01 - 00:02:03] 来卸个妆吧
[00:02:03 - 00:02:04] 这要卸妆
[00:02:04 - 00:02:05] 真的
[00:02:05 - 00:02:09] 那你看人家我当空乘又不是素颜去当空乘
[00:02:09 - 00:02:11] 你我画个装不行吗
[00:02:12 - 00:02:13] 说的也是
[00:02:13 - 00:02:14] 我也很难闷这个事
[00:02:14 - 00:02:17] 但是我们就想看到他最原始的那种状态
[00:02:17 - 00:02:18] 确实有
[00:02:18 - 00:02:19] 对对对
[00:02:19 - 00:02:21] 其实就是自己八卦是吗
[00:02:21 - 00:02:21] 对
