BV号：BV1St411p7NX
标题：BV1St411p7NX
链接：https://www.bilibili.com/video/BV1St411p7NX
识别语言：zh
语言置信度：1
分段数：307
生成时间：2026-04-04 08:48:39

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪丰老师
[00:00:21 - 00:00:21] 大家好
[00:00:21 - 00:00:24] 我是让学习变得更快乐的张雪丰老师
[00:00:24 - 00:00:26] 欢迎大家走进本期的张老师课堂
[00:00:27 - 00:00:29] 那么大家看到我这一身装束以后的话
[00:00:29 - 00:00:30] 可能会认为说张老师
[00:00:30 - 00:00:33] 你这期张老师课堂是不是暑假的时候录好的
[00:00:34 - 00:00:35] 明明过大冬天
[00:00:35 - 00:00:37] 你怎么短袖你就出来了
[00:00:37 - 00:00:39] 明显跟我们过的季节不一样
[00:00:39 - 00:00:40] 我们在全欧地都会冻死了
[00:00:40 - 00:00:42] 你怎么还能穿个短袖
[00:00:42 - 00:00:42] 第一
[00:00:42 - 00:00:44] 确实我们的办公室
[00:00:44 - 00:00:45] 却还有暖气
[00:00:45 - 00:00:46] 不至于那么冷
[00:00:46 - 00:00:49] 第二的话呢 大家也都看出来 这是一身运动的装复
[00:00:49 - 00:00:52] 可能熟悉我的朋友呢 关注我微博的朋友都知道
[00:00:52 - 00:00:55] 我最近一直在干一个事情叫做跑步
[00:00:55 - 00:00:56] 每天都在跑步
[00:00:56 - 00:00:59] 然后不知道大家你看到这一期张老师课堂的视频
[00:00:59 - 00:01:01] 你看到我这个形象 尤其是看我这个脸
[00:01:01 - 00:01:04] 有没有之前在一年前两年前的时候
[00:01:04 - 00:01:05] 你看到我什么变化
[00:01:05 - 00:01:08] 可能细心的同学都发现 可能是我有点瘦了
[00:01:08 - 00:01:11] 跟大家简单汇报一下 我最近的成果呢
[00:01:11 - 00:01:14] 就是我刚刚从最高峰的185斤
[00:01:14 - 00:01:15] 剪到了现代的170斤
[00:01:15 - 00:01:17] 今天早上刚吃完早饭上层撑了一下
[00:01:17 - 00:01:19] 170斤整
[00:01:19 - 00:01:21] 说实话我已经很长时间没有到达
[00:01:21 - 00:01:23] 170斤这个数字了
[00:01:23 - 00:01:24] 那是为什么呢
[00:01:24 - 00:01:26] 是因为我最近一直在坚持在颇布
[00:01:26 - 00:01:28] 一直在所谓的在减肥
[00:01:28 - 00:01:29] 那么有些人问我说
[00:01:29 - 00:01:30] 撞到水晶减肥的动机是什么
[00:01:30 - 00:01:31] 说实话呢
[00:01:31 - 00:01:32] 是因为我们前两天呢
[00:01:32 - 00:01:33] 录了一个节目
[00:01:33 - 00:01:35] 就是东方卫视的叫没想到吧
[00:01:35 - 00:01:36] 在节目上呢
[00:01:36 - 00:01:37] 有这个李戴啊
[00:01:37 - 00:01:38] 有池子啊
[00:01:38 - 00:01:40] 是张少刚还有这个啊
[00:01:40 - 00:01:40] 王祖兰
[00:01:40 - 00:01:42] 就我从上节目第一课开始
[00:01:42 - 00:01:43] 就开始跑步啊
[00:01:43 - 00:01:45] 一直基本上跑到是最后边
[00:01:46 - 00:01:47] 跑了有半个小时
[00:01:47 - 00:01:49] 将近跑了差不多五公里
[00:01:49 - 00:01:51] 然后跟我一起跑有张少光老师
[00:01:51 - 00:01:52] 在我右边
[00:01:52 - 00:01:54] 那么左边还有一个精灵科技大学的老师
[00:01:54 - 00:01:56] 我发现其实张少光老师和
[00:01:56 - 00:01:59] 精灵科技大学的社会学的老师
[00:01:59 - 00:02:00] 其实年龄都是比我大的
