BV号：BV1TF4m137Wp
标题：BV1TF4m137Wp
链接：https://www.bilibili.com/video/BV1TF4m137Wp
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 12:40:15

[00:00:00 - 00:00:01] 林業工程帶化學家長
[00:00:01 - 00:00:02] 林業工程是帶化學工
[00:00:02 - 00:00:04] 林產品零化工的家工
[00:00:04 - 00:00:05] 環境科學工程帶化學
[00:00:05 - 00:00:07] 生物醫學工程家長
[00:00:07 - 00:00:08] 他是種電子信息的
[00:00:08 - 00:00:09] 但是他會學化學的專業課
[00:00:09 - 00:00:12] 所有的醫療器械都是電子類產品
[00:00:12 - 00:00:13] 也確切點說
[00:00:13 - 00:00:16] 所有的有緣醫療器械都是電子類產品
[00:00:16 - 00:00:18] 所以說生物醫學工程在大學期間
[00:00:18 - 00:00:21] 會學習相關的電子信息的專業課
[00:00:21 - 00:00:23] 但是個人不建議報一科大學
[00:00:23 - 00:00:26] 因為一科大學的電子信息的專業課
[00:00:26 - 00:00:27] 相對弱勢
[00:00:27 - 00:00:28] 因為你會發現
[00:00:28 - 00:00:29] 沒有一個一科大學
[00:00:29 - 00:00:30] 会开电子信息工程
[00:00:30 - 00:00:31] 但是它却会开
[00:00:32 - 00:00:34] 所以说一科大学的生物医学工程
[00:00:34 - 00:00:36] 一般情况下偏修
[00:00:36 - 00:00:37] 而电子信息专业比较好的学校
[00:00:37 - 00:00:39] 一般偏设计
[00:00:39 - 00:00:40] 生物医学工程这个专业
[00:00:40 - 00:00:42] 全国学科评估靠前的学校
[00:00:42 - 00:00:43] 都是向天大
[00:00:43 - 00:00:44] 都是向东南大学
[00:00:44 - 00:00:46] 这样的纯工科院士
[00:00:46 - 00:00:47] 纯医科大学
[00:00:47 - 00:00:49] 几乎在这个专业的学科评估
[00:00:49 - 00:00:51] 是一定干不过纯工科学校
[00:00:51 - 00:00:53] 所以说一科大学偏修
[00:00:53 - 00:00:55] 电子信息抢校是偏设计
[00:00:55 - 00:00:56] 所以说你看一个学校
[00:00:56 - 00:00:58] 它的电子信息专业好的
[00:00:58 - 00:01:01] 他的生物医学工程专业一定不差
[00:01:01 - 00:01:02] 食品科学工程代化学
[00:01:02 - 00:01:03] 建筑类
[00:01:03 - 00:01:03] 没有物理
[00:01:03 - 00:01:04] 没有化学
[00:01:04 - 00:01:05] 没有数学
[00:01:05 - 00:01:08] 是一个混在工科队伍当中的文科
[00:01:08 - 00:01:08] 安全工程
[00:01:08 - 00:01:09] 垂
[00:01:09 - 00:01:10] 生物工程
[00:01:10 - 00:01:11] 代化学
[00:01:11 - 00:01:12] 化重点完毕
