BV号：BV1TK2cBwE5i
标题：BV1TK2cBwE5i
链接：https://www.bilibili.com/video/BV1TK2cBwE5i
识别语言：zh
语言置信度：1
分段数：82
生成时间：2026-04-03 03:44:34

[00:00:00 - 00:00:02] 随着你冲的时候你一定要去注意一下
[00:00:02 - 00:00:03] 你不要乱冲
[00:00:03 - 00:00:04] 不要瞎冲
[00:00:04 - 00:00:04] 知道吧
[00:00:04 - 00:00:05] 你可以冲
[00:00:05 - 00:00:06] 但一定要冲什么
[00:00:06 - 00:00:07] 我再次瞧瞧冲的话
[00:00:07 - 00:00:08] 要冲专业组干净
[00:00:08 - 00:00:09] 什么叫专业组干净
[00:00:09 - 00:00:11] 就是这个组里边的各个专业
[00:00:11 - 00:00:12] 你都想要接受
[00:00:12 - 00:00:13] 哪怕这个组里边
[00:00:13 - 00:00:15] 你上了一个分最低的专业
[00:00:15 - 00:00:15] 你也接受
[00:00:15 - 00:00:16] 比如说
[00:00:16 - 00:00:17] 导师这个组里边有一个专业
[00:00:17 - 00:00:18] 叫遗弃
[00:00:18 - 00:00:19] 导师这个组里边有个专业
[00:00:19 - 00:00:20] 叫机械
[00:00:20 - 00:00:21] 你接受吗
[00:00:21 - 00:00:21] 你接受
[00:00:21 - 00:00:23] 那你接受你就随便冲
[00:00:23 - 00:00:24] 因为你上进里边的
[00:00:24 - 00:00:25] 如果说这个属里边
[00:00:25 - 00:00:26] 你说老师我冲到了
[00:00:26 - 00:00:28] 果味的计算机那更好
[00:00:28 - 00:00:29] 没冲到计算机我上机械
[00:00:29 - 00:00:30] 我也能接受
[00:00:30 - 00:00:30] 因为各位朋友
[00:00:30 - 00:00:32] 你们一定要知道
[00:00:32 - 00:00:33] 就是你看很多家长
[00:00:33 - 00:00:34] 在这边问问题的时候
[00:00:34 - 00:00:35] 问的那个问题
[00:00:35 - 00:00:37] 就对于志愿田贸是完全不了解的
[00:00:37 - 00:00:38] 他经常问什么呢
[00:00:38 - 00:00:39] 张老师我这个分
[00:00:39 - 00:00:40] 够哪个学校
[00:00:40 - 00:00:41] 老师我这个分能上哪个学校
[00:00:41 - 00:00:42] 你看很多家长
[00:00:42 - 00:00:43] 是有这样的思维的
[00:00:43 - 00:00:43] 你是不是这样的思维
[00:00:43 - 00:00:44] 很多家会有这样的思维
[00:00:44 - 00:00:46] 老师我这个分能上哪个学校
[00:00:46 - 00:00:47] 大家你知不知道一个学校
[00:00:47 - 00:00:49] 最高分之一和最低分之一
[00:00:49 - 00:00:51] 最高分的上30分左右
[00:00:51 - 00:00:53] 最多能差30分左右
[00:00:53 - 00:00:54] 因为很多家长
[00:00:54 - 00:00:56] 尤其是我们三四五线城市的家长
[00:00:56 - 00:00:58] 或者说对志愿天猫不了解的家长
[00:00:58 - 00:00:59] 他经常会有这样的想法
[00:00:59 - 00:01:00] 说老师我这个分
[00:01:00 - 00:01:01] 大概能够哪个学校
[00:01:01 - 00:01:02] 但是你以后知道
[00:01:02 - 00:01:04] 我这个学校准备最高分专业
[00:01:04 - 00:01:05] 和最低分中也能差30分
[00:01:05 - 00:01:07] 你说老师我这个分够哪个学校
[00:01:07 - 00:01:08] 够哪个学校
[00:01:08 - 00:01:10] 你说这话的时候
[00:01:10 - 00:01:12] 就不是最高分专业
[00:01:12 - 00:01:13] 你说的是最低分专业
[00:01:13 - 00:01:15] 这才叫够哪个学校
[00:01:15 - 00:01:17] 而不是说老师我这个分
[00:01:17 - 00:01:18] 上什么专业能上哪个学校
[00:01:18 - 00:01:20] 因为我上什么专业能上哪个学校
[00:01:20 - 00:01:22] 是因为你把专业固定了
[00:01:22 - 00:01:23] 但是我购那个学校
[00:01:23 - 00:01:25] 那就说明你专业是没有固定的
[00:01:25 - 00:01:28] 你是在擦着这个学校的陷阱
[00:01:28 - 00:01:29] 你擦着这个学校的陷阱
[00:01:29 - 00:01:31] 你上次就是这个学校分最低的专业
[00:01:31 - 00:01:33] 所以说大家你一定要看清楚
[00:01:33 - 00:01:35] 你自己的那个位次也好
[00:01:35 - 00:01:36] 分数也好
[00:01:36 - 00:01:39] 大概在这个学校里面能上什么专业
[00:01:39 - 00:01:40] 你别到最后的话
[00:01:40 - 00:01:41] 你上了以后的话
[00:01:41 - 00:01:43] 你后悔
[00:01:43 - 00:01:44] 对吧 老师学校我满意
[00:01:44 - 00:01:45] 专业我不满意
[00:01:45 - 00:01:45] 你怪谁
[00:01:45 - 00:01:47] 怎么你自己报的
