BV号：BV1TQzPYAEt5
标题：BV1TQzPYAEt5
链接：https://www.bilibili.com/video/BV1TQzPYAEt5
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-03 07:30:39

[00:00:00 - 00:00:02] 你说老师基础医学和临床医学有什么差别
[00:00:02 - 00:00:05] 临床医学是由处方权的大夫
[00:00:05 - 00:00:06] 这是医生
[00:00:06 - 00:00:09] 基础医学是没有资格考职业医师资格证的
[00:00:09 - 00:00:12] 他是病理科的
[00:00:12 - 00:00:14] 他是研究病理的
[00:00:14 - 00:00:14] 知道吧
[00:00:14 - 00:00:16] 基础医学是研究病理的
[00:00:16 - 00:00:17] 所以说的话
[00:00:17 - 00:00:17] 大家你要知道
[00:00:17 - 00:00:20] 这个基础医学是不是临床医学
[00:00:20 - 00:00:22] 他是考不了职业医师资格证的
[00:00:22 - 00:00:23] 你说老师
[00:00:23 - 00:00:24] 我可不可以这
[00:00:24 - 00:00:25] 我可不可以本开间的学基础医学
[00:00:25 - 00:00:27] 研究成绩段学临床医学
[00:00:27 - 00:00:27] 不好意思
[00:00:27 - 00:00:32] 临床医学是所有专业当中研生阶段门槛最高的
[00:00:32 - 00:00:34] 你别说你是学基础医学的
[00:00:34 - 00:00:36] 你说老师我学的是中西医结合
[00:00:36 - 00:00:40] 然后我考研考西医都不可以
[00:00:40 - 00:00:40] 知道吧
[00:00:40 - 00:00:42] 包括临床医学还有一个问题什么呢
[00:00:42 - 00:00:44] 专科
[00:00:44 - 00:00:46] 专科学临床
[00:00:46 - 00:00:49] 在考研究生的时候会非常受限制
[00:00:49 - 00:00:53] 专科考临床在考研究生的时候会非常受限制
[00:00:53 - 00:00:57] 因为你不是五年一贯制的本科
[00:00:57 - 00:00:59] 你说老师我临床一学我专生呗
[00:00:59 - 00:01:02] 你专生呗你再去考研就成不好意思专所你考了
[00:01:03 - 00:01:05] 全国几乎所有的专所在招生的时候
[00:01:05 - 00:01:07] 只要五年一关这本科
[00:01:07 - 00:01:09] 你专科如果去报这个的话
[00:01:09 - 00:01:10] 你会很麻烦
