BV号：BV1TW411N71M
标题：BV1TW411N71M
链接：https://www.bilibili.com/video/BV1TW411N71M
识别语言：zh
语言置信度：1
分段数：387
生成时间：2026-04-04 10:25:49

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:21] 大家好
[00:00:21 - 00:00:24] 我上学习变得更快乐的张雪峰老师
[00:00:24 - 00:00:26] 欢迎大家来到本期的张老师课堂
[00:00:26 - 00:00:29] 那么我们这一期视频在播出的时候
[00:00:29 - 00:00:30] 应该是距离高考
[00:00:30 - 00:00:32] 还有不到一个星期的时间
[00:00:32 - 00:00:34] 也不知道各位考生咱们准备的怎么样
[00:00:34 - 00:00:36] 也不知道看我们这个视频的
[00:00:36 - 00:00:38] 其他已经高考过的朋友
[00:00:38 - 00:00:41] 有没有在这些特殊的日子里想一想
[00:00:41 - 00:00:43] 你当年高考的那段争红岁月
[00:00:43 - 00:00:46] 其实每到每年的高考的时间
[00:00:46 - 00:00:48] 我就会想起我当年高考的那一段时间
[00:00:48 - 00:00:51] 就是因为我本身的高中的读的就比较坎坷
[00:00:51 - 00:00:52] 然后呢
[00:00:52 - 00:00:53] 就是在高考之前呢
[00:00:53 - 00:00:54] 也是比较紧张的
[00:00:54 - 00:00:57] 因为自己所谓的就是韩重苦读十几年
[00:00:57 - 00:01:01] 就是很想知道自己能不能所谓改变自己的这个人生的命运
[00:01:01 - 00:01:05] 其实我们很多时候都说高考是改变人生命运的一次考试
[00:01:05 - 00:01:06] 现在看来啊
[00:01:06 - 00:01:08] 其实对于有些人是这样
[00:01:08 - 00:01:10] 对于有些人可能就不一定是这样了
[00:01:10 - 00:01:12] 你比如说拿张老师我本人来举例子
[00:01:12 - 00:01:13] 因为我生活在黑龙江上
[00:01:13 - 00:01:16] 其实是下面一个非常非常小的现成
[00:01:16 - 00:01:17] 就是现在想一想
[00:01:17 - 00:01:19] 如果当年我没有参加高考的话
[00:01:20 - 00:01:23] 我都不知道我现在可能在现成这边在干嘛
[00:01:23 - 00:01:25] 可能在开个出租车
[00:01:25 - 00:01:29] 或者可能在开个小超市
[00:01:29 - 00:01:30] 可能或者说是
[00:01:30 - 00:01:35] 可能也会像很多就是这个这个这个这个
[00:01:35 - 00:01:38] 青年一样就是可能也就在电子场打打工
[00:01:38 - 00:01:40] 这个东西很难说
[00:01:40 - 00:01:41] 不过我很庆幸的是
[00:01:41 - 00:01:42] 当年学习还不错
[00:01:42 - 00:01:45] 然后参加高考改变了我自己的命运
[00:01:45 - 00:01:47] 那个时候真的考前特别的紧张
[00:01:47 - 00:01:49] 因为我们是在03年高考的
[00:01:49 - 00:01:51] 给大家讲一讲我们当年高考的经历
[00:01:51 - 00:01:53] 因为我们03年高考
[00:01:53 - 00:01:57] 其实在中国的高考历史上是有非常特殊意义的意念
[00:01:57 - 00:01:58] 主要是在两点
[00:01:58 - 00:02:00] 第一点就是在我们那年高考的有一个病
[00:02:00 - 00:02:03] 是肆虐了全中国那个病叫做非典
[00:02:03 - 00:02:05] 那么非典这个病
[00:02:05 - 00:02:07] 就是当时已经做到什么
[00:02:07 - 00:02:08] 就是说因为高考
[00:02:08 - 00:02:10] 大家要知道就是监考老师
[00:02:10 - 00:02:15] 一般情况下他不太可能是你自己那个线的相关的老师
[00:02:15 - 00:02:18] 你比如说比如说我们A线然后的话B线C线
[00:02:18 - 00:02:20] 一般情况下是A线的老师到B线去监考
[00:02:20 - 00:02:21] B线的老师到C线去监考
[00:02:21 - 00:02:23] C线的老师到A线去监考
[00:02:23 - 00:02:26] 你这样的话能保证这个监考老师和这个考生呢
[00:02:26 - 00:02:27] 就是他不认识啊
[00:02:27 - 00:02:30] 也不会出现所谓的这种高考的作弊的事故
[00:02:30 - 00:02:32] 而我们03年高考的时候呢
[00:02:32 - 00:02:35] 因为非典他禁止人员的大规模流动
[00:02:35 - 00:02:37] 所以说我们那年高考比较好玩的是
[00:02:37 - 00:02:39] 给我们监考的老师
[00:02:39 - 00:02:42] 有很多都是我们小学和初中的老师
[00:02:42 - 00:02:45] 你比如说在当年给我监考的数学老师
[00:02:45 - 00:02:47] 就是我自己的舅舅
[00:02:47 - 00:02:48] 就是我自己的舅舅
[00:02:48 - 00:02:49] 因为我舅舅在我们小学
[00:02:49 - 00:02:51] 在我们县小学当老师
[00:02:51 - 00:02:52] 所以当时就是
[00:02:52 - 00:02:54] 就是发生很多这样奇怪的事情
[00:02:54 - 00:02:55] 然后第二呢
[00:02:55 - 00:02:56] 就是我们那一年高考
[00:02:56 - 00:03:00] 居然出现了一个就是前无古人
[00:03:00 - 00:03:00] 后有没有来者
[00:03:00 - 00:03:01] 不知道啊
[00:03:01 - 00:03:02] 反正到现在是没有的
[00:03:02 - 00:03:03] 就是有一个学生
[00:03:03 - 00:03:05] 他居然在考前
[00:03:05 - 00:03:07] 偷到了高考的考试卷子
[00:03:07 - 00:03:09] 然后他把这个卷子拖完以后
[00:03:09 - 00:03:10] 据说啊
[00:03:10 - 00:03:12] 就是后来这个网上有这个新闻报道
[00:03:12 - 00:03:14] 大家有兴趣可以搜下03间高考
[00:03:14 - 00:03:16] 就是据说这哥们儿拖了这个卷子以后
[00:03:16 - 00:03:17] 还没等看
[00:03:17 - 00:03:19] 说这个高考到底考啥玩意
[00:03:19 - 00:03:20] 就被给逮着了
[00:03:20 - 00:03:21] 这一被逮着呢
[00:03:21 - 00:03:23] 因为当时已经有互联网这个东西了
[00:03:23 - 00:03:25] 然后就怕这个拖了卷子的这个哥们儿
[00:03:25 - 00:03:27] 就把这个卷子给发到网上去
[00:03:27 - 00:03:29] 然后的话对高考产生一定的影响
