BV号：BV1TZ4y167ju
标题：BV1TZ4y167ju
链接：https://www.bilibili.com/video/BV1TZ4y167ju
识别语言：zh
语言置信度：1
分段数：26
生成时间：2026-04-03 20:06:13

[00:00:00 - 00:00:04] 在中国有一天那一天中国所有的企业家都不会在外面聚会
[00:00:04 - 00:00:06] 而是躲在家里和厕所里边
[00:00:06 - 00:00:09] 再比如说上面对传播水什么叫传播水各位
[00:00:09 - 00:00:13] 它的目的是把一个东西的影响扩大或者说小对的传播水
[00:00:13 - 00:00:14] 比如拿我来学历的
[00:00:14 - 00:00:16] 我 网红
[00:00:16 - 00:00:17] 这就叫传播水
[00:00:17 - 00:00:19] 我肯定希望帮我影响那个扩大对不对
[00:00:19 - 00:00:22] 但是有些人希望把自己影响的一个多小
[00:00:22 - 00:00:23] 什么样的人或者这样的想法
[00:00:24 - 00:00:26] 想想你们哎你说的有一个方向是对的
[00:00:26 - 00:00:31] 在中国有一天那一天中国所有的企业家都不会再办法聚会
[00:00:31 - 00:00:34] 而就躲在家里面的特殊里边四色发抖
[00:00:34 - 00:00:35] 那一天就315
[00:00:35 - 00:00:38] 315 会报告以后的话
[00:00:38 - 00:00:39] 这些企业就紧急要干嘛
[00:00:39 - 00:00:40] 要多关
[00:00:40 - 00:00:42] 希望把这个英文里给他做成大家的经验
[00:00:42 - 00:00:45] 最后这个叫满意义的一些错误
[00:00:45 - 00:00:48] 大家这个干这个行当需要有专业的方法
[00:00:48 - 00:00:49] 不需要
[00:00:49 - 00:00:52] 我恶势没底的
[00:00:52 - 00:00:53] 我做网红的
[00:00:53 - 00:00:55] 我告诉你在我们这个行当
[00:00:55 - 00:00:56] 干这个干的比较好
[00:00:56 - 00:00:57] 我没有一个心跳传播的
