BV号：BV1Ta411G7FQ
标题：BV1Ta411G7FQ
链接：https://www.bilibili.com/video/BV1Ta411G7FQ
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 17:51:58

[00:00:00 - 00:00:01] 你會看所謂的公辦名單嗎
[00:00:01 - 00:00:03] 名報好專業還是公辦差專業
[00:00:03 - 00:00:05] 你將來到走工的時候誰看你名單
[00:00:05 - 00:00:07] 而且的話你好專業差專業你是啥
[00:00:07 - 00:00:08] 你的目的是什麼
[00:00:08 - 00:00:11] 如果說你的目的是學一進工地醫院
[00:00:11 - 00:00:13] 那工地醫院的話有的可能就不要明白
[00:00:13 - 00:00:13] 對吧
[00:00:13 - 00:00:16] 你以為的好專業它不一定是好的專業
[00:00:16 - 00:00:17] 你這個得具體一點
[00:00:17 - 00:00:19] 你高我的話我寧寡上明白好專業
[00:00:19 - 00:00:19] 為什麼
[00:00:19 - 00:00:20] 因為就像我所說的
[00:00:20 - 00:00:22] 專業會跟你一輩子
[00:00:22 - 00:00:23] 學校可能只跟你四年
[00:00:23 - 00:00:23] 對吧
[00:00:23 - 00:00:26] 你上過公辦到我們這種私營企業
[00:00:26 - 00:00:27] 你能過掙錢你要OK
[00:00:27 - 00:00:29] 你不能過掙錢公辦名單好使嗎
[00:00:29 - 00:00:30] 不好使啊
[00:00:30 - 00:00:31] 而且我也要看你简历的
[00:00:31 - 00:00:32] 你干过什么呀
[00:00:32 - 00:00:33] 我现在招销售
[00:00:33 - 00:00:35] 然后的话你上大学啥也没干过
[00:00:35 - 00:00:37] 你给我说你拿了什么奖学金
[00:00:37 - 00:00:39] 给我说你做了什么科研项目
[00:00:39 - 00:00:40] 你也没实习过呀
[00:00:40 - 00:00:42] 你没在这个岗位干过呀
[00:00:42 - 00:00:44] 然后一个明白的同学上大学啥也没
[00:00:44 - 00:00:45] 那正常点导动这种事
[00:00:45 - 00:00:46] 那你要那个呢
[00:00:46 - 00:00:47] 你是用人单位你要那个吗
[00:00:47 - 00:00:49] 你会看所谓的公办明白吗
[00:00:49 - 00:00:50] 各位你自己做个什么意
[00:00:50 - 00:00:52] 你会说因为公办就要他
[00:00:52 - 00:00:53] 因为明白不要他
[00:00:53 - 00:00:55] 你不得看他给你挣了多少钱吗
