BV号：BV1To4y127Up
标题：BV1To4y127Up
链接：https://www.bilibili.com/video/BV1To4y127Up
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 23:50:10

[00:00:00 - 00:00:01] 你還有第一學不好
[00:00:01 - 00:00:03] 你連報科也這個15米都不會運
[00:00:03 - 00:00:07] 中國有什麼?多英字
[00:00:07 - 00:00:08] 有時候他會做快進學
[00:00:08 - 00:00:10] 還有時候他會做一點會點經濟管理
[00:00:10 - 00:00:12] 你說快進學和會點經濟管理
[00:00:12 - 00:00:14] 你查的時候就怎麼查
[00:00:14 - 00:00:18] 快進學你得按科
[00:00:18 - 00:00:21] 會點經濟管理你得按科查
[00:00:21 - 00:00:23] 但跟這位學生明顯他不這麼想
[00:00:23 - 00:00:25] 他認為阿波斯的惡復格
[00:00:25 - 00:00:27] 科一題科了不得
[00:00:27 - 00:00:28] 科再科前面
[00:00:28 - 00:00:31] 所以他把快進學變成了科內的吧
[00:00:31 - 00:00:34] 你翻靠運氣
[00:00:34 - 00:00:36] 你分吧 慢慢分
[00:00:36 - 00:00:37] 而且最后面的是什么
[00:00:37 - 00:00:39] 最后面的是 大家一会发现
[00:00:39 - 00:00:42] 他独山的一级学科分类了
[00:00:42 - 00:00:43] 就导致什么
[00:00:43 - 00:00:44] 你查两个相关专业的生活
[00:00:44 - 00:00:46] 你得查不同的业务
[00:00:46 - 00:00:47] 比如说 我看的时候
[00:00:47 - 00:00:50] 计判机和物业网是相关专业
[00:00:50 - 00:00:51] 今天你知道了吧
[00:00:51 - 00:00:53] 你说我说我现在讲的过计判机专业
[00:00:53 - 00:01:14] 你一周人更愿意做山东的学校
[00:01:15 - 00:01:21] 所以他把山东的学校拉出来
[00:01:21 - 00:01:33] 对大家跟你不分
[00:01:33 - 00:01:35] 我为什么跟朋友拍的不合呢
[00:01:35 - 00:01:35] 对
