BV号：BV1Tt411x7tG
标题：BV1Tt411x7tG
链接：https://www.bilibili.com/video/BV1Tt411x7tG
识别语言：zh
语言置信度：1
分段数：147
生成时间：2026-04-04 08:50:57

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:09] 同学们大家晚上好
[00:00:09 - 00:00:11] 我你们心中的男神张雪峰老师
[00:00:14 - 00:00:17] 接下来让我们有请下一位学员登场
[00:00:17 - 00:00:18] 这个逼装的可以啊
[00:00:18 - 00:00:19] 精华筒啊
[00:00:21 - 00:00:22] 看这里看这里
[00:00:30 - 00:00:31] 你好
[00:00:32 - 00:00:33] 大家好
[00:00:33 - 00:00:34] 请自我介绍
[00:00:34 - 00:00:37] 我是让学习变得更快乐的张雪峰老师
[00:00:37 - 00:00:39] 平常的工作是什么
[00:00:39 - 00:00:40] 考研是我的一个主页
[00:00:40 - 00:00:42] 今天为我们带来什么歌曲
[00:00:42 - 00:00:43] 来个一人一酒醉
[00:00:43 - 00:00:45] 哈哈哈哈哈哈
[00:00:46 - 00:00:48] 一天我又喝醉
[00:00:48 - 00:00:49] 想起了大学饭的醉
[00:00:49 - 00:00:51] 啥也不会天天睡
[00:00:51 - 00:00:53] 女神踹我很干脆
[00:00:53 - 00:00:55] 这样毕业可怎么办
[00:00:55 - 00:00:57] 对不起爹妈的血和汗
[00:00:57 - 00:00:58] 下定决心要考研
[00:00:58 - 00:01:00] 我也要挣很多钱
[00:01:00 - 00:01:02] 哎哎你要去哪我都
[00:01:02 - 00:01:03] 我他们都忘了我要去哪了
[00:01:03 - 00:01:04] 不是
[00:01:04 - 00:01:06] 就是刚才那个调兄弟
[00:01:06 - 00:01:07] 你找准了
[00:01:07 - 00:01:08] 你现在不是黄岐山
[00:01:08 - 00:01:10] 你是杨坤你知道吧
[00:01:10 - 00:01:11] 我是张雪峰
[00:01:11 - 00:01:13] 还有就是我们心中其实都有节拍的
[00:01:13 - 00:01:14] 好唱得不好拍
[00:01:14 - 00:01:15] 人家笑话我
[00:01:15 - 00:01:17] 不用你节拍没所谓啊
[00:01:17 - 00:01:19] 对那你可以很free
[00:01:19 - 00:01:20] 但是要在那个
[00:01:20 - 00:01:21] 要遮准要准
[00:01:21 - 00:01:23] 舒服的旋律里面
[00:01:23 - 00:01:23] 呃
[00:01:23 - 00:01:24] 再一次啊
[00:01:24 - 00:01:26] 政治首先不用看
[00:01:26 - 00:01:28] 实事有人帮我灌
[00:01:28 - 00:01:29] 五大部分轮番转
[00:01:29 - 00:01:31] 最后偷歌帮我干
[00:01:31 - 00:01:33] 英语复习我最愁
[00:01:33 - 00:01:35] 月炉看的我很轴
[00:01:35 - 00:01:36] 单词与法都不熟
[00:01:36 - 00:01:38] 能够过线三颗油
[00:01:38 - 00:01:40] 集中经历看数学
[00:01:40 - 00:01:42] 我快疯了
[00:01:42 - 00:01:44] 我他们也疯了
[00:01:44 - 00:01:47] 你的眼神很像一直在闪躲
[00:01:47 - 00:01:49] 看着美女没有办法
[00:01:49 - 00:01:51] 是在看前面有什么东西
[00:01:51 - 00:01:53] 有好大一坨石
[00:01:53 - 00:01:56] 耳环都掉了
[00:01:56 - 00:01:59] 你看着你把我吓疯了
[00:01:59 - 00:02:00] 把他耳环吓掉了
[00:02:00 - 00:02:02] 傻逼是吧
[00:02:02 - 00:02:03] 干啥呢
[00:02:03 - 00:02:05] 我也知道吗
[00:02:05 - 00:02:07] 你的节奏有点怪怪的
[00:02:07 - 00:02:08] 你头的律动也有点
[00:02:08 - 00:02:09] 你去移动有点
[00:02:09 - 00:02:10] 没关系
[00:02:10 - 00:02:11] 无所谓
[00:02:11 - 00:02:12] 不是他不是头的事
[00:02:13 - 00:02:14] 他就是调不准
[00:02:14 - 00:02:15] 我下去你上来
[00:02:15 - 00:02:16] 哎我去
