BV号：BV1UJ411a7am
标题：BV1UJ411a7am
链接：https://www.bilibili.com/video/BV1UJ411a7am
识别语言：zh
语言置信度：1
分段数：437
生成时间：2026-04-04 04:03:40

[00:00:00 - 00:00:02] 大家好 欢迎收看本期的法律其实很好玩
[00:00:02 - 00:00:04] 那么李女士跟点的公司
[00:00:04 - 00:00:07] 就签订了一个房屋抵押的一个点当合同
[00:00:07 - 00:00:09] 将自己的房屋抵押给点的公司
[00:00:09 - 00:00:12] 那么获取了200万的当金
[00:00:12 - 00:00:13] 但是没过多久
[00:00:13 - 00:00:16] 李女士就发生了意外出现了身亡的状况
[00:00:16 - 00:00:19] 点当公司当然想把这个房屋给要过来
[00:00:19 - 00:00:19] 对吧
[00:00:19 - 00:00:21] 这毕竟有200万的当金在那
[00:00:21 - 00:00:25] 但是李女士的老公张某以及她的女儿小炳觉得
[00:00:25 - 00:00:28] 李女士的合同是李女士的合同
[00:00:28 - 00:00:30] 他已经身亡了跟我们没什么关系
[00:00:30 - 00:00:33] 你不能说让母债女来尝
[00:00:33 - 00:00:36] 那点当公司能不能通过法律的手段
[00:00:36 - 00:00:39] 将自己这200万的当金给收回来
[00:00:39 - 00:00:42] 这就是我们本期要跟大家讨论的事情
[00:00:42 - 00:00:54] 大家好
[00:00:54 - 00:00:56] 欢迎收看本期的法律其实很好玩
[00:00:56 - 00:00:58] 我上学习变得更快乐的张雪锋老师
[00:00:58 - 00:00:59] 我们本期成到了家宾
[00:00:59 - 00:01:01] 依然是我们研途教育的前缘老师
[00:01:01 - 00:01:02] 我们的严挨小老师
[00:01:02 - 00:01:03] 杨老师跟大家打个招呼吧
[00:01:03 - 00:01:04] 好 大家好
[00:01:04 - 00:01:05] 杨老师
[00:01:05 - 00:01:08] 就是我们原来在各种杠的影视剧当中
[00:01:08 - 00:01:11] 包括说我们生活当中都有这么一个一句话
[00:01:11 - 00:01:14] 叫做负债紫长
[00:01:14 - 00:01:17] 那么这个案子就有点这个意思
[00:01:17 - 00:01:19] 李女士她发生意外生亡了
[00:01:19 - 00:01:22] 但是她跟点档公司的点档合同
[00:01:22 - 00:01:24] 要不要执行下去
[00:01:24 - 00:01:26] 她的丈夫和女儿小饼
