BV号：BV1Uv4y1P7Bf
标题：BV1Uv4y1P7Bf
链接：https://www.bilibili.com/video/BV1Uv4y1P7Bf
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 19:27:56

[00:00:00 - 00:00:02] 還有人問我說張老師我問一下
[00:00:02 - 00:00:05] 我覺得我們家孩子現在能上一個普通酒吧舞
[00:00:05 - 00:00:06] 但是要透露張老師
[00:00:06 - 00:00:07] 我覺得我們家孩子這個考的不好
[00:00:07 - 00:00:09] 老師我希望我們家孩子更進一步
[00:00:09 - 00:00:10] 我希望他能考到天大
[00:00:10 - 00:00:11] 能考到華科
[00:00:11 - 00:00:12] 老師
[00:00:12 - 00:00:13] 怎麼怎麼激勵他
[00:00:13 - 00:00:14] 再往上等20分
[00:00:14 - 00:00:15] 考到天大考到華科
[00:00:15 - 00:00:16] 嗯
[00:00:16 - 00:00:17] 我說家長你要注意啊
[00:00:17 - 00:00:18] 人生呢
[00:00:18 - 00:00:19] 他是這樣的一個階段
[00:00:19 - 00:00:21] 首先第一個階段叫做高考
[00:00:21 - 00:00:22] 第二個階段呢
[00:00:22 - 00:00:23] 叫做大學
[00:00:23 - 00:00:24] 第三個階段叫做社會
[00:00:24 - 00:00:26] 我說一個人他一生最終的高度
[00:00:26 - 00:00:28] 跟他高考有沒有關係
[00:00:28 - 00:00:29] 有一定關係
[00:00:29 - 00:00:33] 但不代表你高考考好了考不好了就怎样
[00:00:33 - 00:00:38] 我大学同学当中他们现在有的人干这个有的人干那个有的人干那个有的人干那个他不一样
[00:00:38 - 00:00:40] 你高考考到一个同样的大学
[00:00:40 - 00:00:42] 这个大学这个专业假如说招着60个人
[00:00:42 - 00:00:46] 这60个人毕业10年以后有人混得好有人混得不好
[00:00:46 - 00:00:48] 在于他的思维
[00:00:48 - 00:00:53] 我说家长我当年找第一份工作的时候我就不是以员工的思维在考虑这个事情
[00:00:53 - 00:00:56] 我当年做第一份工作的时候的话我是一个讲师
[00:00:56 - 00:00:58] 我就看这个流程这个公司是怎么运作的
[00:00:58 - 00:00:59] 然后的话家长跟我说说张老师
[00:00:59 - 00:01:01] 那像你这样的人能有几个
[00:01:01 - 00:01:02] 你看家长
[00:01:02 - 00:01:03] 你这句话的毛病在哪里
[00:01:03 - 00:01:06] 你连想都不敢想
[00:01:06 - 00:01:07] 那你怎么能成呢
