BV号：BV1W7411E7PE
标题：BV1W7411E7PE
链接：https://www.bilibili.com/video/BV1W7411E7PE
识别语言：zh
语言置信度：1
分段数：219
生成时间：2026-04-04 02:56:40

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 欢迎大家收看本期的法律气诗很好玩
[00:00:05 - 00:00:07] 在2019年的12月2号
[00:00:07 - 00:00:11] 陕阳有一个小区突然发生了大火
[00:00:11 - 00:00:14] 我知道这个事当时是通过微博热宿第一名
[00:00:14 - 00:00:17] 我一看我陕阳的小区发生大火
[00:00:17 - 00:00:18] 赶紧看一看
[00:00:18 - 00:00:20] 结果火着的呀
[00:00:20 - 00:00:21] 真是非常非常的大
[00:00:21 - 00:00:24] 整个一栋楼都在着火
[00:00:24 - 00:00:25] 后来才发现
[00:00:25 - 00:00:28] 刚开始只是这个楼的五层
[00:00:28 - 00:00:31] 他外墙的保温发生了一点火灾
[00:00:31 - 00:00:33] 本来这个火不大
[00:00:33 - 00:00:36] 消防队来了以后发现消防通道
[00:00:36 - 00:00:38] 有一辆车堵在那
[00:00:38 - 00:00:39] 消防车进不来
[00:00:39 - 00:00:41] 结果在短短的几分钟之内
[00:00:41 - 00:00:44] 那个火一下子就竄到了25层
[00:00:44 - 00:00:47] 而那个车上还留了一个电话挪车电话
[00:00:47 - 00:00:49] 把这个挪车的人找过来以后
[00:00:49 - 00:00:50] 这人还说什么呢
[00:00:50 - 00:00:51] 说你楼上找我
[00:00:51 - 00:00:53] 跟我有什么关系
[00:00:53 - 00:00:54] 当时我就很生气
[00:00:54 - 00:00:56] 我觉得微博发了一条微博
[00:00:56 - 00:01:00] 我說有沒有什麼法律能把這個人給我治了
[00:01:00 - 00:01:02] 他說那個話實在是太來氣
[00:01:02 - 00:01:05] 我們本期討論的就是這個事
[00:01:05 - 00:01:18] 大家好
[00:01:18 - 00:01:20] 我是上學習變得更快樂的張雪鋒老師
[00:01:20 - 00:01:22] 歡迎大家收看本期的法律其實很好玩
[00:01:22 - 00:01:25] 我們本期請到的嘉賓依然是我們研討教育的
[00:01:25 - 00:01:26] 秦元老師我們的顏愛賢老師
[00:01:26 - 00:01:27] 楊老師跟大家打個招呼吧
[00:01:27 - 00:01:28] 好大家好
[00:01:28 - 00:01:30] 楊老師這個事你知道嗎
