BV号：BV1WD4y1u7eT
标题：BV1WD4y1u7eT
链接：https://www.bilibili.com/video/BV1WD4y1u7eT
识别语言：zh
语言置信度：1
分段数：29
生成时间：2026-04-03 16:02:02

[00:00:00 - 00:00:02] 就是我告诉大家就是每一个人都
[00:00:02 - 00:00:03] 他的一个所谓的追求
[00:00:03 - 00:00:05] 你一定要知道孩子在乎的是什么
[00:00:05 - 00:00:08] 你给他说的东西可能不是他想要的
[00:00:08 - 00:00:10] 就是就是怎么说呢
[00:00:10 - 00:00:11] 就是小猫去钉鱼
[00:00:11 - 00:00:13] 然后兔子也去钉鱼
[00:00:13 - 00:00:15] 然后的话小猫看到兔子拿那个幼儿
[00:00:15 - 00:00:17] 直接给兔子扒一把掌
[00:00:17 - 00:00:18] 说你是不是傻
[00:00:18 - 00:00:19] 你用胡萝卜钉鱼
[00:00:19 - 00:00:19] 对吧
[00:00:19 - 00:00:21] 那你肯定是不行的
[00:00:21 - 00:00:24] 所以说你得知道孩子的需求点在哪里
[00:00:24 - 00:00:26] 他是在乎所谓的面子
[00:00:26 - 00:00:29] 还是在乎所谓的跟同学之间的这种关系
[00:00:29 - 00:00:30] 还是说他交了一个男朋友
[00:00:30 - 00:00:31] 交了一个女朋友
[00:00:31 - 00:00:33] 他很在乎他男朋友
[00:00:33 - 00:00:34] 或者是女朋友的感受
[00:00:34 - 00:00:35] 是什么
[00:00:35 - 00:00:38] 你得找到他问题的跟节点在哪里
[00:00:38 - 00:00:39] 这玩意就跟治病一样
[00:00:39 - 00:00:41] 你得知道他病在什么地方
[00:00:41 - 00:00:41] 知道吧
[00:00:41 - 00:00:42] 你得知道他疼在什么地方
[00:00:42 - 00:00:43] 然后的话
[00:00:43 - 00:00:44] 你对他疼的那个点
[00:00:44 - 00:00:45] 去对症下药
