BV号：BV1WQmbYmEA9
标题：BV1WQmbYmEA9
链接：https://www.bilibili.com/video/BV1WQmbYmEA9
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 07:39:03

[00:00:00 - 00:00:01] 另外还想向您请教一个问题
[00:00:01 - 00:00:05] 就是孩子是有点规划
[00:00:05 - 00:00:07] 他的想法是法本
[00:00:07 - 00:00:10] 然后想要考研
[00:00:10 - 00:00:13] 考研完了之后想要考工
[00:00:13 - 00:00:18] 他听说可能研究生毕业出来找工作
[00:00:18 - 00:00:19] 其实跟本科差不多
[00:00:19 - 00:00:22] 但如果说他如果研究生毕业的话
[00:00:22 - 00:00:24] 要是能考工
[00:00:24 - 00:00:28] 比如说到司法 法检体系里边去工作几年的话
[00:00:28 - 00:00:30] 可能会激展一些经验
[00:00:30 - 00:00:33] 再到绿索可能会更有基础
[00:00:33 - 00:00:34] 它是这么理解的
[00:00:34 - 00:00:35] 加拿是这样子
[00:00:35 - 00:00:37] 如果说你的所谓的这个路径
[00:00:37 - 00:00:38] 就是你的最后路径
[00:00:38 - 00:00:41] 最后要归节在绿索的话
[00:00:41 - 00:00:43] 实际上你在法院的工作经验
[00:00:43 - 00:00:44] 要比你的学历更重要
[00:00:44 - 00:00:46] 比如说你读研究生读三年
[00:00:46 - 00:00:48] 你本科毕业以后直接考上工员
[00:00:48 - 00:00:50] 你在法检系统工作十年
[00:00:50 - 00:00:52] 何老师我现在是我本科毕业以后
[00:00:52 - 00:00:53] 我先考上研究生
[00:00:53 - 00:00:53] 考上研究生以后
[00:00:53 - 00:00:55] 我再去法检系统我工作七年
[00:00:55 - 00:00:56] 然后的话
[00:00:56 - 00:00:57] 再从法检系统出来
[00:00:57 - 00:00:58] 再去做绿索的话
[00:00:58 - 00:01:00] 可能律所更会看重要这个10年
[00:01:00 - 00:01:01] 法院法检工作经验的
[00:01:01 - 00:01:03] 而不会看重7年工作经验
[00:01:03 - 00:01:04] 然后有一个研究生学历的
[00:01:04 - 00:01:05] 我在了解是这样子
[00:01:05 - 00:01:07] 但是在考工的时候
[00:01:07 - 00:01:08] 不可避免的加上
[00:01:08 - 00:01:10] 随着我们现在考工越来越卷
[00:01:10 - 00:01:11] 很有可能就是
[00:01:11 - 00:01:12] 在考工的时候
[00:01:12 - 00:01:14] 有些岗位是本科生能考
[00:01:14 - 00:01:16] 有些岗位很有可能是研究生能考
[00:01:16 - 00:01:17] 比如说在我们苏南地区
[00:01:17 - 00:01:20] 现在苏南地区市集法检系统
[00:01:20 - 00:01:22] 必须是研究生学历才能考
[00:01:22 - 00:01:23] 而不是说你本科学历就能考
[00:01:23 - 00:01:25] 所以说这个东西是跟你地域
[00:01:25 - 00:01:26] 还是有一定关系的
[00:01:26 - 00:01:27] 这个东西没有办法一概回答
[00:01:27 - 00:01:30] 那么目前来讲,本科毕业能靠发展系统的地方
[00:01:30 - 00:01:33] 经验可能比你所谓的学历都更好
