BV号：BV1Wh4y1g7qh
标题：BV1Wh4y1g7qh
链接：https://www.bilibili.com/video/BV1Wh4y1g7qh
识别语言：zh
语言置信度：1
分段数：151
生成时间：2026-04-03 14:21:55

[00:00:00 - 00:00:06] 张老师 你怎么了
[00:00:06 - 00:00:07] 看看这些智园甜猫的妖言
[00:00:07 - 00:00:09] 我不出来说到学到什么不行了
[00:00:09 - 00:00:12] 不知道选什么专业挑热门道
[00:00:12 - 00:00:13] 大家都选肯定没有错
[00:00:13 - 00:00:17] 人人都抢走的路可能真的是比较宽的
[00:00:17 - 00:00:19] 但是也可能是真的
[00:00:19 - 00:00:20] 很多人都抢当老师
[00:00:20 - 00:00:22] 吃饭的分数都被炒成什么样的
[00:00:22 - 00:00:23] 国产习近研发社
[00:00:23 - 00:00:25] 一窝峰的暴电的信息类
[00:00:25 - 00:00:26] 它不是不可以
[00:00:26 - 00:00:29] 但先看看自己是否擅长物理
[00:00:29 - 00:00:31] 学校招生张成没什么用
[00:00:31 - 00:00:32] 没太必要看
[00:00:32 - 00:00:33] 错
[00:00:33 - 00:00:35] 每年不知有多少人错过
[00:00:35 - 00:00:37] 招生章程的重要信息
[00:00:37 - 00:00:39] 滑档亏档了
[00:00:39 - 00:00:41] 每个学校的专业录取规则都不一样
[00:00:41 - 00:00:43] 分数优先的谁分高录谁
[00:00:43 - 00:00:46] 支援优先的谁放低支援录谁
[00:00:46 - 00:00:47] 等级分差的
[00:00:47 - 00:00:48] 不低二专业支援
[00:00:48 - 00:00:50] 实际要将考生的成绩减去几分
[00:00:50 - 00:00:52] 有的专业对选科
[00:00:52 - 00:00:54] 身体情况性别有特殊要求的
[00:00:54 - 00:00:55] 大家得仔细看
[00:00:55 - 00:00:56] 想学计算机
[00:00:56 - 00:00:57] 但是分数太高了
[00:00:57 - 00:00:59] 选电子信息工程
[00:00:59 - 00:01:00] 以后就业都一样
[00:01:00 - 00:01:02] 这不是坑人嘛
[00:01:02 - 00:01:04] 计算机和电子信息工程
[00:01:04 - 00:01:05] 在本开专业目录里边
[00:01:05 - 00:01:07] 是两个不同的地球专业
[00:01:07 - 00:01:09] 后果就是在找工作的时候
[00:01:09 - 00:01:10] 如果人家明确写了
[00:01:10 - 00:01:12] 它是着计算机类
[00:01:12 - 00:01:13] 那你学电子信息工程的话
[00:01:13 - 00:01:15] 可能就去不了了
[00:01:15 - 00:01:16] 很多专业名字很相信
[00:01:16 - 00:01:17] 学习方向大部分
[00:01:17 - 00:01:19] 就业方向也大部分
[00:01:19 - 00:01:20] 大家在选择专业的时候
[00:01:20 - 00:01:22] 一定要顺利用
[00:01:22 - 00:01:24] 有些学校在选专业
[00:01:24 - 00:01:26] 反正可以转专业
[00:01:26 - 00:01:28] 大学是你家开的呀
[00:01:28 - 00:01:30] 你想转业就转啊
[00:01:30 - 00:01:33] 绝大部分学校的短专业还是设置门槛的
[00:01:33 - 00:01:35] 比如说你想转路相关专业
[00:01:35 - 00:01:37] 就要参加它的考核
[00:01:37 - 00:01:40] 可能有比式面试或者是比式加面
[00:01:40 - 00:01:41] 尤其是热门专业
[00:01:41 - 00:01:43] 你想转的别人就不想转
[00:01:43 - 00:01:44] 那不得择悠录用
[00:01:44 - 00:01:47] 大学的录取分数有大年小年规律
[00:01:47 - 00:01:51] 去年分高的知名大学今年可以低分简陋
[00:01:51 - 00:01:52] 大小年啊
[00:01:52 - 00:01:53] 那是事后总结
[00:01:53 - 00:01:55] 那不是用来预测的
[00:01:55 - 00:01:58] 大年后边就不能是更大的大年了吗
[00:01:58 - 00:02:00] 学校扩招缩招的情况
[00:02:00 - 00:02:01] 你不用考虑吗
