BV号：BV1XWPSz9Eh9
标题：BV1XWPSz9Eh9
链接：https://www.bilibili.com/video/BV1XWPSz9Eh9
识别语言：zh
语言置信度：1
分段数：45
生成时间：2026-04-03 00:07:07

[00:00:00 - 00:00:01] 大家你一定要注意
[00:00:01 - 00:00:04] 有一些学校是进电网的电器是进电网的
[00:00:04 - 00:00:05] 有一些学校电器不是进电网的
[00:00:05 - 00:00:06] 我给大家举一个例子
[00:00:06 - 00:00:08] 我给大家举一个最简单的例子
[00:00:08 - 00:00:09] 比如说我们江苏的
[00:00:09 - 00:00:10] 江苏三个学校
[00:00:10 - 00:00:11] 一个叫江南大学
[00:00:11 - 00:00:12] 这个在无锡
[00:00:12 - 00:00:12] 一个在苏陆
[00:00:12 - 00:00:13] 一个叫苏陆大学
[00:00:13 - 00:00:15] 这个是在苏州REL
[00:00:15 - 00:00:15] 然后的话
[00:00:15 - 00:00:17] 一个叫南京社会大学
[00:00:17 - 00:00:18] 这个也是REL
[00:00:18 - 00:00:18] 江南大学
[00:00:18 - 00:00:20] 苏陆大学和南京社会大学
[00:00:20 - 00:00:22] 这三个学校哪个是进电网的
[00:00:22 - 00:00:23] 正确答案是
[00:00:23 - 00:00:24] 南京社会大学的电器是进电网的
[00:00:24 - 00:00:26] 苏陆大学的电器不是进电网的
[00:00:30 - 00:00:31] 我一个手
[00:00:31 - 00:00:31] 知道吧
[00:00:31 - 00:00:33] 然后南京市门大学的电器
[00:00:33 - 00:00:33] 每年进电网的人数
[00:00:33 - 00:00:34] 大概在100多人
[00:00:34 - 00:00:36] 所以说加上你如果说
[00:00:36 - 00:00:38] 想让孩子们去说
[00:00:38 - 00:00:39] 所谓的拖我进电网的话
[00:00:39 - 00:00:40] 你一定要看一个东西
[00:00:40 - 00:00:42] 就是每一年
[00:00:42 - 00:00:43] 国家电网公司照片的时候
[00:00:43 - 00:00:45] 这个学校进去的人有多少
[00:00:45 - 00:00:46] 你看西安电的科技大学
[00:00:46 - 00:00:47] 分高对吧
[00:00:47 - 00:00:48] 但是西安电的科技大学
[00:00:48 - 00:00:48] 进电网的人数
[00:00:48 - 00:00:50] 还不如西安理工大学
[00:00:50 - 00:00:51] 进电网的人数
[00:00:51 - 00:00:53] 就是有些学校的电器是强电
[00:00:53 - 00:00:55] 有的学校的电器是弱电
[00:00:55 - 00:00:56] 电器这个主人也不要乱爆
[00:00:56 - 00:00:57] 各位在那不要乱爆
[00:00:57 - 00:00:59] 不要以为学电器进文进电网
[00:01:00 - 00:01:02] 有的需要農进是有的需要进不去的
