BV号：BV1Xm4y1Y7Mu
标题：BV1Xm4y1Y7Mu
链接：https://www.bilibili.com/video/BV1Xm4y1Y7Mu
识别语言：zh
语言置信度：1
分段数：92
生成时间：2026-04-03 14:42:00

[00:00:00 - 00:00:02] 报纸人的时候有些同学就是非RU不报
[00:00:02 - 00:00:05] 但是在我们各行各业有一些学校
[00:00:05 - 00:00:06] 它不是RU不是双一流
[00:00:06 - 00:00:09] 可是人家在企业里边是非常受认可的
[00:00:09 - 00:00:11] 我们今天要介绍的这个学校就是这个
[00:00:11 - 00:00:13] 其实咱们之前也提到过它
[00:00:13 - 00:00:16] 说它最牛逼的就是核物理专业
[00:00:16 - 00:00:16] 轻易补作实验
[00:00:16 - 00:00:18] 要做就做核实验
[00:00:18 - 00:00:19] 有的人已经猜到了
[00:00:19 - 00:00:22] 它就是湖南衡阳的南华大学
[00:00:22 - 00:00:24] 当然了前面说的是调侃
[00:00:24 - 00:00:28] 不过南华在核这一块确实是非常的厉害
[00:00:28 - 00:00:30] 好说有国内专业学科最齐全
[00:00:30 - 00:00:31] 半学层次最完整
[00:00:31 - 00:00:33] 培养规模最大的
[00:00:33 - 00:00:35] 河内特色专业群
[00:00:35 - 00:00:35] 除了河
[00:00:35 - 00:00:37] 人家在医药方面也很突出
[00:00:37 - 00:00:37] 像什么
[00:00:37 - 00:00:38] 林庄医学
[00:00:38 - 00:00:39] 药学
[00:00:39 - 00:00:39] 物理学
[00:00:39 - 00:00:40] 生物技术
[00:00:40 - 00:00:41] 预防医学
[00:00:41 - 00:00:43] 都是国家一流本科专业
[00:00:43 - 00:00:45] 河医这两块以外
[00:00:45 - 00:00:46] 它在环境土木
[00:00:46 - 00:00:47] 机械
[00:00:47 - 00:00:47] 电信
[00:00:47 - 00:00:49] 化工等这些方面的专业实力
[00:00:49 - 00:00:50] 也非常的强
[00:00:50 - 00:00:51] 别的不说
[00:00:51 - 00:00:53] 就光看人家是工信部
[00:00:53 - 00:00:54] 生态环境部
[00:00:54 - 00:00:55] 国家卫健委
[00:00:55 - 00:00:56] 国防科工局
[00:00:56 - 00:01:01] 中和集团这么多不伪央企和湖南省的共建高校
[00:01:01 - 00:01:04] 那在相关的领域肯定是有点底子的
[00:01:04 - 00:01:05] 底子后是一方面
[00:01:05 - 00:01:08] 南华在培养模式上也有着不少
[00:01:08 - 00:01:10] 独有或者说是首创的举措
[00:01:10 - 00:01:12] 医学方面它有免费医学生
[00:01:12 - 00:01:15] 临床医学专业前50%的同学
[00:01:15 - 00:01:18] 学生的学费住宿费是全免的
[00:01:18 - 00:01:23] 而且学校每年还会从理工科专业里面选拔一些学生去读医学
[00:01:23 - 00:01:27] 要知道很多学校是不允许非医学转移学的
[00:01:27 - 00:01:27] 有了这个政策
[00:01:27 - 00:01:29] 哪怕一开始分不够
[00:01:29 - 00:01:32] 你也可以继续去完成你的医学目相
[00:01:32 - 00:01:37] 那么何方面人家全国首创核产业特港专项招生
[00:01:37 - 00:01:40] 跟中核集团旗下的很多公司
[00:01:40 - 00:01:43] 都签订了订单订项的排养协议
[00:01:43 - 00:01:45] 毕业以后直接订项就业
[00:01:45 - 00:01:46] 有同学说说哎呀张老师
[00:01:46 - 00:01:48] 那核这种专业肯定是在那种
[00:01:48 - 00:01:50] 诱辨诱苦的地方就业吧
[00:01:50 - 00:01:51] 哎
[00:01:51 - 00:01:52] 其实人家这个专项计划
[00:01:52 - 00:01:54] 就是为了解决这些问题才设置的
[00:01:54 - 00:01:56] 而且学校在这行里边
[00:01:56 - 00:01:59] 也是有一定的口碑跟地位的
[00:01:59 - 00:02:00] 以后的发展你也不用投
[00:02:00 - 00:02:01] 至于说什么
[00:02:01 - 00:02:03] 拔尖创新班也都有
[00:02:03 - 00:02:05] 进去之后只要达到培养目标
[00:02:05 - 00:02:06] 就能够推免
[00:02:06 - 00:02:08] 推免到清华大学上海交大的学生
[00:02:08 - 00:02:09] 比比皆是
[00:02:09 - 00:02:11] 最近这几年的南华
[00:02:11 - 00:02:13] 一直在大力引进高层色人才
[00:02:13 - 00:02:15] 什么国家级省不级的人才
[00:02:15 - 00:02:17] 这些年已经引进了上百位
[00:02:17 - 00:02:19] 现在学校里面包括院士在内的
[00:02:19 - 00:02:22] 各类高层色人才已经有4000多位了
[00:02:22 - 00:02:24] 一方面学生如果想知道
[00:02:24 - 00:02:25] 十字力量有保证
[00:02:25 - 00:02:27] 二也是能够看得出来
[00:02:27 - 00:02:29] 学校的花点事故确实很不错
[00:02:29 - 00:02:31] 说到这还想起一件事
[00:02:31 - 00:02:32] 就在今年5月
[00:02:32 - 00:02:35] 南华的生物学与生物化学学科
[00:02:35 - 00:02:38] 进入到了ESI全球前1%
[00:02:38 - 00:02:42] 是学校第五个ESI前1%的学科
[00:02:42 - 00:02:43] 从这你也能看得出来
[00:02:43 - 00:02:45] 学校近几年花点事头训谋
[00:02:45 - 00:02:46] 而最近几年
[00:02:46 - 00:02:48] 南华大学的初次就业率
[00:02:48 - 00:02:50] 一直保持在90%以上
[00:02:50 - 00:02:52] 像这样一所实力响有特色
[00:02:52 - 00:02:53] 就业好的学校
[00:02:53 - 00:02:55] 真得敬请大家多关注一下
