BV号：BV1XsDpYQE2E
标题：BV1XsDpYQE2E
链接：https://www.bilibili.com/video/BV1XsDpYQE2E
识别语言：zh
语言置信度：1
分段数：100
生成时间：2026-04-03 07:45:51

[00:00:00 - 00:00:02] 就是我这个成绩如果考不上北大的话
[00:00:02 - 00:00:03] 我大概怎么选
[00:00:03 - 00:00:04] 考不上北大上互难呀
[00:00:06 - 00:00:08] 就大概复旦上交
[00:00:08 - 00:00:09] 就是我想主修化学
[00:00:09 - 00:00:11] 另外我想学个计算机
[00:00:11 - 00:00:12] 可以没有问题
[00:00:12 - 00:00:15] 然后就是如果未来就业的话
[00:00:15 - 00:00:17] 是怎么走比较好
[00:00:17 - 00:00:18] 是这样同学
[00:00:18 - 00:00:21] 你知道理学和工学的差别是什么吗
[00:00:21 - 00:00:22] 一个是理论
[00:00:22 - 00:00:23] 一个是具体下
[00:00:23 - 00:00:24] 我比较清楚
[00:00:24 - 00:00:25] 一个是科学家
[00:00:25 - 00:00:26] 一个是工程师
[00:00:26 - 00:00:27] 比如说我就拿你参加
[00:00:27 - 00:00:29] 在这个化学精赛来举例子
[00:00:29 - 00:00:34] A加B等于C这个叫化学如何大规模的生产C
[00:00:34 - 00:00:35] 这个叫化工
[00:00:35 - 00:00:36] 比如说你参加化学军赛
[00:00:36 - 00:00:39] 你会发现有一些是属于化学原理性的东西
[00:00:39 - 00:00:41] 有一些是属于化工生产性的问题
[00:00:41 - 00:00:43] 你懂我意思了吧
[00:00:43 - 00:00:44] 化工生产性的问题的话
[00:00:44 - 00:00:45] 它是一个大量的
[00:00:45 - 00:00:47] 就比如说我给你举个简单的例子
[00:00:47 - 00:00:48] 你比如说像制药
[00:00:48 - 00:00:50] 制药就是属于化工行业
[00:00:50 - 00:00:53] 那我现在你知道当年就是青梅素
[00:00:53 - 00:00:54] 青梅素这个东西
[00:00:54 - 00:00:58] 青梅素从发现它到青梅素打到人身体里边
[00:00:58 - 00:01:00] 你知道这个过程经历了多少年吗
