BV号：BV1Y4411N7cw
标题：BV1Y4411N7cw
链接：https://www.bilibili.com/video/BV1Y4411N7cw
识别语言：zh
语言置信度：1
分段数：504
生成时间：2026-04-04 08:07:11

[00:00:04 - 00:00:05] 大家好
[00:00:05 - 00:00:07] 我是让学习变得更快乐的张雪峰老师
[00:00:07 - 00:00:11] 欢迎大家收看咱们高考志愿填爆的系列课程
[00:00:11 - 00:00:14] 那么我们今天第一节课要给大家讲一下
[00:00:14 - 00:00:16] 就是目前来讲新高考
[00:00:16 - 00:00:20] 它的一些热点的变化和规则
[00:00:20 - 00:00:21] 还有它一些相当的特点
[00:00:21 - 00:00:23] 因为这个高考可以说是
[00:00:23 - 00:00:25] 咱们中国人是绕不开的一个话题
[00:00:25 - 00:00:29] 那么很多朋友想改变自己命运的话
[00:00:29 - 00:00:31] 高考是一个非常重要的一个选择
[00:00:31 - 00:00:32] 比如说拿我来举例子
[00:00:32 - 00:00:35] 我当年是一个小县城的一个孩子
[00:00:35 - 00:00:36] 然后的话那个通过高考
[00:00:36 - 00:00:37] 然后的话走向大城市
[00:00:37 - 00:00:40] 然后的话过上自己所谓想要的生活
[00:00:40 - 00:00:44] 我们十年寒窗苦读可能就是为了这一课
[00:00:44 - 00:00:47] 但是这高考最近却发生了一些新的变化
[00:00:47 - 00:00:49] 就是我们传说当中的新高考
[00:00:49 - 00:00:51] 那么新高考改完以后的话
[00:00:51 - 00:00:57] 其实主旨就是由原来的像文理综合改成了六选三的任意选课
[00:00:57 - 00:00:59] 那么就会有很多朋友和家长就问说
[00:00:59 - 00:01:02] 张老师他新高考他改了到底改了啥
[00:01:02 - 00:01:05] 那么市面上有很多关于新高考的解读
[00:01:05 - 00:01:10] 其实我觉得也没有像其他老师讲的那么麻烦
[00:01:10 - 00:01:12] 这个事没有大家想的那么繁琐
[00:01:12 - 00:01:15] 那么咱们今天先给大家来普及一下
[00:01:15 - 00:01:18] 这个新高考它到底是改了啥
[00:01:18 - 00:01:22] 那么我们这一张检会从几方面角度来给大家说一下
[00:01:22 - 00:01:23] 那么首先第一就是
[00:01:23 - 00:01:27] 其实新高考改革的内容就是由学校导向
[00:01:27 - 00:01:28] 是改为专业导向的
