BV号：BV1Y44y1a7ZV
标题：BV1Y44y1a7ZV
链接：https://www.bilibili.com/video/BV1Y44y1a7ZV
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 21:15:09

[00:00:00 - 00:00:03] 老话说有人的地方就有社交
[00:00:03 - 00:00:05] 你们看咱从小到大
[00:00:05 - 00:00:06] 上学的时候有同学
[00:00:06 - 00:00:07] 有室友
[00:00:07 - 00:00:09] 工作里有同事
[00:00:09 - 00:00:10] 有老板
[00:00:10 - 00:00:11] 说不定还有下水泳
[00:00:11 - 00:00:11] 对吧
[00:00:11 - 00:00:13] 社交生活那是无错不在
[00:00:13 - 00:00:15] 但身边也不乏有朋友说
[00:00:15 - 00:00:18] 长大之后的社交似乎变成了一件男人事
[00:00:18 - 00:00:19] 到底怎么个男人玩呢
[00:00:19 - 00:00:21] 比如说苏学里边四个人三个曲
[00:00:21 - 00:00:23] 这个职场老人内卷
[00:00:23 - 00:00:24] 心人难以融入
[00:00:24 - 00:00:26] 出现像抱团现象等等
[00:00:26 - 00:00:28] 网友人也根据此
[00:00:28 - 00:00:29] 脑洞大开
[00:00:29 - 00:00:31] 整出了诸无相成的社交
[00:00:31 - 00:00:32] 我们说牛十三症
[00:00:32 - 00:00:33] 对吧
[00:00:33 - 00:00:34] 这个社交牛杂症
[00:00:34 - 00:00:36] 这个社交冷漠症
[00:00:36 - 00:00:37] 等等一系列网络的新词汇
[00:00:37 - 00:00:39] 来调侃当代人的社交状态
[00:00:39 - 00:00:42] 但是背后确确实实也反映出了大家对于
[00:00:42 - 00:00:44] 到底如何与他人相处
[00:00:44 - 00:00:45] 感动去吃力
[00:00:45 - 00:00:49] 但是我相信人本质都是善意的
[00:00:49 - 00:00:52] 有的人或许本身性格就慢热
[00:00:52 - 00:00:54] 而有的人的抱团则是因为缺乏
[00:00:54 - 00:00:55] 所谓的安全感
[00:00:55 - 00:00:57] 而选择了互相区
[00:00:57 - 00:00:59] 其实无论你属于哪一种
[00:00:59 - 00:01:00] 想找到一个舒适的社交状态
[00:01:00 - 00:01:03] 一定要靠我们自己去卖出第一步
[00:01:03 - 00:01:05] 寻找到合适自己的节奏
[00:01:05 - 00:01:06] 那么为了合群
[00:01:06 - 00:01:08] 你都做过哪些努力的行为呢
[00:01:08 - 00:01:10] 不如在评论区再留下你的故事
[00:01:10 - 00:01:11] 让我们一起分享
[00:01:11 - 00:01:14] 我是尚学习编的更快乐的张史峰老师
[00:01:14 - 00:01:15] 记得点赞 持续关注
