BV号：BV1Y64y127tb
标题：BV1Y64y127tb
链接：https://www.bilibili.com/video/BV1Y64y127tb
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-04 00:18:52

[00:00:00 - 00:00:02] 上国大学在家常考生中都知道
[00:00:02 - 00:00:03] 有学院一个概念
[00:00:03 - 00:00:04] 什么什么学院
[00:00:04 - 00:00:05] 比如当年我在上大学的时候
[00:00:05 - 00:00:06] 我们叫
[00:00:06 - 00:00:08] 郑州大学环境与水利学院
[00:00:08 - 00:00:09] 我们下面四个专业
[00:00:09 - 00:00:10] 但你会发现有的时候
[00:00:10 - 00:00:12] 同一个学院这四个专业
[00:00:12 - 00:00:12] 分
[00:00:12 - 00:00:14] 却不一样
[00:00:14 - 00:00:15] 有的专业分高
[00:00:15 - 00:00:17] 有的专业分低
[00:00:17 - 00:00:18] 你抱一个分低的专业
[00:00:18 - 00:00:20] 你将享受到
[00:00:20 - 00:00:22] 和分高的专业一样的
[00:00:22 - 00:00:23] 教育资源
[00:00:23 - 00:00:23] 大家理解吗
[00:00:23 - 00:00:24] 给你举个例子
[00:00:24 - 00:00:25] 青岛理工大学
[00:00:25 - 00:00:27] 陆曲卫斯最高的专业
[00:00:27 - 00:00:28] 2019年是
[00:00:28 - 00:00:30] 能源与动力工程5万7000位
[00:00:30 - 00:00:32] 而分最低的专业就是刚才我说的
[00:00:32 - 00:00:34] 建筑环境与能源与工程
[00:00:34 - 00:00:36] 路区位置是7万位
[00:00:36 - 00:00:38] 两个专业差了1万3千位
[00:00:38 - 00:00:40] 但是等你看一下这个学院的
[00:00:40 - 00:00:42] 硕士点和博士点的时候
[00:00:42 - 00:00:45] 你会发现7万位的人家有博士点
[00:00:45 - 00:00:46] 你5万位高分上的
[00:00:46 - 00:00:48] 连碰到硕士点都没用
[00:00:48 - 00:00:49] 这就是报考
[00:00:49 - 00:00:50] 这就是对专业和学校的了解
[00:00:50 - 00:00:52] 和不了解造成的差异
