BV号：BV1Yi4y1V7Cx
标题：BV1Yi4y1V7Cx
链接：https://www.bilibili.com/video/BV1Yi4y1V7Cx
识别语言：zh
语言置信度：1
分段数：104
生成时间：2026-04-04 01:50:09

[00:00:00 - 00:00:02] 这是一个教你怎么在高考职员填冒当中
[00:00:02 - 00:00:03] 如何选学校
[00:00:03 - 00:00:05] 如何选专业
[00:00:05 - 00:00:08] 如何报职员不后悔的付费专栏
[00:00:11 - 00:00:13] 你看这个专业的名字就知道
[00:00:13 - 00:00:13] 将来毕业能干嘛了
[00:00:14 - 00:00:15] 那么地址工程行业
[00:00:15 - 00:00:17] 包括像地址幼查
[00:00:17 - 00:00:20] 最主要的就是油气及固体
[00:00:20 - 00:00:21] 矿产资源的一个
[00:00:22 - 00:00:22] 评价
[00:00:23 - 00:00:23] 勘查
[00:00:24 - 00:00:24] 找矿
[00:00:25 - 00:00:26] 包括我们大型
[00:00:26 - 00:00:28] 工矿企业和水利工程的建设
[00:00:29 - 00:00:29] 对吧
[00:00:29 - 00:00:30] 这都需要地址
[00:00:30 - 00:00:31] 比如说现在我建一个三峡电站
[00:00:31 - 00:00:33] 我为什么建在那
[00:00:33 - 00:00:37] 我为什么不往上游再多建几百米
[00:00:37 - 00:00:39] 为什么不往下游再多建几百米
[00:00:39 - 00:00:40] 为什么要在那去建
[00:00:40 - 00:00:42] 这都是经过我们地址看查的
[00:00:42 - 00:00:44] 包括我们公路和铁路建设
[00:00:45 - 00:00:45] 对吧
[00:00:45 - 00:00:47] 也是需要这个
[00:00:47 - 00:00:48] 进行地址看查的
[00:00:48 - 00:00:48] 对吧
[00:00:48 - 00:00:49] 你便火车一过
[00:00:49 - 00:00:50] 对吧
[00:00:50 - 00:00:51] 随到它了
[00:00:51 - 00:00:52] 或者说火车一过
[00:00:52 - 00:00:53] 这个路基不稳
[00:00:53 - 00:00:54] 或怎么样的
[00:00:54 - 00:00:55] 这个就不太好
[00:00:55 - 00:00:55] 对吧
[00:00:55 - 00:00:57] 地址工程水分资源等等
[00:00:57 - 00:01:00] 你会发现它整个工作环境相对比较
[00:01:00 - 00:01:01] 监苦一些
[00:01:01 - 00:01:03] 工作环境相对比较监苦一些
[00:01:03 - 00:01:04] 那么矿业工程
[00:01:04 - 00:01:06] 就涉及到了什么
[00:01:06 - 00:01:09] 就涉及到了我们整个矿产的开发
[00:01:09 - 00:01:11] 涉及到了一个矿产开发企业
[00:01:11 - 00:01:14] 那么原来还有很多小的
[00:01:14 - 00:01:15] 这个煤矿也好
[00:01:15 - 00:01:17] 还是私人矿也好
[00:01:17 - 00:01:20] 但是现在咱们国家对于这种矿产
[00:01:20 - 00:01:22] 资源开发类的
[00:01:22 - 00:01:24] 这个开采权
[00:01:24 - 00:01:26] 包括企业的经营
[00:01:26 - 00:01:28] 国家相对管控的
[00:01:28 - 00:01:29] 相对就严一些
[00:01:29 - 00:01:30] 这也是为了什么呢
[00:01:30 - 00:01:31] 规模化生产
[00:01:31 - 00:01:34] 省得你自己污染环境
[00:01:34 - 00:01:34] 对吧
[00:01:34 - 00:01:37] 然后的话还导致资源浪费
[00:01:37 - 00:01:38] 最重要的是什么
[00:01:38 - 00:01:38] 不安全
