BV号：BV1Yp4y1x7Et
标题：BV1Yp4y1x7Et
链接：https://www.bilibili.com/video/BV1Yp4y1x7Et
识别语言：zh
语言置信度：1
分段数：72
生成时间：2026-04-04 01:03:52

[00:00:00 - 00:00:04] 前一天我發了一個消息說是咱們中國的原來有13大學科門類
[00:00:04 - 00:00:08] 但是現在我們有14大學科門類叫做交叉學科
[00:00:08 - 00:00:12] 那這個所謂考生和家長就問我說張老師這是個好事還是個壞事
[00:00:12 - 00:00:14] 這個我們考生到底該怎麼應對
[00:00:14 - 00:00:16] 咱們今天就來說一說這個事
[00:00:16 - 00:00:22] 其實這是近日國務院學會委員會和教育部印發的一個通知當中來決定的
[00:00:22 - 00:00:25] 說我們決定要設置交叉學科學科門類
[00:00:25 - 00:00:27] 學科門類代碼的代號為14
[00:00:27 - 00:00:31] 那么主要还是因为咱们社会发展的对于高层次的
[00:00:31 - 00:00:34] 创新型、复合型和应用型的人才的需求的破级性
[00:00:34 - 00:00:38] 学科的深度交叉终合就成为了避免趋势
[00:00:38 - 00:00:39] 其实咱们在之前当中
[00:00:39 - 00:00:41] 就很多课程当中也都讲到过
[00:00:41 - 00:00:44] 说很多专业它其实就是它不是一个独立存在的
[00:00:44 - 00:00:45] 知道吧
[00:00:45 - 00:00:47] 就是其实你是抱着这个专业
[00:00:47 - 00:00:48] 但是你在后边的学习过程当中
[00:00:48 - 00:00:52] 研究过程当中也会牵扯到很多其他的交叉学科的内容
[00:00:52 - 00:00:56] 那么像这一次最先纳入的第14个学科门类
[00:00:56 - 00:00:57] 它主要有两个一一学科
[00:00:57 - 00:01:00] 一个叫做集成电路科学与工程
[00:01:00 - 00:01:03] 另外一个叫做国家安全区
[00:01:03 - 00:01:05] 特别是集成电路科学与工程
[00:01:05 - 00:01:08] 它的学科教杀性是非常非常强的
[00:01:08 - 00:01:09] 也涉及到了很多的专业
[00:01:09 - 00:01:12] 实际上集成电路它是我们电子专业
[00:01:12 - 00:01:14] 下边的一个二级学科
[00:01:14 - 00:01:16] 它是一个独立的本科专业
[00:01:16 - 00:01:17] 但实际上大家你要知道
[00:01:17 - 00:01:19] 如果你要生产一个电子产品的话
[00:01:19 - 00:01:21] 或者说你要生产一个芯片的话
[00:01:21 - 00:01:24] 它中间所涉及到的内容是非常非常多的
[00:01:24 - 00:01:26] 比如说你像正常的我们的电子进程电路
[00:01:26 - 00:01:27] 对吧
[00:01:27 - 00:01:28] 比如说我们的通信信息
[00:01:28 - 00:01:30] 因为一般情况下都是像手机
[00:01:30 - 00:01:31] 包括像电脑这样的话
[00:01:31 - 00:01:32] 它有一个芯片
[00:01:32 - 00:01:34] 这也是我们最近两年
[00:01:34 - 00:01:39] 因为有些国家对我们国家的一些企业实施芯片的封锁
[00:01:39 - 00:01:39] 对吧
[00:01:39 - 00:01:41] 也导致我们也发现
[00:01:41 - 00:01:42] 就是芯片这个东西太重要了
[00:01:42 - 00:01:44] 我们要专门设计一个专业
[00:01:44 - 00:01:46] 能够把芯片这个东西给研究出来
[00:01:46 - 00:01:50] 但是你不要以为它只是电子和通信的一个交叉学科
[00:01:50 - 00:01:51] 它其实还包含什么呢
[00:01:51 - 00:01:53] 比如说它包含计算机软件
[00:01:53 - 00:01:54] 它也包含什麼呢
[00:01:54 - 00:01:55] 材料
[00:01:55 - 00:01:55] 對吧
[00:01:55 - 00:01:56] 你說你一個芯片
[00:01:56 - 00:01:58] 你到底是什麼東西做的
[00:01:58 - 00:01:58] 對吧
[00:01:58 - 00:02:01] 什麼東西做的能使它變得更輕一些
[00:02:01 - 00:02:01] 對吧
[00:02:01 - 00:02:02] 而且的話
[00:02:02 - 00:02:03] 這個東西還有什麼
[00:02:03 - 00:02:05] 有良好的導電性
[00:02:05 - 00:02:07] 中間的還不能有過多的電損號
[00:02:07 - 00:02:09] 那這個專業就有點像什麼呢
[00:02:09 - 00:02:11] 就像我們所說的那個人工智能
[00:02:11 - 00:02:14] 它其實也是一個交叉學科
[00:02:14 - 00:02:15] 你說人工智能包含什麼專業
[00:02:15 - 00:02:16] 太多了
[00:02:16 - 00:02:16] 對吧
[00:02:16 - 00:02:19] 你像電子信息計算機
[00:02:19 - 00:02:20] 包括像我們說電器
[00:02:20 - 00:02:21] 對吧
[00:02:21 - 00:02:22] 包括像自動化
[00:02:22 - 00:02:26] 包括人工晶能有些方向涉及到机器
[00:02:26 - 00:02:29] 所以说这个就是我们交谈学科所开设的目的
