BV号：BV1ZE411E79s
标题：BV1ZE411E79s
链接：https://www.bilibili.com/video/BV1ZE411E79s
识别语言：zh
语言置信度：1
分段数：231
生成时间：2026-04-04 02:25:49

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 欢迎到这段时间本期的法律学师很好玩
[00:00:04 - 00:00:06] 那么在2019年的12月1号
[00:00:06 - 00:00:08] 浙江有这么一个超市
[00:00:08 - 00:00:10] 人来人往西西扰扰
[00:00:10 - 00:00:13] 大家都在购买的自己想要购买的商品
[00:00:13 - 00:00:16] 结果在超市的结账处出口处
[00:00:16 - 00:00:20] 突然就传上了一声特别刺耳的警报声
[00:00:20 - 00:00:22] 一个老太太买完自己的东西
[00:00:22 - 00:00:24] 结完仗业后出门出不了了
[00:00:24 - 00:00:25] 为什么呢
[00:00:25 - 00:00:26] 警报响了
[00:00:26 - 00:00:28] 说明老太太身上很有可能有了商品
[00:00:28 - 00:00:29] 没有结账
[00:00:29 - 00:00:32] 这个时候超市的相关工作人员就过来了
[00:00:32 - 00:00:35] 说老太太你是不是有什么东西没接着呢
[00:00:35 - 00:00:38] 说得不好听点你这个叫偷东西啊
[00:00:38 - 00:00:41] 老太太说我这么大岁数一个人了我偷你什么呀我
[00:00:41 - 00:00:43] 你不信你翻呢
[00:00:43 - 00:00:46] 结果超市的人就对老太太上下其所
[00:00:46 - 00:00:49] 发现外东确实是没有摸到什么东西
[00:00:49 - 00:00:52] 但是出门老太太还想
[00:00:52 - 00:00:55] 就问她你是不是藏在你这个
[00:00:55 - 00:00:58] 李衣服里边什么位置了
[00:00:58 - 00:01:00] 我要不要找个地方检查一下
[00:01:00 - 00:01:02] 结果老太太悲愤交加
[00:01:02 - 00:01:04] 自己就把裤子给脱了下来
[00:01:04 - 00:01:06] 为了证明自己的清白
[00:01:06 - 00:01:07] 你说一个超市
[00:01:07 - 00:01:10] 他仅仅凭怀疑一个人可能偷了东西
[00:01:10 - 00:01:13] 就有权利把这个人一直扩留在超市
[00:01:13 - 00:01:16] 甚至让他脱衣服脱裤子吗
[00:01:16 - 00:01:18] 这就是我们本期要给大家讲的话题
[00:01:31 - 00:01:31] 大家好
[00:01:31 - 00:01:33] 我是阿尔西编的更快乐的张雪峰老师
[00:01:33 - 00:01:35] 欢迎大家收看本期的法律其实很好玩
[00:01:35 - 00:01:38] 我们本期勤劳的嘉宾依然是我们研途教育的
[00:01:38 - 00:01:40] 千月老师我们的颜雅贤老师
[00:01:40 - 00:01:41] 袁老师跟大家打个招呼
[00:01:41 - 00:01:42] 嗨 大家好
[00:01:42 - 00:01:47] 袁老师像这种超市经常去扣留所谓的
[00:01:47 - 00:01:49] 他所怀疑的偷到对象
[00:01:49 - 00:01:52] 这样的事情可能现在在全国真的好像不止
[00:01:52 - 00:01:54] 我们刚才说的这个案子其中一个
[00:01:54 - 00:01:57] 只不过是你把老太太给逼成那样
[00:01:57 - 00:01:59] 确实是挺过分的
[00:01:59 - 00:02:01] 我觉得超市有权力这么做吗
[00:02:01 - 00:02:02] 没有
[00:02:02 - 00:02:03] 还是没有权力的
[00:02:03 - 00:02:03] 是吧
[00:02:03 - 00:02:05] 即使是说我怀疑你
[00:02:05 - 00:02:07] 所谓的透露东西也没有权力这样做
[00:02:07 - 00:02:09] 我们国家的宪法啊
[00:02:09 - 00:02:13] 它规定公民的人身权力和住宅权力
[00:02:13 - 00:02:17] 这个不允许受到这种非法的侵犯
[00:02:17 - 00:02:20] 那么你要搜查人身
[00:02:20 - 00:02:22] 要搜查人家的住宅
[00:02:22 - 00:02:25] 这个是要有公安机关的搜查
[00:02:25 - 00:02:26] 这样才可以搜查的
[00:02:26 - 00:02:27] 如果像那些企业
[00:02:27 - 00:02:30] 有的时候公安局可能就可以搜查
[00:02:30 - 00:02:31] 但是人身
[00:02:31 - 00:02:33] 普通人是没有任何资格来搜查的
[00:02:33 - 00:02:35] 必须履行法定的程序
[00:02:35 - 00:02:38] 然后由我们的司法工作人员才可以搜查
[00:02:38 - 00:02:41] 他刚刚那个案子就说他们开始其实
[00:02:41 - 00:02:42] 老太太的外兜
[00:02:42 - 00:02:43] 老太太的上义的地方
[00:02:43 - 00:02:45] 他们已经轻轻上手搜过了
[00:02:45 - 00:02:47] 搜过了什么都没搜出来
[00:02:47 - 00:02:48] 老太太说你看什么都没有
[00:02:48 - 00:02:49] 他们就说人家说
[00:02:49 - 00:02:51] 那你可能藏在你裤子里面了
