BV号：BV1ZW411j7gi
标题：BV1ZW411j7gi
链接：https://www.bilibili.com/video/BV1ZW411j7gi
识别语言：zh
语言置信度：1
分段数：115
生成时间：2026-04-04 11:39:29

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:22] 大家好
[00:00:22 - 00:00:24] 我就上学习变得更快乐的张雪峰老师
[00:00:24 - 00:00:26] 那么新年一年的又到了
[00:00:26 - 00:00:27] 不知道大家放假回家以后
[00:00:27 - 00:00:28] 走亲
[00:00:28 - 00:00:29] 朋友的时候
[00:00:29 - 00:00:31] 有没有被七大姑八大姨拉着问一问
[00:00:31 - 00:00:32] 成绩怎么样
[00:00:32 - 00:00:33] 一个月剩多少钱
[00:00:33 - 00:00:34] 有没有对象
[00:00:34 - 00:00:36] 可能每当这个时候你都很心酸
[00:00:36 - 00:00:37] 但是不管怎么样
[00:00:37 - 00:00:38] 在新年年里
[00:00:38 - 00:00:40] 张老师都祝大家新年快乐
[00:00:40 - 00:00:42] 新年里面能够学习进步
[00:00:42 - 00:00:43] 工作顺利
[00:00:43 - 00:00:44] 平平安安
[00:00:44 - 00:00:45] 今年的考试成绩
[00:00:45 - 00:00:46] 出来的是比较少
[00:00:46 - 00:00:47] 2月3号就出来了
[00:00:48 - 00:00:51] 那么说实话有的同学是一点没有防备
[00:00:51 - 00:00:52] 就受到了完美的打击
[00:00:52 - 00:00:54] 那同时还有的同学呢
[00:00:54 - 00:00:55] 他没想到自己考这么好
[00:00:55 - 00:00:56] 幸福来得太突然
[00:00:56 - 00:00:58] 差一点都没有做好迎接的准备
[00:00:58 - 00:01:00] 这就是所谓的成绩出来以后
[00:01:00 - 00:01:02] 几家欢喜几家仇
[00:01:02 - 00:01:03] 不过考得好的同学
[00:01:03 - 00:01:04] 你别高兴的太早
[00:01:04 - 00:01:05] 因为考一还有复试
[00:01:05 - 00:01:08] 复试也是很关键很重要的
[00:01:08 - 00:01:09] 你得早做准备
[00:01:09 - 00:01:10] 考得不好的同学
[00:01:10 - 00:01:11] 你也不要气内
[00:01:11 - 00:01:13] 咱们该调节的调节
[00:01:13 - 00:01:14] 该二战的二战
[00:01:14 - 00:01:14] 对不对
[00:01:14 - 00:01:15] 你要考什么教师
[00:01:15 - 00:01:16] 要公务员的话
[00:01:16 - 00:01:19] 还是找工作,咱们都得行动起来啊
[00:01:19 - 00:01:21] 那假期可不能懈怠
[00:01:21 - 00:01:22] 总得给自己找点事来做
[00:01:22 - 00:01:25] 该学习的还是要学习的
[00:01:27 - 00:01:28] 我也跟大家一样
[00:01:28 - 00:01:30] 忙了一年都没怎么休息
[00:01:30 - 00:01:31] 过年也没敢闲着
[00:01:31 - 00:01:33] 还得继续学习
[00:01:33 - 00:01:35] 我是为了能够继续发挥个的幽默感
[00:01:35 - 00:01:37] 想在接下来讲课的时候
[00:01:37 - 00:01:39] 给大家呈现更多知识的同时
[00:01:39 - 00:01:40] 结合更多不同的段子
[00:01:40 - 00:01:42] 让你们觉得听落的课
[00:01:42 - 00:01:43] 不但能学到知识
[00:01:43 - 00:01:45] 还能赶上我独特的魅力
[00:01:45 - 00:01:46] 我也在不停的学习
[00:01:46 - 00:01:47] 閱讀大量的書籍
[00:01:47 - 00:01:48] 豐富我的知識
[00:01:48 - 00:01:49] 這樣的話
[00:01:49 - 00:01:50] 我才能在講課的時候
[00:01:50 - 00:01:52] 有更多的乾貨內容給你們
[00:01:52 - 00:01:54] 還要貼近你們的生活
[00:01:54 - 00:01:55] 了解你們的喜好
[00:01:55 - 00:01:56] 蓋得頭你們的笑點
[00:01:56 - 00:01:58] 我天天也得在最右上
[00:01:58 - 00:01:59] 去刷各種搞笑視頻
[00:01:59 - 00:02:01] 看各種神回復
[00:02:01 - 00:02:01] 為了什麼
[00:02:01 - 00:02:02] 為了就是
[00:02:02 - 00:02:04] 生活惡的幽默感
[00:02:04 - 00:02:06] 投你你們的歡心
[00:02:06 - 00:02:06] 天天這樣
[00:02:06 - 00:02:08] 我也是用心良苦
[00:02:13 - 00:02:13] 新的一年
[00:02:13 - 00:02:16] 每個人都應該給自己定一個目標
[00:02:16 - 00:02:18] 有些人可能去年的目標就沒有完成
[00:02:18 - 00:02:19] 那么今年咱们继续努力
[00:02:19 - 00:02:21] 有些人可能去年目标完成了
[00:02:21 - 00:02:24] 那么今年要给自己定一个新的目标
[00:02:24 - 00:02:27] 那么不管这个目标是你想努力考上名校的研究生
[00:02:27 - 00:02:29] 还是说像一笔自己的存款
[00:02:29 - 00:02:30] 还是说时间那么大
[00:02:30 - 00:02:32] 你想来一场说走就走的旅行
[00:02:32 - 00:02:35] 我觉得都可以给自己定一个小方向
[00:02:35 - 00:02:37] 咱们朝着这个方向不断前行
[00:02:37 - 00:02:40] 每天都比昨天要进步一点点
[00:02:40 - 00:02:43] 这本身就是一件很有意义的事情
[00:02:43 - 00:02:43] 就像最后
[00:02:43 - 00:02:46] 新的一年为了给大家带来新的欢乐
[00:02:46 - 00:02:47] 最近刚上线了一个
[00:02:47 - 00:02:49] 新年占卜的功能
[00:02:49 - 00:02:51] 点击屏幕右下方的占卜水晶球
[00:02:51 - 00:02:53] 咱们就可以开始疯狂占卜模式
[00:02:53 - 00:02:55] 什么问题你都可以问
[00:02:55 - 00:02:56] 他给出的答案
[00:02:56 - 00:03:00] 也是相当有意思的
[00:03:00 - 00:03:02] 最后为了感谢大家最最有的喜爱
[00:03:02 - 00:03:04] 和对我张老师本人的支持
[00:03:04 - 00:03:06] 我们将会在观看本视频的小伙伴当中
[00:03:06 - 00:03:08] 抽取几位幸运的朋友
[00:03:08 - 00:03:10] 送出我们最有全心的玩偶
[00:03:10 - 00:03:13] 幸运的朋友还能获得张老师给你准备的
[00:03:13 - 00:03:14] 神秘小礼物
[00:03:14 - 00:03:15] 狗年快到了
