BV号：BV1Zt411w7vC
标题：BV1Zt411w7vC
链接：https://www.bilibili.com/video/BV1Zt411w7vC
识别语言：zh
语言置信度：1
分段数：330
生成时间：2026-04-04 07:29:27

[00:00:00 - 00:00:03] 大家好,我是让学习变得更快乐的张雪峰老师
[00:00:03 - 00:00:05] 那么在有一个小区里啊
[00:00:05 - 00:00:07] 有这么一个小孩,15岁的白猛
[00:00:07 - 00:00:09] 他看到了6岁的蛋蛋
[00:00:09 - 00:00:10] 他的爸爸呢
[00:00:10 - 00:00:12] 经常开着名车
[00:00:12 - 00:00:13] 这个身上的衣服呢
[00:00:13 - 00:00:14] 也都是名牌
[00:00:14 - 00:00:17] 他就觉得这个蛋蛋的爸爸一定会很有钱
[00:00:17 - 00:00:18] 这个15岁的白猛呢
[00:00:18 - 00:00:21] 有一天就绑架了这个6岁的蛋蛋
[00:00:21 - 00:00:23] 但是在绑架蛋蛋以后呢
[00:00:23 - 00:00:24] 蛋蛋突然说了一句话
[00:00:24 - 00:00:25] 他说
[00:00:25 - 00:00:26] 我认识你
[00:00:26 - 00:00:28] 你就在我们小区里边住
[00:00:28 - 00:00:30] 白猛听到这个话就特别害怕
[00:00:30 - 00:00:33] 他怕就算是要到了所谓的赎金
[00:00:33 - 00:00:35] 这个蛋蛋也会把它给认出来
[00:00:35 - 00:00:36] 把它给继续给抓起来
[00:00:36 - 00:00:40] 这个白猛就非常残忍的把这个蛋蛋给杀害了
[00:00:40 - 00:00:42] 那么本案的问题在于哪里呢
[00:00:42 - 00:00:43] 就是我国刑法规定
[00:00:43 - 00:00:46] 未满16周岁的犯罪嫌疑人
[00:00:46 - 00:00:49] 只对8种刑事犯罪负刑事责任
[00:00:49 - 00:00:52] 而在绑架过程当中杀人的行为
[00:00:52 - 00:00:55] 在认罪的时候认定为绑架罪
[00:00:55 - 00:00:58] 绑架罪并不在未满16周岁的时候
[00:00:58 - 00:00:59] 负责刑事的责任当中
[00:00:59 - 00:01:01] 八种罪名其功之一
[00:01:01 - 00:01:03] 那么到底公安机关和法院
[00:01:03 - 00:01:07] 能不能去将这个白某绳之一法呢
[00:01:07 - 00:01:09] 这就是我们本期要讨论的话题
[00:01:17 - 00:01:18] 大家好
[00:01:18 - 00:01:20] 我是让学习变得更快乐的张雪峰
[00:01:20 - 00:01:20] 老师
[00:01:20 - 00:01:22] 欢迎大家收看本期的法律其实很好玩
[00:01:22 - 00:01:24] 我们本期请的我嘉宾的依然是我们的
[00:01:24 - 00:01:26] 沿途教育的谦约老师
[00:01:26 - 00:01:27] 我们的法律专家
[00:01:27 - 00:01:28] 我们的延安侠老师
[00:01:28 - 00:01:29] 杨老师跟大家打招呼
[00:01:29 - 00:01:30] 嗨
[00:01:30 - 00:01:30] 大家好
[00:01:30 - 00:01:31] 杨老师
[00:01:31 - 00:01:34] 你看这个案子也确实是
[00:01:34 - 00:01:36] 他在绑架中杀人
[00:01:36 - 00:01:40] 然后的话我们刑法规定说绑架当中杀人定绑架罪
[00:01:40 - 00:01:41] 不定杀人罪
[00:01:41 - 00:01:43] 但是绑架罪又不再说
[00:01:43 - 00:01:45] 未满16周岁处罚的那种罚组刑法底下
[00:01:45 - 00:01:47] 那这个案子到底该怎么弄啊
[00:01:47 - 00:01:48] 好的
[00:01:48 - 00:01:49] 我先给你普个法
[00:01:49 - 00:01:51] 就是我们国家刑法的第17条
[00:01:52 - 00:01:55] 他对这个未成年人的刑事责任有一个规定
[00:01:55 - 00:01:57] 就是补满14周岁的
[00:01:57 - 00:01:59] 那么对各种行为哪怕你是杀人放火
[00:01:59 - 00:02:00] 都不成的刑事责任
[00:02:00 - 00:02:01] 然后呢
[00:02:01 - 00:02:02] 满了16周岁的
[00:02:03 - 00:02:04] 对所有的犯罪行为
[00:02:05 - 00:02:05] 都要负责
[00:02:05 - 00:02:08] 哪怕你是个交通照 十四个过失犯罪全都负责
[00:02:08 - 00:02:09] 然后中间假的
[00:02:09 - 00:02:10] 十四岁和十五岁
[00:02:10 - 00:02:12] 就是以满十四不满十六
[00:02:12 - 00:02:14] 十四和十五这两年
[00:02:14 - 00:02:15] 是对八个犯罪负责
[00:02:15 - 00:02:17] 那么法材是这么规定的
[00:02:17 - 00:02:20] 以满十四周岁不满十六周岁的人犯
[00:02:20 - 00:02:21] 故意杀人
[00:02:21 - 00:02:23] 故意伤害之人重伤或者死亡
[00:02:23 - 00:02:25] 故意伤害要到重伤或者死亡
[00:02:25 - 00:02:27] 强奸
[00:02:27 - 00:02:28] 抢劫
[00:02:28 - 00:02:31] 贩卖毒品放火爆炸投毒罪的
[00:02:31 - 00:02:32] 应当服刑是责任
[00:02:32 - 00:02:34] 我们把这个叫八种重罪
[00:02:34 - 00:02:37] 就是特别常见的这个八个重罪
[00:02:37 - 00:02:39] 那么这里面当时是没有绑架
[00:02:39 - 00:02:40] 没有绑架
[00:02:40 - 00:02:41] 那么后来呢
[00:02:41 - 00:02:43] 在这个是97年刑法规定了
[00:02:43 - 00:02:46] 1997年规定了没多久
[00:02:46 - 00:02:48] 有一个地方就发生了咱们刚才说的这个案子
[00:02:48 - 00:02:50] 就这个蛋蛋的就被杀了
[00:02:50 - 00:02:52] 那么报到公安以后
[00:02:52 - 00:02:55] 公安机关看了半天说
[00:02:55 - 00:02:56] 这不是应该定绑架吗
[00:02:56 - 00:02:58] 可是绑架不在八个里头啊
[00:02:58 - 00:03:00] 他就把人放了
[00:03:00 - 00:03:01] 放了
[00:03:01 - 00:03:02] 放了
[00:03:02 - 00:03:03] 他理由说
[00:03:03 - 00:03:04] 我也想定他
[00:03:04 - 00:03:06] 可是绑架不在那个里面呀
[00:03:06 - 00:03:08] 罪行法定呀你叫我怎么定
[00:03:08 - 00:03:09] 这个当时呢是
[00:03:09 - 00:03:11] 这个不合理啊这个
[00:03:11 - 00:03:12] 对呀
[00:03:12 - 00:03:14] 当时有好几年的时间
[00:03:14 - 00:03:15] 97年啊
[00:03:15 - 00:03:17] 后来好几年很多地方
[00:03:18 - 00:03:19] 陆陆继续发生过这样的事
[00:03:19 - 00:03:20] 对对对
[00:03:20 - 00:03:23] 一直是随着后来应该是02年前后啊
[00:03:23 - 00:03:26] 这个最高人民检察院全国人大常委会
[00:03:26 - 00:03:29] 都相继出了那个意见
[00:03:29 - 00:03:31] 就说对这种情况怎么处理
[00:03:31 - 00:03:31] 那么后来呢
[00:03:31 - 00:03:34] 有一个相对来讲比较合理的做法了
[00:03:34 - 00:03:35] 现在是怎么做呢
[00:03:35 - 00:03:37] 就说你想啊
[00:03:37 - 00:03:40] 他那个15岁的白猛是不是有一个绑架行为
[00:03:40 - 00:03:40] 对对对
[00:03:40 - 00:03:41] 是不是还有一个杀人行为
[00:03:41 - 00:03:42] 对对对
[00:03:42 - 00:03:43] 那么现在我们怎么办呢
[00:03:43 - 00:03:45] 把绑架的部分不要了
[00:03:45 - 00:03:48] 就光把杀人的部分拿出来
[00:03:48 - 00:03:50] 那么杀人的部分在不在巴众那边
[00:03:50 - 00:03:51] 在
[00:03:51 - 00:03:51] 那么这样呢
