BV号：BV1Zt421L7iY
标题：BV1Zt421L7iY
链接：https://www.bilibili.com/video/BV1Zt421L7iY
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 11:27:38

[00:00:00 - 00:00:02] 法学是需要什么样的性格特点
[00:00:02 - 00:00:05] 太内向肯定不行
[00:00:06 - 00:00:08] 太内向肯定是不行
[00:00:08 - 00:00:10] 有的人天生适合当律师
[00:00:10 - 00:00:13] 有的人天生就不适合当律师
[00:00:13 - 00:00:14] 有的人天生适合
[00:00:14 - 00:00:15] 有的人天生不适合
[00:00:15 - 00:00:16] 然后另外还有一点是
[00:00:16 - 00:00:18] 就是咱实话实说
[00:00:18 - 00:00:21] 当律师对于外貌是有一定要求的
[00:00:21 - 00:00:23] 实话实说
[00:00:23 - 00:00:24] 如果说你到最后
[00:00:24 - 00:00:27] 就是你觉得你小孩可能就是看起来
[00:00:27 - 00:00:29] 不足以让人相信他的
[00:00:29 - 00:00:31] 专业性其实说实话
[00:00:31 - 00:00:32] 当律师
[00:00:32 - 00:00:35] 这个真的就是有论说
[00:00:35 - 00:00:37] 真的我们看一眼
[00:00:37 - 00:00:38] 基本上就会找
[00:00:38 - 00:00:39] 就会找说
[00:00:39 - 00:00:39] 哎
[00:00:39 - 00:00:40] 这个人他想学这个专业
[00:00:40 - 00:00:42] 这个专业他
[00:00:42 - 00:00:43] 他的整个的
[00:00:43 - 00:00:44] 他的这个能力也好
[00:00:44 - 00:00:45] 资源也好
[00:00:45 - 00:00:46] 性格特点也好
[00:00:46 - 00:00:47] 他适合不适合
[00:00:47 - 00:00:47] 对吧
[00:00:47 - 00:00:49] 那什么样性格适合呢
[00:00:49 - 00:00:50] 会来事
[00:00:50 - 00:00:53] 会来事是绝对适合当律师的
[00:00:53 - 00:00:55] 会来事
[00:00:55 - 00:00:55] 然后的话
[00:00:55 - 00:00:58] 勇于去打破牧生人的边界
[00:00:58 - 00:00:59] 你给他奉到哪
[00:00:59 - 00:01:01] 他都能跟一幫人打成一片
[00:01:01 - 00:01:03] 這種人適合當女生
[00:01:03 - 00:01:04] 所以說這個性格的特點
[00:01:04 - 00:01:05] 有的人是適合
[00:01:05 - 00:01:06] 有的人是不適合的
