BV号：BV1ae411U7m8
标题：BV1ae411U7m8
链接：https://www.bilibili.com/video/BV1ae411U7m8
识别语言：zh
语言置信度：1
分段数：32
生成时间：2026-04-03 12:49:18

[00:00:00 - 00:00:01] 然后物理学
[00:00:01 - 00:00:05] 物理学个人不是那么特别的推荐
[00:00:05 - 00:00:07] 因为理学和工学相比
[00:00:07 - 00:00:09] 理学就业比工学略为有略势
[00:00:09 - 00:00:10] 所以说刚才有一个家长说
[00:00:10 - 00:00:12] 张老师我们的孩子对物理特别感兴趣
[00:00:12 - 00:00:14] 所以对工科特别感兴趣
[00:00:14 - 00:00:16] 他特别希望自己的科研成果
[00:00:16 - 00:00:19] 能够在生活当中去做转化
[00:00:19 - 00:00:21] 能用到我所研究的东西
[00:00:21 - 00:00:23] 那如果你是这个想法的话
[00:00:23 - 00:00:25] 是工学他并不是理学
[00:00:25 - 00:00:27] 理学只是讨论原理
[00:00:27 - 00:00:32] 它并不讨论在实际工业过程发展当中的一个作用
[00:00:32 - 00:00:34] 当然应用物理学往那方面偏一些
[00:00:34 - 00:00:36] 但实际上理学就是理学
[00:00:36 - 00:00:38] 理学是原理性的东西
[00:00:38 - 00:00:39] 工学是把原理性的东西
[00:00:39 - 00:00:41] 把它产品化
[00:00:41 - 00:00:43] 生活场景化的一种应用
[00:00:43 - 00:00:45] 所以说这个专业可以报
[00:00:45 - 00:00:48] 如果说你对物理学有着非常非常浓厚的兴趣
[00:00:48 - 00:00:50] 将来想当一个物理学家
[00:00:50 - 00:00:51] 这个专业可以报
[00:00:51 - 00:00:53] 但如果说你想把你的研究的那种
[00:00:53 - 00:00:55] 转化为生活当中的应用
[00:00:55 - 00:00:56] 那它不如工学更直接
[00:00:56 - 00:00:58] 不是说理学不好
[00:00:58 - 00:00:59] 而是说它
[00:00:59 - 00:01:01] 你要想更贴近于生活
[00:01:01 - 00:01:02] 长景化的应用
[00:01:02 - 00:01:03] 工学会比理学更适合
