BV号：BV1ajWGzYESv
标题：BV1ajWGzYESv
链接：https://www.bilibili.com/video/BV1ajWGzYESv
识别语言：zh
语言置信度：1
分段数：53
生成时间：2026-04-03 03:55:57

[00:00:00 - 00:00:02] 你好 我是遼寧的高三物化手
[00:00:02 - 00:00:04] 是我家孩子的成绩吧
[00:00:04 - 00:00:05] 就是还可以
[00:00:05 - 00:00:07] 在全省排名几次联考的时候
[00:00:07 - 00:00:09] 能排到前一千
[00:00:09 - 00:00:11] 但是我觉得
[00:00:11 - 00:00:12] 可能我们遼寧有一部分
[00:00:12 - 00:00:13] 好的学校没参加
[00:00:13 - 00:00:15] 他可能真正把好租资
[00:00:15 - 00:00:16] 能排在两千左右
[00:00:16 - 00:00:17] 然后现在我什么问题
[00:00:17 - 00:00:19] 我家还想学航空航舔
[00:00:19 - 00:00:21] 然后就是好多家长
[00:00:21 - 00:00:23] 就会跟我说学这些要干嘛
[00:00:23 - 00:00:25] 以后容易设密子那的
[00:00:25 - 00:00:26] 真的会吗
[00:00:26 - 00:00:27] 而且他想学的是
[00:00:27 - 00:00:29] 大气层外的航空舔舔
[00:00:29 - 00:00:30] 那个叫做什么
[00:00:30 - 00:00:32] 那个叫做航天
[00:00:32 - 00:00:34] 它不叫航空
[00:00:34 - 00:00:36] 加长航天和航空是两个事
[00:00:36 - 00:00:38] 航天是雨航
[00:00:38 - 00:00:40] 航天气
[00:00:40 - 00:00:42] 火箭那个叫做航天
[00:00:42 - 00:00:43] 航空是什么
[00:00:43 - 00:00:44] 航空是飞机
[00:00:44 - 00:00:45] 所以说的话
[00:00:45 - 00:00:47] 它是两个不同的东西
[00:00:47 - 00:00:47] 这是第一点
[00:00:47 - 00:00:48] 第二点加长
[00:00:48 - 00:00:50] 它不是说你想学什么学什么
[00:00:50 - 00:00:51] 当然我们要知道
[00:00:51 - 00:00:54] 就是航空航天大学基本上都有
[00:00:54 - 00:00:55] 但是实际上的话就是
[00:00:55 - 00:00:56] 它既有航空又有航天
[00:00:56 - 00:00:58] 比如说你像北航和哈空大
[00:00:58 - 00:01:01] 航空大它是航天为主航空为府
[00:01:01 - 00:01:03] 北航的话是航空航天都有
[00:01:03 - 00:01:05] 那像西空大的话
[00:01:05 - 00:01:07] 它是航空为主航天为主
[00:01:07 - 00:01:10] 南航的话也是航空为主航天为府
[00:01:10 - 00:01:11] 但都有都很好
[00:01:11 - 00:01:12] 这是第2的话
[00:01:12 - 00:01:14] 你说老师他什么设密不设密的这个问题
[00:01:14 - 00:01:16] 加上是这样子
[00:01:16 - 00:01:18] 你可以设密也可以不设密
[00:01:18 - 00:01:19] 有的时候你想设密
[00:01:19 - 00:01:21] 人家不一定让你设密
[00:01:21 - 00:01:23] 有的时候你就是这样
[00:01:23 - 00:01:24] 你不想设密
[00:01:24 - 00:01:25] 人家一定不会让你设密
[00:01:25 - 00:01:25] 你放心
