BV号：BV1b44y1w7Eo
标题：BV1b44y1w7Eo
链接：https://www.bilibili.com/video/BV1b44y1w7Eo
识别语言：zh
语言置信度：1
分段数：138
生成时间：2026-04-03 14:10:23

[00:00:00 - 00:00:02] 互联往失踪人口,已经做好了回归的准备
[00:00:02 - 00:00:04] 两个月没有直播了
[00:00:04 - 00:00:07] 中间大家也知道整个6月份7月份对吧
[00:00:07 - 00:00:10] 我呢就一直处于一个很火的状态是吧
[00:00:10 - 00:00:11] 哈哈哈哈
[00:00:11 - 00:00:13] 我都不知道为什么我六七月份我干点什么
[00:00:13 - 00:00:15] 都要上热搜各种各样的热搜
[00:00:15 - 00:00:18] 然后的话呢6月份7月份
[00:00:18 - 00:00:20] 有很多很多关于我的传闻
[00:00:20 - 00:00:21] 说句不好听的话
[00:00:21 - 00:00:23] 大家都是吃流量这口饭的
[00:00:23 - 00:00:24] 我也知道啊
[00:00:24 - 00:00:27] 在那个阶段你不管是夸我的骂我的啊
[00:00:27 - 00:00:28] 你都是有流量的对吧
[00:00:28 - 00:00:32] 很理解大家为了增加点自己的流量
[00:00:32 - 00:00:35] 然后的话把我架到火上烤
[00:00:35 - 00:00:35] 是吧
[00:00:35 - 00:00:37] 我们现在已经所谓的
[00:00:37 - 00:00:38] 互联网10尊中口的回归
[00:00:38 - 00:00:41] 然后的话总结一下这六七月份
[00:00:41 - 00:00:43] 过去的这段时间
[00:00:43 - 00:00:44] 网上关于我各种各样的传闻
[00:00:44 - 00:00:45] 首先第一
[00:00:45 - 00:00:47] 有人给我扣10分的
[00:00:47 - 00:00:50] 说有一些大学有一些专业
[00:00:50 - 00:00:52] 说今年招到生了
[00:00:52 - 00:00:53] 吹一身纹
[00:00:53 - 00:00:55] 我是做这个行当的
[00:00:55 - 00:00:58] 哪一个学校哪一个专业
[00:00:58 - 00:00:59] 出现在争集支援
[00:00:59 - 00:01:00] 大家不看
[00:01:00 - 00:01:02] 你以为我不看吗
[00:01:02 - 00:01:03] 你要再这么造谣的话
[00:01:03 - 00:01:04] 我可要举报你了
[00:01:04 - 00:01:05] 知道吧
[00:01:05 - 00:01:06] 所以说你别在网上
[00:01:06 - 00:01:07] 在这说
[00:01:07 - 00:01:08] 张学坊拉低了
[00:01:08 - 00:01:09] 您的专业的分数线
[00:01:09 - 00:01:12] 你怎么就觉得那是我干的
[00:01:12 - 00:01:14] 我有什么权利去左右
[00:01:14 - 00:01:16] 所有人去报什么专业
[00:01:16 - 00:01:17] 你开什么玩笑
[00:01:17 - 00:01:18] 这个我不认
[00:01:18 - 00:01:20] 这个我不认
[00:01:20 - 00:01:21] 然后其次
[00:01:21 - 00:01:23] 张老师什么产品都下架了
[00:01:23 - 00:01:26] 我们本身六七月份也不招生
[00:01:26 - 00:01:26] 不招生以后
[00:01:26 - 00:01:30] 我们要把所有的精力都放在我们的学员服务身上
[00:01:30 - 00:01:32] 我们不会像其他机构说
[00:01:32 - 00:01:33] 6月份你还在忙招生
[00:01:33 - 00:01:35] 我们6月份本身是不招生的
[00:01:35 - 00:01:37] 所以说的话什么说啊
[00:01:37 - 00:01:39] 说说张云峰怎么怎么递了
[00:01:39 - 00:01:40] 被怎么怎么样了
[00:01:40 - 00:01:41] 然后的话产品都下架了
[00:01:41 - 00:01:43] 更没关系
[00:01:43 - 00:01:45] 还有就是这个
[00:01:45 - 00:01:47] 真正那帮做自媒体的
[00:01:47 - 00:01:47] 掐头去尾
[00:01:47 - 00:01:50] 真的真的很厉害
[00:01:50 - 00:01:53] 我给大家回顾一下那个590那个事
[00:01:53 - 00:01:54] 590报新闻学那个事
[00:01:54 - 00:01:55] 我给大家回顾一下
[00:01:55 - 00:01:57] 所有的媒体的报道这个事情的时候
[00:01:57 - 00:01:59] 所有的人在说这个事情的时候
[00:01:59 - 00:02:02] 只说590张学峰帮他学新闻
[00:02:02 - 00:02:04] 但是你们所有的人
[00:02:04 - 00:02:09] 就所有的媒体互联网上全都没有把那个事完整的呈现出来
[00:02:09 - 00:02:10] 我今天
[00:02:10 - 00:02:11] 互联网
[00:02:12 - 00:02:15] 这个社工人口的回归我把那个事完整的呈现出来
[00:02:15 - 00:02:19] 我希望我呈现这一段的时候不要再有掐头去尾这个现象
[00:02:20 - 00:02:23] 首先第一那个孩子是去年问的我
[00:02:23 - 00:02:27] 就是相当于他是今年2023届考试的这一届
[00:02:27 - 00:02:28] 他当时问我的时候的话呢
[00:02:28 - 00:02:32] 我得按照去年的情况来给他做对比
[00:02:32 - 00:02:34] 大家知道那个孩子590是哪的吗
[00:02:34 - 00:02:35] 590有没有看过那一段
[00:02:35 - 00:02:37] 我们直播间都有人知道
[00:02:37 - 00:02:38] 那个是新疆的
[00:02:38 - 00:02:40] 但是所有的媒体
[00:02:40 - 00:02:42] 所有的博主在说这个事的时候
[00:02:42 - 00:02:45] 没有一个人说这个人是新疆的
[00:02:45 - 00:02:47] 因为同样是590分
[00:02:47 - 00:02:50] 在不同省分的概念和意义是不一样的
[00:02:50 - 00:02:53] 多的人都说他是509,我不让他学新闻
[00:02:53 - 00:02:57] 但是没有一家说,这个是新疆的509
[00:02:57 - 00:02:59] 没有一个人在说这个事儿
[00:03:02 - 00:03:04] 没有一个人在说,没有一家没
[00:03:04 - 00:03:06] 没有一个人在说这个事情
[00:03:09 - 00:03:10] 你看我们很多网友都知道
[00:03:10 - 00:03:12] 那个509是新疆的
[00:03:12 - 00:03:15] 然后他说我要上某985高校新闻学
[00:03:15 - 00:03:17] 你让他去那个985学新闻学
[00:03:17 - 00:03:20] 李科生数学搞130
[00:03:20 - 00:03:22] 你能简单的把他定义为说
[00:03:22 - 00:03:23] 我不让他学新闻学
[00:03:23 - 00:03:27] 所以说真的这个掐头去尾断章取义
[00:03:27 - 00:03:30] 我真的是我真的是服了这帮搞流量的
[00:03:30 - 00:03:32] 我真的是服了这帮搞流量
[00:03:32 - 00:03:35] 就掐头去尾把前面的所有的条件
[00:03:35 - 00:03:36] 全都给去掉了
[00:03:36 - 00:03:38] 理解为张学鸿不见习近平去
[00:03:38 - 00:03:39] 人家都说了说我不能
[00:03:39 - 00:03:42] 我不能所谓的吃新闻传播的饭
[00:03:42 - 00:03:43] 砸新闻传播的碗对吧
[00:03:43 - 00:03:47] 还有一些说人说我去所谓的忽悠或者怎么样
[00:03:47 - 00:03:48] 我们这个是直播
[00:03:48 - 00:03:49] 直播意味着什么
[00:03:49 - 00:03:51] 直播意味着我们直播间里边
[00:03:51 - 00:03:53] 有各行各业的朋友
[00:03:53 - 00:03:57] 如果说我某一个行业说的不是我说的那个样子
[00:03:58 - 00:04:00] 或者说是某一个行业是怎么样子的
[00:04:00 - 00:04:01] 你以为大家傻
