BV号：BV1bJ411G758
标题：BV1bJ411G758
链接：https://www.bilibili.com/video/BV1bJ411G758
识别语言：zh
语言置信度：1
分段数：21
生成时间：2026-04-04 03:35:28

[00:00:00 - 00:00:02] 同学你要知道报复朵班的时候
[00:00:02 - 00:00:04] 同学你这最重要的要看什么
[00:00:04 - 00:00:05] 要看什么
[00:00:05 - 00:00:07] 你们觉得一个报复朵班什么最重要
[00:00:08 - 00:00:09] 同学我觉得老师最重要
[00:00:09 - 00:00:10] 你觉得对吗
[00:00:10 - 00:00:12] 老师好才是
[00:00:12 - 00:00:13] 真的好
[00:00:13 - 00:00:13] 对不对
[00:00:13 - 00:00:14] 什么叫好老师
[00:00:14 - 00:00:15] 看这里看这里
[00:00:16 - 00:00:17] 这不觉得好老师吗
[00:00:18 - 00:00:19] 一个特别内向的人
[00:00:20 - 00:00:21] 硬生生的被你们逼成的这样
[00:00:21 - 00:00:22] 对吧
[00:00:22 - 00:00:24] 这个我跟你说没办法同学
[00:00:24 - 00:00:25] 咱们老师都是这样
[00:00:25 - 00:00:27] 我们都希望大家在我们的课堂上
[00:00:27 - 00:00:28] 又很开心
[00:00:28 - 00:00:30] 又能学到考研的知识
[00:00:30 - 00:00:30] 对不对
