BV号：BV1bR4y177Xz
标题：BV1bR4y177Xz
链接：https://www.bilibili.com/video/BV1bR4y177Xz
识别语言：zh
语言置信度：1
分段数：80
生成时间：2026-04-03 20:29:56

[00:00:00 - 00:00:02] 来我们再讲讲志愿改是怎么改的
[00:00:02 - 00:00:03] 志愿改是怎么改的呢
[00:00:03 - 00:00:05] 我们先讲老高考
[00:00:05 - 00:00:07] 因为所有新高考省份都是从老高考改过去的
[00:00:07 - 00:00:10] 那么像很多省份现在还是找高考
[00:00:10 - 00:00:12] 到今天为止已经有14个省份
[00:00:12 - 00:00:15] 已经完成了新高考的改革
[00:00:15 - 00:00:24] 就比如说浙江上海啊北京天津海南山东遼宁河北江苏湖南湖北福建重庆广东
[00:00:24 - 00:00:27] 这14个省份已经完成了新高考的改革
[00:00:27 - 00:00:29] 剩下的省份目前还是老高考
[00:00:29 - 00:00:30] 目前还是老高考
[00:00:30 - 00:00:32] 那老高考是怎么报支援的呢
[00:00:32 - 00:00:34] 他有一个东西叫做服从条计
[00:00:34 - 00:00:36] 新高考院校专业组的话
[00:00:36 - 00:00:38] 他也有一个东西叫服从条计
[00:00:38 - 00:00:39] 大家注意
[00:00:39 - 00:00:42] 我们服从条计是这个东西是必须要填的
[00:00:42 - 00:00:44] 大家注意
[00:00:44 - 00:00:46] 必须填服从条计
[00:00:46 - 00:00:47] 必须填服从条计
[00:00:47 - 00:00:50] 必须填服从条计
[00:00:50 - 00:00:52] 我们把必须填打在公平上
[00:00:52 - 00:00:55] 如果你是老高考和院生专业组
[00:00:55 - 00:00:57] 必须填服从条计
[00:00:57 - 00:00:58] 这个事非常重要
[00:00:58 - 00:01:01] 因为如果你不贴服从条计的话
[00:01:01 - 00:01:03] 很有可能孩子就要滑档
[00:01:03 - 00:01:05] 比如说给大家举一个例子
[00:01:05 - 00:01:06] 张老师
[00:01:06 - 00:01:09] 我这个学校入学分数线是600分
[00:01:09 - 00:01:10] 我们家还得考了多少分
[00:01:10 - 00:01:11] 我们家还得考了602
[00:01:11 - 00:01:13] 那么你报了这个学校
[00:01:13 - 00:01:15] 你602你就会进党
[00:01:15 - 00:01:16] 你前面的学校都没入
[00:01:16 - 00:01:18] 到了这个学校你600分
[00:01:18 - 00:01:19] 这个学校进党先600分
[00:01:19 - 00:01:21] 你602分你就会进党
[00:01:21 - 00:01:22] 那这个时候的话
[00:01:22 - 00:01:23] 你就说开始怎么样
[00:01:23 - 00:01:25] 就开始天专业了对吧
[00:01:25 - 00:01:25] 开始天专业了
[00:01:25 - 00:01:27] 那天的你肯定会想
[00:01:27 - 00:01:29] 老师我听这个学校什么专业比较好啊
[00:01:29 - 00:01:30] 我就听什么
[00:01:30 - 00:01:32] 我还得想学什么专业啊
[00:01:32 - 00:01:32] 我就听什么
[00:01:32 - 00:01:33] 但问题在于什么
[00:01:33 - 00:01:35] 大家还记得我刚才给你讲
[00:01:35 - 00:01:37] 我说一道给孩子留好什么
[00:01:37 - 00:01:40] 暴专给孩子留好专业空间
[00:01:40 - 00:01:42] 给孩子留好专业空间
[00:01:42 - 00:01:43] 专业空间对不对
[00:01:43 - 00:01:44] 结果你暴专的时候发现
[00:01:44 - 00:01:46] 第一个专业你报了一个专业叫计算机
[00:01:46 - 00:01:47] 人家多少分路的
[00:01:47 - 00:01:48] 人615路的
[00:01:48 - 00:01:50] 第二个专业你报了什么金融
[00:01:50 - 00:01:50] 人多少分路的
[00:01:50 - 00:01:52] 人613路的
[00:01:52 - 00:01:54] 第三个专业你报了一个人610路的
[00:01:54 - 00:01:56] 第四个专业你报了一个人680路的
[00:01:56 - 00:01:58] 第五专业你报了一个人605路的
[00:01:58 - 00:02:00] 第六专业你报了一个专业人603路的
[00:02:01 - 00:02:02] 你们家还得报六专业
[00:02:02 - 00:02:04] 这六专业都没有被录取
[00:02:05 - 00:02:06] 都没有被录取
[00:02:06 - 00:02:08] 如果说你贴了服从条计
[00:02:08 - 00:02:10] 他就给你调计到别的专业去
[00:02:11 - 00:02:13] 如果说你贴了不服从条计
[00:02:13 - 00:02:14] 不好意思
[00:02:15 - 00:02:15] 退党
[00:02:16 - 00:02:17] 你说张老师
[00:02:17 - 00:02:19] 那第二个学校会再次投党吗
[00:02:19 - 00:02:20] 不会
[00:02:23 - 00:02:25] 你退党就不再投党
[00:02:27 - 00:02:29] 投党机会只有一次
[00:02:29 - 00:02:40] 投档机会只有一次,你一旦进党了,要么被入取,要么被退党,没有第二次投档机会了。
[00:02:41 - 00:02:48] 你在投档的时候就到什么时候?就到征集职员的时候喽,就到征集职员的时候啦。
[00:02:48 - 00:02:53] 所以说大家一定要注意,必须添浮空交集。
