BV号：BV1bW411u77J
标题：BV1bW411u77J
链接：https://www.bilibili.com/video/BV1bW411u77J
识别语言：zh
语言置信度：1
分段数：262
生成时间：2026-04-04 11:20:36

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:20 - 00:00:21] 大家好
[00:00:21 - 00:00:23] 我是让学习变得更快乐的张雪峰老师
[00:00:23 - 00:00:26] 欢迎大家来到我们今天的张老师课堂
[00:00:26 - 00:00:27] 谢谢问大家一个问题
[00:00:27 - 00:00:29] 比如说我现在猪我手里边是一个小鲸鱼
[00:00:29 - 00:00:30] 我掐死它
[00:00:30 - 00:00:31] 是否犯法
[00:00:32 - 00:00:32] 对吧
[00:00:32 - 00:00:33] 有的人可能说犯法
[00:00:33 - 00:00:34] 有的人可能说不犯法
[00:00:34 - 00:00:34] 对吧
[00:00:34 - 00:00:36] 要看看一个鲸鱼市国家紧急保护动物
[00:00:36 - 00:00:37] 到底判几年
[00:00:37 - 00:00:39] 咱们今天就给大家科普一下
[00:00:39 - 00:00:41] 关于法学这个转业
[00:00:41 - 00:00:43] 在考研的时候需要注意的一些问题
[00:00:44 - 00:00:46] 那么法学它是一个一级学科
[00:00:46 - 00:00:48] 在我们本科阶段的招生的本科专业
[00:00:48 - 00:00:50] 就叫做法学两个字
[00:00:50 - 00:00:51] 有的人就问了
[00:00:51 - 00:00:53] 张老师如果本科不是学法律的
[00:00:53 - 00:00:54] 我能不能从事法律相关工作
[00:00:54 - 00:00:56] 这个就是我们今天要讲的一个
[00:00:56 - 00:00:58] 有点小意思的重点的内容了
[00:00:58 - 00:01:01] 法学的研究生是分成三种
[00:01:01 - 00:01:03] 第一种叫做法学硕士
[00:01:03 - 00:01:05] 第二种叫做法律硕士法学
[00:01:05 - 00:01:07] 第三种叫做法律硕士非法学
[00:01:07 - 00:01:09] 两个老师后面那两个都叫法律硕士
[00:01:09 - 00:01:10] 怎么一个叫法学
[00:01:10 - 00:01:11] 一个叫非法学
[00:01:11 - 00:01:13] 这个是跟报考条件有关系的
[00:01:13 - 00:01:14] 如果说各位同学
[00:01:14 - 00:01:16] 你本科就算是學法律的
[00:01:16 - 00:01:18] 你只能到前面兩個專業
[00:01:18 - 00:01:21] 就是法學碩士和法律碩士法學
[00:01:21 - 00:01:24] 如果說你本科不是學法律的
[00:01:24 - 00:01:26] 這三個專業你都可以考
[00:01:26 - 00:01:28] 但你需要注意的是什麼呢
[00:01:28 - 00:01:29] 如果你本科不是學法律的
[00:01:29 - 00:01:31] 你去考法學碩士
[00:01:31 - 00:01:33] 跟你競爭的人都是那些
[00:01:33 - 00:01:35] 本科學的四年法律的人
[00:01:35 - 00:01:36] 你覺得你能幹得過他
[00:01:36 - 00:01:37] 那你就上
[00:01:37 - 00:01:39] 當然不是說你一定幹不過他
[00:01:39 - 00:01:41] 因為我真的見識過一個同學
[00:01:41 - 00:01:42] 山東的
[00:01:42 - 00:01:44] 大姐非常非常牛
[00:01:44 - 00:01:46] 她们学校有20多个同学
[00:01:46 - 00:01:48] 包括中国政法大学的法学专业
[00:01:48 - 00:01:50] 其他28个本科动作学法律的
[00:01:50 - 00:01:52] 但是只有她自己
[00:01:52 - 00:01:53] 本科不是学法律的
[00:01:53 - 00:01:54] 但是包括法学硕士
