BV号：BV1be4y117Mp
标题：BV1be4y117Mp
链接：https://www.bilibili.com/video/BV1be4y117Mp
识别语言：zh
语言置信度：1
分段数：22
生成时间：2026-04-03 17:06:16

[00:00:00 - 00:00:05] 国电待遇豪,国电工资高,国电豪,国电庙,国电待遇娃娃教
[00:00:07 - 00:00:09] 我给大家说一下电气这个专业啊
[00:00:09 - 00:00:12] 很多家人在网上看各个老师直播就经常给大家讲说
[00:00:12 - 00:00:18] 国电待遇豪,国电工资高,国电豪,国电庙,国电待遇娃娃教是吧
[00:00:18 - 00:00:19] 但是我要跟大家说一下啊
[00:00:19 - 00:00:22] 就是电气这个专业你本开毕业以后只能进县局
[00:00:22 - 00:00:26] 电气这个专业毕业,想进市局必须要硕士
[00:00:26 - 00:00:28] 所以我女后发现学电气的同学呢
[00:00:28 - 00:00:31] 大多数同学大四那一年的话都会去参加考研
[00:00:31 - 00:00:35] 因为能进市局肯定待遇各方面生活条件要比现局好很多
[00:00:35 - 00:00:39] 所以说如果你接受你家孩子毕业能进现局
[00:00:39 - 00:00:40] 那你就可以去报电器
[00:00:40 - 00:00:42] 尤其报电力部的职业国校那是可以的
[00:00:42 - 00:00:44] 但如果你想进市局的话
[00:00:44 - 00:00:47] 上大学第一件事一定要考虑要考研的事
[00:00:47 - 00:00:49] 而且考研的话一定要考强电方向
[00:00:49 - 00:00:51] 不要考卧电的学校
[00:00:51 - 00:00:52] 不要考电机的学校
[00:00:52 - 00:00:53] 不要瞎报
[00:00:53 - 00:00:54] 因为你最后你报完以后的话
[00:00:54 - 00:00:56] 还有可能你会发现进国电进不了
[00:00:56 - 00:00:58] 因为你的方向是不对的
