BV号：BV1bt411M7y2
标题：BV1bt411M7y2
链接：https://www.bilibili.com/video/BV1bt411M7y2
识别语言：zh
语言置信度：1
分段数：267
生成时间：2026-04-04 07:25:24

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 有这么一个姑娘叫王某
[00:00:04 - 00:00:05] 她在上高中的时期
[00:00:05 - 00:00:09] 就跟在她们家亲戚家饭店打工的一个打工仔
[00:00:09 - 00:00:10] 叫做李某
[00:00:10 - 00:00:12] 两个人就谈起来恋爱
[00:00:12 - 00:00:13] 当然王某是一个高中生
[00:00:13 - 00:00:17] 后来经过自己的努力考上了心中理想的大学
[00:00:17 - 00:00:18] 上大学以后
[00:00:18 - 00:00:20] 她就觉得跟饭店打工的李某
[00:00:20 - 00:00:22] 两个人是越来越没有共同语言
[00:00:22 - 00:00:24] 觉得两个人将来发展下去
[00:00:24 - 00:00:25] 肯定是没有结果的
[00:00:25 - 00:00:28] 所以她就决定要跟李某分手
[00:00:28 - 00:00:29] 李某就不同意
[00:00:29 - 00:00:30] 死活不同意
[00:00:30 - 00:00:31] 说你再过一次机会怎么样
[00:00:31 - 00:00:34] 王某就是坚决不跟他复合
[00:00:34 - 00:00:36] 结果在2017年的某一天
[00:00:36 - 00:00:38] 王某刚从学校的石堂出来
[00:00:38 - 00:00:40] 李某拿着刀上去
[00:00:40 - 00:00:41] 就照着王某的脖子
[00:00:41 - 00:00:43] 胸口和后边的肩部
[00:00:43 - 00:00:45] 连统了23刀
[00:00:45 - 00:00:47] 在一边扎这个王某的时候
[00:00:47 - 00:00:47] 李某还在喊
[00:00:47 - 00:00:48] 让你骗我
[00:00:48 - 00:00:49] 让你骗我
[00:00:49 - 00:00:51] 后来法院在进行判决的时候
[00:00:51 - 00:00:53] 李某就一直强调说
[00:00:53 - 00:00:54] 我去扎王某这个行为
[00:00:54 - 00:00:56] 不是说想要去杀掉他
[00:00:56 - 00:00:59] 而是说我就想给他一点教训
[00:00:59 - 00:01:00] 我是想伤害他
[00:01:00 - 00:01:01] 我真的没有想杀掉他
[00:01:01 - 00:01:03] 那最后法院判决的时候
