BV号：BV1cD4y1z7G5
标题：BV1cD4y1z7G5
链接：https://www.bilibili.com/video/BV1cD4y1z7G5
识别语言：zh
语言置信度：1
分段数：53
生成时间：2026-04-03 17:44:15

[00:00:00 - 00:00:01] 老师 我就朗老师是考公园了
[00:00:01 - 00:00:02] 这个时候你在报的时候
[00:00:02 - 00:00:03] 你叫某定专业
[00:00:03 - 00:00:05] 某定报公园的专业
[00:00:05 - 00:00:05] 有的那种分级的
[00:00:05 - 00:00:07] 我们也可能会报计算机
[00:00:07 - 00:00:08] 这孩子的数学还行
[00:00:08 - 00:00:10] 但没有到那么特别厉害的地步
[00:00:10 - 00:00:11] 但对计算机有偏质
[00:00:11 - 00:00:13] 那也可以报计算机
[00:00:13 - 00:00:14] 进考公图和手
[00:00:14 - 00:00:15] 进咱们可以将来好好会
[00:00:15 - 00:00:17] 看能不能考试好学校研究上
[00:00:17 - 00:00:18] 不行的话咱们可以考试
[00:00:18 - 00:00:19] 那有的加上说
[00:00:19 - 00:00:20] 张老师我们家孩子的数学不行
[00:00:20 - 00:00:21] 你为什么在低分段
[00:00:21 - 00:00:22] 也可能会给报计算机
[00:00:22 - 00:00:23] 也可能会给报会议
[00:00:23 - 00:00:24] 我跟大家这样说
[00:00:24 - 00:00:25] 有的时候你报那种
[00:00:30 - 00:00:32] 你到了独立民办的计算机
[00:00:32 - 00:00:33] 你到了独立民办的会计
[00:00:33 - 00:00:34] 到了独立民办的法学
[00:00:34 - 00:00:37] 你的任务根本就不是为了学好它
[00:00:37 - 00:00:39] 你的目的是从上大一开始
[00:00:39 - 00:00:41] 把这些书都给我好好看起
[00:00:41 - 00:00:42] 这些书是什么书
[00:00:42 - 00:00:43] 这些书是考公务员的书
[00:00:43 - 00:00:45] 你的目的是为了抱这个专业
[00:00:45 - 00:00:47] 能够有考公务员的资格
[00:00:47 - 00:00:48] 你上大一的时候
[00:00:48 - 00:00:49] 来吧
[00:00:49 - 00:00:50] 深论好好看一下
[00:00:50 - 00:00:52] 数量关系好好看一下
[00:00:52 - 00:00:53] 判断推理好好看一下
[00:00:53 - 00:00:55] 人家在啪啪啪啪在学编程
[00:00:55 - 00:00:56] 你在干嘛
[00:00:56 - 00:00:58] 你在啪啪啪啪在上公务员的独
[00:00:58 - 00:01:02] 你是为了去让你有报公元的资格
[00:01:02 - 00:01:04] 所以说你如果要求不是很高
[00:01:04 - 00:01:06] 你说张老师我们家这边条件没有那么好
[00:01:06 - 00:01:07] 我们家就是一个县城
[00:01:07 - 00:01:09] 你考县城公元的梦能结束
[00:01:09 - 00:01:09] 梦挺好
[00:01:09 - 00:01:10] 深论不好考
[00:01:10 - 00:01:11] 你从大一开始考
[00:01:11 - 00:01:12] 所以说你刚才写的手工
[00:01:12 - 00:01:14] 你高分有高分的爆发
[00:01:14 - 00:01:15] 中分有中分的爆发
[00:01:15 - 00:01:16] 低分低分的爆发
[00:01:16 - 00:01:17] 你数学后数学好的爆发
[00:01:17 - 00:01:19] 你的物与好物与好的爆发
