BV号：BV1cP411j7db
标题：BV1cP411j7db
链接：https://www.bilibili.com/video/BV1cP411j7db
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-03 17:56:48

[00:00:00 - 00:00:02] 西安油念大学这个学校在山东省
[00:00:02 - 00:00:03] 将近580分
[00:00:03 - 00:00:04] 但大家注意啊
[00:00:04 - 00:00:05] 他在吉林就是一个R的
[00:00:05 - 00:00:06] 你能想象吗
[00:00:06 - 00:00:08] 在吉林省你考不到500分
[00:00:08 - 00:00:11] 你能上一个跟山东省580一样的学校
[00:00:11 - 00:00:13] 而且近两年分数一直没有超过500分
[00:00:13 - 00:00:14] 所以说的话
[00:00:14 - 00:00:15] 老高考在报志院的时候
[00:00:15 - 00:00:17] 就存在着这样的机会
[00:00:17 - 00:00:19] 有很多很多很好的学校
[00:00:19 - 00:00:20] 它是R的
[00:00:20 - 00:00:20] 但实际上
[00:00:20 - 00:00:23] 如果说我们取消本开P4的话
[00:00:23 - 00:00:24] 那么这个时候你会发现
[00:00:24 - 00:00:26] 他的分马上长得不会很厉害
[00:00:26 - 00:00:28] 这里边一定要提醒以下这些省份啊
[00:00:28 - 00:00:33] 黑东江吉林甘肃贵州广西安徽江西的考生
[00:00:33 - 00:00:36] 因为你们在二三年是最后一届老高考
[00:00:36 - 00:00:37] 大家你要注意
[00:00:37 - 00:00:39] 老高考报社院最大的特点是什么
[00:00:39 - 00:00:41] 它有本科批次的划分
[00:00:41 - 00:00:43] 它有一本二本之书
[00:00:43 - 00:00:45] 而新高考最大的特点是什么
[00:00:45 - 00:00:47] 它取消了本科批次
[00:00:47 - 00:00:49] 一旦取消本科批次
[00:00:49 - 00:00:51] 好的二本分一定上涨
[00:00:51 - 00:00:53] 也就是说在这些省份
[00:00:53 - 00:00:57] 明年的高考是你以二本分数上
[00:00:57 - 00:00:59] 江云的大学最后一次机会了
[00:00:59 - 00:01:02] 那么河南四川山西内蒙古云南陕西
[00:01:02 - 00:01:03] 清海凝巷还有两年机会
[00:01:03 - 00:01:05] 但是这种机会在别的城里已经没有了
