BV号：BV1co4y1s7YG
标题：BV1co4y1s7YG
链接：https://www.bilibili.com/video/BV1co4y1s7YG
识别语言：zh
语言置信度：1
分段数：27
生成时间：2026-04-03 15:51:41

[00:00:00 - 00:00:01] 这个爆米花
[00:00:01 - 00:00:02] 然后安存蛋
[00:00:02 - 00:00:02] 蛋呢
[00:00:02 - 00:00:03] 蛋
[00:00:03 - 00:00:04] 安存蛋
[00:00:04 - 00:00:05] 这个果丹皮
[00:00:05 - 00:00:06] 吃过的都知道
[00:00:07 - 00:00:08] 好吃的你就再拍
[00:00:08 - 00:00:09] 没吃过的一定要尝试一下
[00:00:10 - 00:00:11] 这个果丹皮
[00:00:11 - 00:00:12] 大家有买过的都知道
[00:00:12 - 00:00:12] 很好吃
[00:00:13 - 00:00:14] 我再再声明一下
[00:00:14 - 00:00:16] 我直播间卖的零食的书意
[00:00:16 - 00:00:17] 我会全部捐款
[00:00:17 - 00:00:19] 我会全都捐掉
[00:00:19 - 00:00:22] 我不以卖零食为生
[00:00:22 - 00:00:24] 这不是我挣钱的手段
[00:00:24 - 00:00:28] 这是我去帮助到那些贫困家庭
[00:00:28 - 00:00:29] 做慈善的手段
[00:00:30 - 00:00:32] 所以说反正对吧
[00:00:32 - 00:00:34] 你们看直播也是看直播
[00:00:34 - 00:00:36] 买零食也是买零食
[00:00:36 - 00:00:36] 对吧
[00:00:36 - 00:00:37] 你在我这买
[00:00:37 - 00:00:40] 我的书意我全部都会捐掉
[00:00:40 - 00:00:41] 帮助那些需要帮助的人
