BV号：BV1dK4y1L7PA
标题：BV1dK4y1L7PA
链接：https://www.bilibili.com/video/BV1dK4y1L7PA
识别语言：zh
语言置信度：1
分段数：54
生成时间：2026-04-04 01:12:44

[00:00:00 - 00:00:03] 很多同学问我 张老师 新闻学和传播学到底有什么差别
[00:00:03 - 00:00:05] 我们今天就来给大家讲一讲
[00:00:05 - 00:00:07] 新闻传播学是一个一级学科
[00:00:07 - 00:00:11] 它是一类专业 可以说是一个大类专业
[00:00:11 - 00:00:13] 但是从文字上它们还是有差别的
[00:00:13 - 00:00:14] 我们先说新闻学
[00:00:14 - 00:00:15] 新闻学是干嘛的呢
[00:00:15 - 00:00:17] 它是暴讨一个事情
[00:00:17 - 00:00:18] 一个新闻
[00:00:18 - 00:00:19] 我给大家举个例子
[00:00:19 - 00:00:21] 比如说 我有点录视频
[00:00:21 - 00:00:22] 录着录着 咩 我就死了
[00:00:22 - 00:00:25] 就不想再把口吐原罗
[00:00:25 - 00:00:26] 换什么点嫌犯了
[00:00:26 - 00:00:27] 或者说是各种各样的新闻
[00:00:27 - 00:00:29] 大家就要知道这 突发事件
[00:00:29 - 00:00:31] 这个呢就是新闻学
[00:00:31 - 00:00:32] 传播学是干嘛的呢
[00:00:32 - 00:00:35] 传播学你想传播嘛
[00:00:35 - 00:00:35] 对吧
[00:00:35 - 00:00:37] 它的主要目的是什么
[00:00:37 - 00:00:38] 就是把一个世界的影响
[00:00:38 - 00:00:40] 扩大或者是缩小
[00:00:40 - 00:00:41] 这个呢叫做传播学
[00:00:41 - 00:00:42] 像广告学、公共关系
[00:00:42 - 00:00:45] 这都属于传播学的一个研究方向
[00:00:45 - 00:00:47] 但它们的差别在于广告学
[00:00:47 - 00:00:48] 大家想想广告
[00:00:48 - 00:00:51] 广而告之就是要把一个东西
[00:00:51 - 00:00:53] 影响起来扩大
[00:00:53 - 00:00:54] 那么公共关系呢
[00:00:54 - 00:00:55] 理论上来讲
[00:00:55 - 00:00:56] 它是怎么样
[00:00:56 - 00:00:58] 如果说一个人呢
[00:00:58 - 00:00:59] 或者说一个企业啊
[00:00:59 - 00:01:01] 或者说某种组织
[00:01:01 - 00:01:02] 它万一有了负面的报道
[00:01:02 - 00:01:05] 我们怎么让这种负面的报道
[00:01:05 - 00:01:08] 能够影响更小
[00:01:08 - 00:01:09] 这个叫做危机公关
[00:01:09 - 00:01:11] 你比如说每一年
[00:01:11 - 00:01:11] 对吧
[00:01:11 - 00:01:12] 有一个晚会
[00:01:12 - 00:01:13] 叫三云五晚会
[00:01:13 - 00:01:13] 对吧
[00:01:13 - 00:01:15] 那很多企业在三云五晚会
[00:01:15 - 00:01:16] 有后的话怎么样
[00:01:16 - 00:01:18] 就开始有什么叫公关关系
[00:01:18 - 00:01:18] 对吧
[00:01:18 - 00:01:20] 要危机公关等等
[00:01:20 - 00:01:21] 这个就是传播学
[00:01:21 - 00:01:24] 把一个东西的影响扩大或者缩小
[00:01:24 - 00:01:25] 所以大家现在明白
[00:01:25 - 00:01:26] 新闻学和传播学的差别了吗
