BV号：BV1dS4y1w7oV
标题：BV1dS4y1w7oV
链接：https://www.bilibili.com/video/BV1dS4y1w7oV
识别语言：zh
语言置信度：1
分段数：25
生成时间：2026-04-03 19:48:20

[00:00:00 - 00:00:05] 你为什么在本科报局那时候报一个将来你考研要考的目标
[00:00:05 - 00:00:07] 而且关键是你能上啊
[00:00:07 - 00:00:09] 但是在有些省份的西安人的大学
[00:00:09 - 00:00:11] 他是二本
[00:00:12 - 00:00:14] 他是一个二本的原因非常简单
[00:00:14 - 00:00:16] 因为西安人的大学到现在
[00:00:16 - 00:00:17] 他目前没有博士点
[00:00:17 - 00:00:19] 他有没有博士点
[00:00:19 - 00:00:23] 是凭价这个学校好坏的一个原因
[00:00:23 - 00:00:26] 但是他不应该成为主要原因
[00:00:26 - 00:00:27] 大家你想一想
[00:00:27 - 00:00:33] 你大概会从河南科技大往西安游电大学考
[00:00:33 - 00:00:37] 还是说从西安游电大学往河南科技大学考
[00:00:37 - 00:00:38] 你肯定是这个
[00:00:39 - 00:00:40] 对不对
[00:00:40 - 00:00:42] 你为什么在本科报纸院的时候
[00:00:42 - 00:00:45] 报一个将来你考研要考的目标
[00:00:45 - 00:00:47] 而且关键是你能上
[00:00:48 - 00:00:49] 所以说大家你在报纸院的时候
[00:00:49 - 00:00:50] 他前提的是什么
[00:00:50 - 00:00:53] 你要对所谓的一本和二本院校
[00:00:53 - 00:00:54] 要有一个充分的了解
[00:00:54 - 00:00:56] 你对学生了解了以后
[00:00:56 - 00:00:58] 你才能发现哦原来二等一有保障
[00:00:58 - 00:00:59] 你不了解你怎么报
