BV号：BV1dxmjBxEw9
标题：BV1dxmjBxEw9
链接：https://www.bilibili.com/video/BV1dxmjBxEw9
识别语言：zh
语言置信度：1
分段数：68
生成时间：2026-04-03 03:33:17

[00:00:00 - 00:00:01] 寿衣是寿衣
[00:00:01 - 00:00:03] 它跟生物科学不一样
[00:00:03 - 00:00:04] 这个我给大家紧张
[00:00:04 - 00:00:04] 科普一下
[00:00:04 - 00:00:05] 各位加点移动
[00:00:05 - 00:00:06] 科普一下
[00:00:06 - 00:00:08] 农学类有两个专业名字
[00:00:08 - 00:00:09] 叫的有点像
[00:00:09 - 00:00:10] 但它完全不一样
[00:00:10 - 00:00:11] 大家听
[00:00:11 - 00:00:12] 这个叫动物生产
[00:00:12 - 00:00:14] 这个叫动物医学
[00:00:14 - 00:00:15] 寿衣指的是动物医学
[00:00:15 - 00:00:16] 不是动物生产
[00:00:16 - 00:00:17] 知道吗
[00:00:17 - 00:00:18] 听懂
[00:00:18 - 00:00:19] 这个是寿衣
[00:00:19 - 00:00:20] 这个不是寿衣
[00:00:20 - 00:00:22] 动物科学不是寿衣
[00:00:22 - 00:00:24] 你不要以为动物科学是寿衣
[00:00:24 - 00:00:25] 动物科学不是寿衣
[00:00:25 - 00:00:27] 动物科学是什么
[00:00:27 - 00:00:30] 动物科学在N多年前没有改名之前
[00:00:30 - 00:00:32] 叫序幕养殖
[00:00:32 - 00:00:34] 那叫动物科学
[00:00:34 - 00:00:35] 动物医学是动物医学
[00:00:35 - 00:00:37] 动物科学是动物科学
[00:00:37 - 00:00:38] 你自己别抱错了
[00:00:38 - 00:00:40] 动物科学原来叫序幕养殖
[00:00:40 - 00:00:42] 它干的是养殖
[00:00:42 - 00:00:43] 动物科学是比较饭的
[00:00:43 - 00:00:46] 然后下面这些转业就比较细了
[00:00:46 - 00:00:47] 残血
[00:00:47 - 00:00:49] 教你怎么养残
[00:00:49 - 00:00:50] 风血
[00:00:50 - 00:00:51] 教你怎么养蜜蜂
[00:00:51 - 00:00:52] 想蜜蜂 温温温
[00:00:52 - 00:00:54] 如何大规模的生产温温
[00:00:54 - 00:00:56] 经济动物学
[00:00:56 - 00:00:59] 经济动物学就是有很多很多的经济动物
[00:00:59 - 00:01:01] 比如说伍格拉丘的小白鼠
[00:01:01 - 00:01:02] 小白鼠是经济动物
[00:01:02 - 00:01:03] 懂吗
[00:01:03 - 00:01:04] 那是可以卖钱的
[00:01:04 - 00:01:06] 得各种各样疾病的小白鼠
[00:01:06 - 00:01:08] 它可以卖的更贵
[00:01:08 - 00:01:08] 为什么呢
[00:01:08 - 00:01:10] 因为有的时候你会发现药气
[00:01:10 - 00:01:13] 大量的构进这种生的病的小白鼠
[00:01:13 - 00:01:16] 因为小白鼠它也是博物动物
[00:01:16 - 00:01:18] 那如果说这个东西能把号带给治好了
[00:01:18 - 00:01:20] 那我们再给它试试能不能治好人
[00:01:20 - 00:01:22] 所以说你会发现这个号子得了肺癌
[00:01:22 - 00:01:23] 哇
[00:01:23 - 00:01:24] 这个号子治
[00:01:24 - 00:01:25] 要把这浩子得了肺癌就好
[00:01:25 - 00:01:27] 这浩子得疼受病了
[00:01:27 - 00:01:28] 哇这浩子值钱了
[00:01:28 - 00:01:30] 这浩子值得的病越奇怪
[00:01:30 - 00:01:31] 这个浩子就越值钱
[00:01:31 - 00:01:34] 因为你想把浩子培养从那种病也不容易
[00:01:34 - 00:01:35] 马叶科学
[00:01:35 - 00:01:36] 孙悟空就学这个专业的
[00:01:36 - 00:01:38] 他学的是怎么养马
[00:01:38 - 00:01:40] 他学的不是怎么给马看病
[00:01:40 - 00:01:40] 懂吗
[00:01:40 - 00:01:42] 他学的是怎么养马
[00:01:42 - 00:01:43] 各位加点移道注意一下
