BV号：BV1eW411h7AU
标题：BV1eW411h7AU
链接：https://www.bilibili.com/video/BV1eW411h7AU
识别语言：zh
语言置信度：1
分段数：168
生成时间：2026-04-04 12:06:57

[00:00:00 - 00:00:03] 然后主要是在今年的8月份
[00:00:03 - 00:00:04] 就是在网上
[00:00:04 - 00:00:06] 大家都知道在今年8月份在网上
[00:00:06 - 00:00:07] 突然有这么一个消息
[00:00:07 - 00:00:11] 说今年考研人数将出现大幅度的增加
[00:00:11 - 00:00:14] 考研人数将历史上突破400万
[00:00:14 - 00:00:15] 这么一个数字
[00:00:15 - 00:00:18] 然后这个事情出来以后的话
[00:00:18 - 00:00:19] 当时就有很多的网友朋友
[00:00:19 - 00:00:21] 就跑到微博底下来骂我了
[00:00:21 - 00:00:22] 知道吧
[00:00:22 - 00:00:23] 为什么骂我呢
[00:00:23 - 00:00:25] 他们就在留言说张老师都怪你
[00:00:25 - 00:00:27] 我说这刚我什么事
[00:00:27 - 00:00:27] 这为什么怪我
[00:00:27 - 00:00:29] 他说张老师都怪你
[00:00:29 - 00:00:30] 又不是你那么火的话
[00:00:30 - 00:00:32] 哪有那么多人来考研
[00:00:32 - 00:00:35] 实际是我们考研机中变得很激烈了
[00:00:35 - 00:00:37] 把这个锅学到我身上了
[00:00:37 - 00:00:40] 说实话同学这个锅我背
[00:00:40 - 00:00:40] 啊
[00:00:40 - 00:00:43] 今年考研书上掌多多少少确确实实
[00:00:43 - 00:00:44] 跟我有点关系的
[00:00:44 - 00:00:47] 因为大家知道在这个今年8月份的时候
[00:00:47 - 00:00:49] 就是庄老师上了一个节目叫我审言说家
[00:00:49 - 00:00:50] 然后在这个节目上呢
[00:00:50 - 00:00:53] 跟一些嘉宾对于学生要不要考研这个话题呢
[00:00:53 - 00:00:55] 产生了一些小小的分歧
[00:00:55 - 00:00:58] 然后的话这个视频呢在今年8月份的时候
[00:00:58 - 00:01:01] 在中国的互联网上可以说是火遍中国大江南北
[00:01:01 - 00:01:05] 就直接让很多同学包括说很多社会上的朋友
[00:01:06 - 00:01:06] 来反思
[00:01:07 - 00:01:08] 自己现在到底要不要去考研
[00:01:09 - 00:01:12] 当然很多同学呢包括很多朋友说这样的时候我觉得我的学历呢可能
[00:01:12 - 00:01:14] 也不是那么特别的高然后决定要
[00:01:15 - 00:01:16] 参加研究生章生考试
[00:01:16 - 00:01:20] 在去年的人数其实就已经出现了一个小幅度的上涨
[00:01:21 - 00:01:23] 去年给大家汇报一下就是在去年呢
[00:01:24 - 00:01:27] 中国考研生就是今年刚刚考的研的这一届已经入学的这届研究生
[00:01:27 - 00:01:30] 他們這屆的考研人數大概是在20幾萬
[00:01:30 - 00:01:32] 我們給它簡單寫為200萬
[00:01:32 - 00:01:34] 在前年這個人數是180萬
[00:01:35 - 00:01:37] 那麼從180萬到200萬
[00:01:37 - 00:01:39] 這個人數上升
[00:01:39 - 00:01:40] 跟我是一點關係都沒有的
[00:01:40 - 00:01:41] 為什麼呢
[00:01:41 - 00:01:44] 因為在去年就是今年剛剛考文
[00:01:44 - 00:01:45] 研究生的這一屆
[00:01:45 - 00:01:47] 他們這一屆的考研政策
[00:01:47 - 00:01:48] 考研政策出現了重大的變化
[00:01:48 - 00:01:52] 就是再值研究生必須使雙政齊全
[00:01:52 - 00:01:54] 也就是說再值研究生有畢業證
[00:01:54 - 00:01:55] 也有學位證
[00:01:55 - 00:01:56] 而原來的政策是
[00:01:56 - 00:01:59] 在職研究生只有學位證沒有畢業證
[00:01:59 - 00:02:01] 也就是說你只有學位證沒有畢業證意味著什麼
[00:02:01 - 00:02:04] 意味著你即使是上來研究生
[00:02:04 - 00:02:06] 你只獲得了相應的碩士學位
[00:02:06 - 00:02:07] 而沒有碩士學歷
[00:02:07 - 00:02:08] 就在你的解歷上
[00:02:08 - 00:02:09] 你的最高學歷上
[00:02:09 - 00:02:12] 原來的在職研究生你是不能寫
[00:02:12 - 00:02:13] 我的最高學歷是研究生的
[00:02:13 - 00:02:15] 你的最高學歷是本科生
[00:02:15 - 00:02:16] 即使你讀了在職研究生
[00:02:16 - 00:02:19] 但是從今年考完研開始
[00:02:19 - 00:02:20] 在職研究生有畢業證
[00:02:20 - 00:02:21] 也有學位證
[00:02:21 - 00:02:23] 你的學歷是研究生
[00:02:23 - 00:02:27] 这是从180万到200万人考验这书的一个
[00:02:27 - 00:02:28] 上升的一个主要原因
[00:02:28 - 00:02:31] 而今年说人数到400万
[00:02:31 - 00:02:34] 这个事我要跟大家澄清一下
[00:02:34 - 00:02:37] 这个绝对是谣言不可能
[00:02:37 - 00:02:38] 为什么不可能
[00:02:38 - 00:02:39] 告诉大家
[00:02:39 - 00:02:43] 因为中国每年本科生的人数是355万
[00:02:45 - 00:02:47] 也就是这个人在造谣的时候
[00:02:47 - 00:02:49] 根本就没学过数学
[00:02:49 - 00:02:50] 就是355万人
[00:02:50 - 00:02:53] 每年只有355万人的本科生
[00:02:53 - 00:02:54] 但他却说是400万人考验
